# word cloud top all for element 畏
# token	weight	(optional sources)
dark	0.073171	隈
shade	0.048780	隈
grateful	0.034843	畏れ入る
disconcert	0.034843	畏れ入る
embarrass	0.034843	畏れ入る
amaze	0.034843	畏れ入る
fill	0.034843	畏れ入る
awe	0.034843	畏れ入る
surprise	0.034843	畏れ入る
sorry	0.034843	畏れ入る
beg	0.034843	畏れ入る
pardon	0.034843	畏れ入る
much	0.034843	畏れ入る
oblige	0.034843	畏れ入る
feel	0.034843	畏れ入る
small	0.034843	畏れ入る
circle	0.024390	隈
ring	0.024390	隈
kuma	0.024390	隈
dori	0.024390	隈
style	0.024390	隈
kabuki	0.024390	隈
makeup	0.024390	隈
use	0.024390	隈
violent	0.024390	隈
role	0.024390	隈
gradation	0.024390	隈
corner	0.024390	隈
nook	0.024390	隈
recess	0.024390	隈
shadow	0.024390	隈
area	0.024390	隈
