# word cloud top all for element 癶
# token	weight	(optional sources)
orange	0.042908	橙
fermentation	0.037544	醱酵
zymosi	0.037544	醱酵
stirrup	0.037544	鐙革
up	0.029989	撥ねる,登る
vehicle	0.026817	廃車
kanji	0.018772	発頭
dot	0.018772	発頭
tent	0.018772	発頭
radical	0.018772	発頭
bond	0.018772	證券
bill	0.018772	證券
certificate	0.018772	證券
security	0.018772	證券
strap	0.018772	鐙革
leather	0.018772	鐙革
uprise	0.015018	一揆
revolt	0.015018	一揆
insurrection	0.015018	一揆
putsch	0.015018	一揆
riot	0.015018	一揆
rank	0.015018	癸
tenth	0.015018	癸
sign	0.015018	癸
chin	0.015018	癸
ese	0.015018	癸
calendar	0.015018	癸
out	0.013732	廃車,撥ねる,発する
look	0.013251	澄ます
dethrone	0.012515	廢する
depose	0.012515	廢する
abolish	0.012515	廢する
abandon	0.012515	廢する
repeal	0.012515	廢する
discontinue	0.012515	廢する
bitter	0.010727	橙
sour	0.010727	橙
seville	0.010727	橙
go	0.008834	登る
ascend	0.008834	登る
give	0.008834	発する
clear	0.008834	澄ます
leave	0.008369	撥ねる,発する
deregister	0.005363	廃車
unregister	0.005363	廃車
deregistere	0.005363	廃車
unregistere	0.005363	廃車
decommission	0.005363	廃車
service	0.005363	廃車
end	0.005363	廃車
life	0.005363	廃車
add	0.004417	登る
advance	0.004417	登る
pro	0.004417	登る
mote	0.004417	登る
come	0.004417	登る
rise	0.004417	登る
swim	0.004417	登る
sail	0.004417	登る
climb	0.004417	登る
depart	0.004417	発する
occur	0.004417	発する
appear	0.004417	発する
shoot	0.004417	発する
fire	0.004417	発する
issue	0.004417	発する
send	0.004417	発する
let	0.004417	発する
utter	0.004417	発する
produce	0.004417	発する
emit	0.004417	発する
forth	0.004417	発する
discharge	0.004417	発する
make	0.004417	澄ます
strain	0.004417	澄ます
listen	0.004417	澄ます
care	0.004417	澄ます
fully	0.004417	澄ます
unruffl	0.004417	澄ます
unconcern	0.004417	澄ます
feign	0.004417	澄ます
indifference	0.004417	澄ます
demure	0.004417	澄ます
prim	0.004417	澄ます
put	0.004417	澄ます
air	0.004417	澄ます
jump	0.003952	撥ねる
point	0.003952	撥ねる
curl	0.003952	撥ねる
decapitate	0.003952	撥ねる
behead	0.003952	撥ねる
hit	0.003952	撥ねる
run	0.003952	撥ねる
eliminate	0.003952	撥ねる
exclude	0.003952	撥ねる
flip	0.003952	撥ねる
splash	0.003952	撥ねる
splatter	0.003952	撥ねる
reject	0.003952	撥ねる
deny	0.003952	撥ねる
refuse	0.003952	撥ねる
