# word cloud top all for element 皮
# token	weight	(optional sources)
world	0.040322	娑婆
pimple	0.040322	面皰
acne	0.040322	面皰
ripple	0.032258	波立つ,皺
wrinkle	0.026882	皺
crease	0.026882	皺
become	0.020087	疲れる,破れる
get	0.014927	疲れる,被る
reveal	0.012801	披露,破れる
tire	0.012407	疲れる
limp	0.011521	跛行
claudication	0.011521	跛行
imbalance	0.011521	跛行
proceed	0.011521	跛行
irregularly	0.011521	跛行
unsteady	0.011521	跛行
progress	0.011521	跛行
down	0.010081	彼れ
there	0.010081	彼れ
person	0.010081	彼れ
place	0.010081	彼れ
period	0.010081	彼れ
mens	0.010081	彼れ
thing	0.010081	彼れ
time	0.010081	彼れ
free	0.010081	娑婆
corrupt	0.010081	娑婆
present	0.010081	娑婆
life	0.010081	娑婆
announcement	0.008961	披露
presentation	0.008961	披露
demonstration	0.008961	披露
display	0.008961	披露
show	0.008961	披露
introduce	0.008961	披露
unveil	0.008961	披露
per	0.008961	披露
form	0.008961	披露
wear	0.008724	疲れる,被る
out	0.008724	疲れる,被る
shift	0.008064	皺寄せ
onto	0.008064	皺寄せ
ill	0.008064	皺寄せ
effect	0.008064	皺寄せ
negative	0.008064	皺寄せ
con	0.008064	皺寄せ
sequence	0.008064	皺寄せ
burden	0.008064	皺寄せ
strain	0.008064	皺寄せ
brunt	0.008064	皺寄せ
loss	0.008064	皺寄せ
split	0.007680	破れる
come	0.006360	破れる,被る
starve	0.006203	疲れる
fatigue	0.006203	疲れる
exhaust	0.006203	疲れる
grow	0.006203	疲れる
weary	0.006203	疲れる
mask	0.006203	皮
seem	0.006203	皮
shell	0.006203	皮
sheath	0.006203	皮
wrap	0.006203	皮
rind	0.006203	皮
peel	0.006203	皮
husk	0.006203	皮
bark	0.006203	皮
skin	0.006203	皮
hide	0.006203	皮
pelt	0.006203	皮
fur	0.006203	皮
wave	0.005376	波立つ
beat	0.005376	波立つ
fast	0.005376	波立つ
turmoil	0.005376	波立つ
discord	0.005376	波立つ
trouble	0.005376	波立つ
experience	0.005376	波立つ
problem	0.005376	波立つ
choppy	0.005376	波立つ
rough	0.005376	波立つ
run	0.005376	波立つ
high	0.005376	波立つ
billow	0.005376	波立つ
swell	0.005376	波立つ
over	0.005040	被る
one	0.005040	被る
self	0.005040	被る
divisible	0.003840	破れる
drop	0.003840	破れる
below	0.003840	破れる
mini	0.003840	破れる
mum	0.003840	破れる
divide	0.003840	破れる
distort	0.003840	破れる
clip	0.003840	破れる
break	0.003840	破れる
smash	0.003840	破れる
light	0.003840	破れる
clear	0.003840	破れる
identify	0.003840	破れる
crack	0.003840	破れる
fis	0.003840	破れる
sure	0.003840	破れる
tear	0.003840	破れる
deceive	0.002520	被る
fog	0.002520	被る
lap	0.002520	被る
similar	0.002520	被る
redundant	0.002520	被る
close	0.002520	被る
end	0.002520	被る
full	0.002520	被る
house	0.002520	被る
sell	0.002520	被る
blunder	0.002520	被る
bungle	0.002520	被る
fail	0.002520	被る
cover	0.002520	被る
pour	0.002520	被る
dash	0.002520	被る
ship	0.002520	被る
water	0.002520	被る
bear	0.002520	被る
take	0.002520	被る
assume	0.002520	被る
shoulder	0.002520	被る
put	0.002520	被る
pull	0.002520	被る
crown	0.002520	被る
