# word cloud top all for element 監
# token	weight	(optional sources)
indigo	0.086283	藍
rail	0.057522	闌干
dyer	0.043142	藍
knotwe	0.043142	藍
ship	0.038348	退艦
retirement	0.038348	退艦
super	0.026549	監督
leave	0.019174	退艦
war	0.019174	退艦
abandon	0.019174	退艦
naval	0.019174	退艦
post	0.019174	退艦
captaincy	0.019174	退艦
endlessly	0.019174	闌干
brightly	0.019174	闌干
guard	0.019174	闌干
hand	0.019174	闌干
banister	0.019174	闌干
balustrade	0.019174	闌干
para	0.019174	闌干
pet	0.019174	闌干
fault	0.017257	襤褸
defect	0.017257	襤褸
rag	0.017257	襤褸
scrap	0.017257	襤褸
tatter	0.017257	襤褸
clothe	0.017257	襤褸
run	0.017257	襤褸
down	0.017257	襤褸
shabby	0.017257	襤褸
junky	0.017257	襤褸
vision	0.013274	監督
control	0.013274	監督
superintendence	0.013274	監督
direct	0.013274	監督
ion	0.013274	監督
director	0.013274	監督
superintendent	0.013274	監督
visor	0.013274	監督
coach	0.013274	監督
fore	0.013274	監督
man	0.013274	監督
manager	0.013274	監督
over	0.013274	監督
seer	0.013274	監督
cont	0.013274	監督
roller	0.013274	監督
bos	0.013274	監督
