# word cloud top all for element 矢
# token	weight	(optional sources)
down	0.032120	焼ける,薙ぎ倒す
arrow	0.021733	矢矧
law	0.020375	範,聟
point	0.016300	短
falsify	0.016300	矯める
straighten	0.016300	矯める
correct	0.016300	矯める
cure	0.016300	矯める
son	0.016300	聟
hus	0.016300	聟
band	0.016300	聟
groom	0.016300	聟
back	0.013971	陰
behind	0.013971	陰
one	0.013747	矢張り,識る,陰
fletcher	0.010867	矢矧
maker	0.010867	矢矧
fletch	0.010867	矢矧
make	0.010867	矢矧
wait	0.009314	待つ
depend	0.009314	待つ
need	0.009314	待つ
await	0.009314	待つ
look	0.009314	待つ
forward	0.009314	待つ
anticipate	0.009314	待つ
ridiculous	0.009314	痴がましい
laugh	0.009314	痴がましい
able	0.009314	痴がましい
absurd	0.009314	痴がましい
pre	0.009314	痴がましい
sumptuous	0.009314	痴がましい
impertinent	0.009314	痴がましい
impudent	0.009314	痴がましい
cheeky	0.009314	痴がましい
side	0.008732	範,陰
slope	0.008150	範
measurement	0.008150	範
defeat	0.008150	薙ぎ倒す
beat	0.008150	薙ぎ倒す
mow	0.008150	薙ぎ倒す
cut	0.008150	薙ぎ倒す
knock	0.008150	薙ぎ倒す
dreary	0.008150	塵埃
world	0.008150	塵埃
petty	0.008150	塵埃
affair	0.008150	塵埃
every	0.008150	塵埃
day	0.008150	塵埃
life	0.008150	塵埃
dust	0.008150	塵埃
dirt	0.008150	塵埃
card	0.008150	短
minor	0.008150	短
short	0.008150	短
fault	0.008150	短
defect	0.008150	短
weak	0.008150	短
burn	0.007671	焼ける
greet	0.006209	挨拶
know	0.006112	識る
go	0.005873	焼ける,識る
still	0.005015	矢張り
expect	0.005015	矢張り
all	0.005015	矢張り
gloom	0.004657	陰
dark	0.004657	陰
ness	0.004657	陰
shade	0.004657	陰
shadow	0.004657	陰
other	0.004657	陰
ground	0.004657	陰
scene	0.004657	陰
some	0.004657	陰
get	0.004075	識る
acquaint	0.004075	識る
con	0.004075	識る
cern	0.004075	識る
model	0.004075	範
pat	0.004075	範
tern	0.004075	範
tea	0.004075	範
ching	0.004075	範
buddha	0.004075	範
buddhist	0.004075	範
doctrine	0.004075	範
transverse	0.004075	範
across	0.004075	範
rule	0.004075	範
regulation	0.004075	範
become	0.003835	焼ける
hot	0.003835	焼ける
glow	0.003835	焼ける
red	0.003835	焼ける
jealous	0.003835	焼ける
envious	0.003835	焼ける
roast	0.003835	焼ける
thoroughly	0.003835	焼ける
cook	0.003835	焼ける
sunburnt	0.003835	焼ける
fade	0.003835	焼ける
flame	0.003835	焼ける
fine	0.003105	挨拶
thing	0.003105	挨拶
say	0.003105	挨拶
dialoge	0.003105	挨拶
relation	0.003105	挨拶
ship	0.003105	挨拶
connect	0.003105	挨拶
ion	0.003105	挨拶
reply	0.003105	挨拶
response	0.003105	挨拶
revenge	0.003105	挨拶
retaliation	0.003105	挨拶
speech	0.003105	挨拶
address	0.003105	挨拶
intervention	0.003105	挨拶
mediation	0.003105	挨拶
mediator	0.003105	挨拶
ing	0.003105	挨拶
salutation	0.003105	挨拶
salute	0.003105	挨拶
condolence	0.003105	挨拶
congratulation	0.003105	挨拶
before	0.002508	矢張り
sure	0.002508	矢張り
enough	0.002508	矢張り
just	0.002508	矢張り
think	0.002508	矢張り
after	0.002508	矢張り
end	0.002508	矢張り
would	0.002508	矢張り
any	0.002508	矢張り
case	0.002508	矢張り
same	0.002508	矢張り
even	0.002508	矢張り
so	0.002508	矢張り
nonetheless	0.002508	矢張り
too	0.002508	矢張り
well	0.002508	矢張り
like	0.002508	矢張り
wise	0.002508	矢張り
either	0.002508	矢張り
experience	0.002037	識る
through	0.002037	識る
rem	0.002037	識る
ember	0.002037	識る
familiar	0.002037	識る
do	0.002037	識る
responsibility	0.002037	識る
sense	0.002037	識る
feel	0.002037	識る
notice	0.002037	識る
realize	0.002037	識る
under	0.002037	識る
stand	0.002037	識る
comprehend	0.002037	識る
grasp	0.002037	識る
appreciate	0.002037	識る
aware	0.002037	識る
conscious	0.002037	識る
learn	0.002037	識る
find	0.002037	識る
out	0.002037	識る
disc	0.002037	識る
over	0.002037	識る
