# word cloud top all for element 示
# token	weight	(optional sources)
festival	0.028982	祭り,祭禮
one	0.019190	刀禰,踪跡,鉗む
police	0.016147	警察
smoke	0.013456	禁煙
sub	0.013456	崇高
lime	0.013456	崇高
ever	0.013456	賢木
green	0.013456	賢木
sakaki	0.013456	賢木
sand	0.013456	鰰
fish	0.013456	鰰
pray	0.010573	祭る,禱る
ion	0.009270	旨,禁煙,表示
murmur	0.008971	淙淙
gurgle	0.008971	淙淙
babble	0.008971	淙淙
ablute	0.008971	禊ぐ
cleanse	0.008971	禊ぐ
repent	0.008971	禊ぐ
say	0.007689	禱る
against	0.007689	防ぐ
open	0.007689	開襟
rank	0.007656	刀禰,宝祚
lofty	0.006728	崇高
noble	0.006728	崇高
deify	0.006728	祭る
enshrine	0.006728	祭る
worship	0.006728	祭る
emperor	0.006728	宝祚
imperial	0.006728	宝祚
throne	0.006728	宝祚
sail	0.006728	鰰
fin	0.006728	鰰
japan	0.006728	鰰
ese	0.006728	鰰
look	0.006575	総覧,縹緻
official	0.006310	俸禄,刀禰
display	0.005980	表示
wish	0.005639	旨,禱る
hold	0.005434	祠堂,鉗む
retainer	0.005382	俸禄
sti	0.005382	俸禄
pend	0.005382	俸禄
pay	0.005382	俸禄
salary	0.005382	俸禄
off	0.005382	警察
icer	0.005382	警察
station	0.005382	警察
prohibit	0.005382	禁煙
guide	0.004893	総覧
reach	0.004485	稟議
decision	0.004485	稟議
vote	0.004485	票
ballot	0.004485	票
label	0.004485	票
ticket	0.004485	票
tag	0.004485	票
stub	0.004485	票
ity	0.004485	実際
actual	0.004485	実際
circu	0.004485	稟議
each	0.004140	擦れ違う
other	0.004140	擦れ違う
lay	0.004140	祠堂
hall	0.004140	祠堂
hope	0.003845	禱る
prayer	0.003845	禱る
grace	0.003845	禱る
neck	0.003845	開襟
shirt	0.003845	開襟
up	0.003845	開襟
unbutton	0.003845	開襟
collar	0.003845	開襟
defend	0.003845	防ぐ
protect	0.003845	防ぐ
pre	0.003845	防ぐ
vent	0.003845	防ぐ
avert	0.003845	防ぐ
avoid	0.003845	防ぐ
