# word cloud top all for element 礻
# token	weight	(optional sources)
say	0.025280	禱る
ever	0.022120	賢木
green	0.022120	賢木
sakaki	0.022120	賢木
sand	0.022120	鰰
fish	0.022120	鰰
wish	0.017556	祝う,禱る
pray	0.017556	祝う,禱る
social	0.014747	福祉
celeb	0.014747	祝う
ese	0.013272	社,鰰
hope	0.012640	禱る
prayer	0.012640	禱る
grace	0.012640	禱る
priest	0.012586	刀禰,禰宜
god	0.011429	天神,社,福禄
wealth	0.011060	富裕
rich	0.011060	富裕
affluence	0.011060	富裕
opulence	0.011060	富裕
senior	0.011060	禰宜
grass	0.011060	禰宜
hopper	0.011060	禰宜
locust	0.011060	禰宜
happi	0.011060	福禄
ness	0.011060	福禄
prosper	0.011060	福禄
ity	0.011060	福禄
sail	0.011060	鰰
fin	0.011060	鰰
japan	0.011060	鰰
mountain	0.009831	禅定
wel	0.009831	福祉
fare	0.009831	福祉
ration	0.009831	祝う
parent	0.009480	親
bow	0.007373	礼
tea	0.007373	大福
year	0.007373	大福
key	0.006847	礼,親
observe	0.006617	祝う,観る
father	0.006320	親
shrine	0.006267	天神,社
ancestor	0.006109	発祥,親
emperor	0.005899	発祥
fukurokuju	0.005530	福禄
long	0.005530	福禄
life	0.005530	福禄
ine	0.005388	大福,観る
look	0.005105	観る
present	0.004916	祝う
drink	0.004916	祝う
rate	0.004916	祝う
congratulate	0.004916	祝う
well	0.004916	福祉
be	0.004916	福祉
security	0.004916	福祉
service	0.004916	福祉
annoy	0.004916	禍禍しい
appear	0.004916	禍禍しい
true	0.004916	禍禍しい
plausible	0.004916	禍禍しい
ominous	0.004916	禍禍しい
sinister	0.004916	禍禍しい
unlucky	0.004916	禍禍しい
ill	0.004916	禍禍しい
omen	0.004916	禍禍しい
asce	0.004916	禅定
tic	0.004916	禅定
practice	0.004916	禅定
atop	0.004916	禅定
sacr	0.004916	禅定
dhyana	0.004916	禅定
samadhi	0.004916	禅定
top	0.004916	禅定
one	0.004475	刀禰,発祥
man	0.004475	刀禰,発祥
company	0.004424	社
swallow	0.003687	大福
great	0.003687	大福
amount	0.003687	大福
medic	0.003687	大福
pre	0.003687	大福
pare	0.003687	大福
new	0.003687	大福
first	0.003687	大福
water	0.003687	大福
money	0.003687	礼
cere	0.003687	礼
mony	0.003687	礼
ritual	0.003687	礼
manner	0.003687	礼
etiquette	0.003687	礼
reward	0.003687	礼
gift	0.003687	礼
thank	0.003687	礼
gratitude	0.003687	礼
heavenly	0.003687	天神
dry	0.003687	天神
plum	0.003687	天神
see	0.003403	観る
try	0.003403	観る
owner	0.003160	親
fore	0.003160	親
dealer	0.003160	親
banker	0.003160	親
founder	0.003160	親
inventor	0.003160	親
main	0.003160	親
mother	0.003160	親
town	0.003051	刀禰
member	0.003051	刀禰
river	0.003051	刀禰
boat	0.003051	刀禰
appearance	0.002949	発祥
auspicious	0.002949	発祥
sign	0.002949	発祥
will	0.002949	発祥
receive	0.002949	発祥
divine	0.002949	発祥
date	0.002949	発祥
become	0.002949	発祥
birth	0.002949	発祥
his	0.002949	発祥
origin	0.002949	発祥
counter	0.002212	社
etc	0.002212	社
regio	0.002212	社
nal	0.002212	社
chin	0.002212	社
earth	0.002212	社
incorporate	0.002212	社
body	0.002212	社
corp	0.002212	社
oration	0.002212	社
corporate	0.002212	社
juridical	0.002212	社
person	0.002212	社
firm	0.002212	社
office	0.002212	社
association	0.002212	社
society	0.002212	社
tenmangu	0.001843	天神
prostitute	0.001843	天神
second	0.001843	天神
high	0.001843	天神
est	0.001843	天神
class	0.001843	天神
spirit	0.001843	天神
sugawara	0.001843	天神
no	0.001843	天神
michizane	0.001843	天神
tenjin	0.001843	天神
hair	0.001843	天神
style	0.001843	天神
tune	0.001843	天神
peg	0.001843	天神
pit	0.001843	天神
experience	0.001702	観る
meet	0.001702	観る
find	0.001702	観る
go	0.001702	観る
give	0.001702	観る
after	0.001702	観る
attend	0.001702	観る
take	0.001702	観る
care	0.001702	観る
keep	0.001702	観る
eye	0.001702	観る
exam	0.001702	観る
over	0.001702	観る
assess	0.001702	観る
check	0.001702	観る
judge	0.001702	観る
watch	0.001702	観る
view	0.001702	観る
harbor	0.001526	刀禰
manager	0.001526	刀禰
government	0.001526	刀禰
official	0.001526	刀禰
charge	0.001526	刀禰
esp	0.001526	刀禰
heian	0.001526	刀禰
kyoto	0.001526	刀禰
four	0.001526	刀禰
administrative	0.001526	刀禰
rank	0.001526	刀禰
ritsury	0.001526	刀禰
system	0.001526	刀禰
prominent	0.001526	刀禰
bandit	0.001526	刀禰
leader	0.001526	刀禰
head	0.001526	刀禰
gang	0.001526	刀禰
brigand	0.001526	刀禰
captain	0.001526	刀禰
