# word cloud top all for element 祭
# token	weight	(optional sources)
police	0.130326	警察
off	0.043442	警察
icer	0.043442	警察
station	0.043442	警察
ity	0.036202	実際
actual	0.036202	実際
each	0.033417	擦れ違う
other	0.033417	擦れ違う
bhutakoti	0.018101	実際
practice	0.018101	実際
truly	0.018101	実際
really	0.018101	実際
inde	0.018101	実際
actu	0.018101	実際
ally	0.018101	実際
real	0.018101	実際
truth	0.018101	実際
fact	0.018101	実際
condition	0.018101	実際
festival	0.016708	祭り
feast	0.016708	祭り
galore	0.016708	祭り
frenzy	0.016708	祭り
mania	0.016708	祭り
harassment	0.016708	祭り
inter	0.016708	祭り
net	0.016708	祭り
pitch	0.016708	祭り
fork	0.016708	祭り
mob	0.016708	祭り
on	0.016708	祭り
line	0.016708	祭り
sham	0.016708	祭り
flame	0.016708	祭り
miss	0.016708	擦れ違う
fail	0.016708	擦れ違う
meet	0.016708	擦れ違う
pas	0.016708	擦れ違う
brush	0.016708	擦れ違う
past	0.016708	擦れ違う
odd	0.016708	擦れ違う
clash	0.016708	擦れ違う
conflict	0.016708	擦れ違う
