# word cloud top all for element 立
# token	weight	(optional sources)
less	0.014511	双璧,無辜,糟,闇い
war	0.012955	艨艟
ship	0.012955	艨艟
thunder	0.012955	霹靂
ion	0.012320	意趣,故障,竣工,解剖,辞,響く
one	0.010753	僻む,瞳,立つ,竦む,菩薩,衝く,識る,重ね
ese	0.010685	幡幢,梓,辣韮,辯,音
bright	0.008328	双璧,黄蘗色
yellow	0.007474	梓,黄蘗色
latin	0.007403	羅甸
dark	0.006894	闇い,黯然
ical	0.006665	立つ,譬え歌
completion	0.006477	竣工
construct	0.006477	竣工
lattic	0.006477	蔀戸
shutter	0.006477	蔀戸
metaphor	0.006477	譬え歌
clap	0.006477	霹靂
japan	0.006367	梓,辣韮,辯
page	0.005296	童僕,童部,鏡
peace	0.005182	静寧
camp	0.005182	樟
hor	0.005182	樟
over	0.005177	屠る,糟,識る,辯,重ね
form	0.005054	瘴気,立つ,譬え歌
memory	0.004858	余韻,諳んずる
cultivation	0.004858	培養
fold	0.004750	倍,襞
up	0.004746	立つ,衝く,警鐘,辟易,重ね
position	0.004660	位,立つ,躄る
young	0.004534	童僕,童部
servant	0.004534	童僕,童部
para	0.004318	胸壁
pet	0.004318	胸壁
chin	0.004318	幡幢,辣韮,音
eye	0.004318	瞳
pupil	0.004318	瞳
logistic	0.004318	兵站
supply	0.004318	兵站
communi	0.004318	兵站
cation	0.004318	兵站
innocent	0.004318	無辜
blame	0.004318	無辜
guilt	0.004318	無辜
mountain	0.004318	山彦
long	0.004030	幡幢,憬れ
child	0.003886	童部
rise	0.003802	立つ,諳んずる
match	0.003701	双璧
ity	0.003587	僻む,静寧
con	0.003422	慌てる,接する,識る
tree	0.003353	樟,蒼龍
bell	0.003239	警鐘
male	0.003239	童僕
post	0.003239	解剖
mortem	0.003239	解剖
memorize	0.003239	諳んずる
memo	0.003239	諳んずる
recite	0.003239	諳んずる
poem	0.003239	譬え歌
shift	0.003239	躄る
shuffle	0.003239	躄る
crawl	0.003239	躄る
self	0.003176	立つ,竦む,衝く
note	0.003059	余韻,音
cat	0.002990	梓
alpa	0.002990	梓
after	0.002926	余韻,接する,究竟
leek	0.002879	辣韮
shrink	0.002847	竦む,辟易
unable	0.002847	竦む,辟易
gloomy	0.002803	闇い,黯然
dispirit	0.002803	闇い,黯然
become	0.002686	慌てる,立つ,菩薩
ect	0.002638	接する,辞,辯
yearn	0.002591	憬れ
aspiration	0.002591	憬れ
ado	0.002591	憬れ
ration	0.002591	憬れ
admiration	0.002591	憬れ
quiet	0.002591	静寧
tranquil	0.002591	静寧
earth	0.002591	静寧
double	0.002591	倍
twice	0.002591	倍
time	0.002591	倍
nth	0.002591	倍
me	0.002591	妾
mistress	0.002591	妾
keep	0.002591	妾
woman	0.002591	妾
concubine	0.002591	妾
camphor	0.002591	樟
