# word cloud top all for element 罒
# token	weight	(optional sources)
man	0.028186	男鰥,邏卒
deduct	0.019730	演繹
tam	0.019730	銅鑼
net	0.019730	網
shu	0.017757	蜀
bai	0.014797	白澤
ze	0.014797	白澤
poultice	0.014797	罨法
pack	0.014797	罨法
become	0.011838	濁る
rule	0.010922	罫線,羈縻
bear	0.010624	熊羆,置く
ring	0.010089	輪,鐶
web	0.009865	網
ive	0.009865	演繹
reason	0.009865	演繹
ion	0.009865	演繹
valiant	0.009865	熊羆
person	0.009865	熊羆
travel	0.009865	羈旅
traveler	0.009865	羈旅
traveller	0.009865	羈旅
gong	0.009865	銅鑼
police	0.009865	邏卒
service	0.009865	邏卒
patrol	0.009865	邏卒
station	0.009865	驛
home	0.009106	還る
leave	0.008727	置く,罷り出る,還る
light	0.007623	曙光,燭
circle	0.007399	輪
self	0.007399	罷り出る,羈縻
duo	0.007399	鐸
large	0.007399	鐸
wind	0.007399	鐸
bell	0.007399	鐸
way	0.007399	驛
skull	0.007399	髑髏
death	0.007399	髑髏
head	0.007399	髑髏
cranium	0.007399	髑髏
god	0.006949	修羅,天罰
punishment	0.006830	天罰,罪
one	0.006450	置く,罷り出る
up	0.005938	惘れる,置く,買う
azalea	0.005919	躑躅
hesitation	0.005919	躑躅
indecision	0.005919	躑躅
vacillation	0.005919	躑躅
waver	0.005919	躑躅
sichuan	0.005919	蜀
han	0.005919	蜀
day	0.005381	曙光
first	0.005381	曙光
system	0.004932	羈縻
rail	0.004932	驛
obsolete	0.004932	燭
unit	0.004932	燭
luminous	0.004932	燭
intensity	0.004932	燭
lamp	0.004932	燭
appear	0.004932	罷り出る
before	0.004932	罷り出る
present	0.004932	罷り出る
withdraw	0.004932	罷り出る
get	0.004553	還る
go	0.004553	還る
come	0.004553	天罰,還る
just	0.004553	天罰
put	0.004477	置く,込める
bachelor	0.004228	男鰥
single	0.004228	男鰥
widower	0.004228	男鰥
divorce	0.004228	男鰥
remarry	0.004228	男鰥
border	0.004228	罫線
chart	0.004228	罫線
crease	0.004228	罫線
score	0.004228	罫線
line	0.004228	罫線
high	0.003946	買う,驛
take	0.003718	置く,買う
amaze	0.003699	惘れる
shock	0.003699	惘れる
astonish	0.003699	惘れる
astound	0.003699	惘れる
disgust	0.003699	惘れる
exasperate	0.003699	惘れる
feed	0.003699	惘れる
hoop	0.003699	輪
planet	0.003699	輪
ary	0.003699	輪
wheel	0.003699	輪
loop	0.003699	輪
dud	0.003288	藷
worth	0.003288	藷
less	0.003288	藷
thing	0.003288	藷
yokel	0.003288	藷
bump	0.003288	藷
kin	0.003288	藷
tuber	0.003288	藷
taro	0.003288	藷
potato	0.003288	藷
yam	0.003288	藷
down	0.003225	置く,羈縻
fight	0.003115	修羅
demi	0.003115	修羅
include	0.002959	込める
load	0.002959	込める
charge	0.002959	込める
hang	0.002959	込める
over	0.002959	込める
shroud	0.002959	込める
enshroud	0.002959	込める
envelop	0.002959	込める
screen	0.002959	込める
dawn	0.002690	曙光
break	0.002690	曙光
indication	0.002690	曙光
glimpse	0.002690	曙光
gleam	0.002690	曙光
flash	0.002690	曙光
prospect	0.002690	曙光
open	0.002690	鐶
spiral	0.002690	鐶
heavy	0.002690	鐶
metal	0.002690	鐶
wire	0.002690	鐶
twist	0.002690	鐶
kettle	0.002690	鐶
use	0.002690	鐶
lift	0.002690	鐶
link	0.002690	鐶
counter	0.002466	驛
bus	0.002466	驛
stag	0.002466	驛
post	0.002466	驛
train	0.002466	驛
jimi	0.002466	羈縻
ancient	0.002466	羈縻
chin	0.002466	羈縻
ese	0.002466	羈縻
administrative	0.002466	羈縻
tie	0.002466	羈縻
fasten	0.002466	羈縻
bind	0.002466	羈縻
voice	0.002368	濁る
impure	0.002368	濁る
plate	0.002277	還る
return	0.002277	還る
back	0.002277	還る
sui	0.002277	天罰
table	0.002277	天罰
desert	0.002277	天罰
uppance	0.002277	天罰
divine	0.002277	天罰
wrath	0.002277	天罰
ice	0.002277	天罰
heaven	0.002277	天罰
nemesi	0.002277	天罰
thoughtless	0.002277	罪
ness	0.002277	罪
lack	0.002277	罪
consideration	0.002277	罪
fault	0.002277	罪
responsibility	0.002277	罪
culpability	0.002277	罪
penalty	0.002277	罪
