# word cloud top all for element 羊
# token	weight	(optional sources)
precipitous	0.038857	険
sacrifice	0.019428	犠牲
potter	0.019428	窯元
pottery	0.019428	窯元
outfit	0.015543	艤装
moss	0.015543	蘿
fai	0.012952	蹉跌
lure	0.012952	蹉跌
stumble	0.012952	蹉跌
set	0.012952	蹉跌
back	0.012952	蹉跌
scaby	0.012952	皮癬
itch	0.012952	皮癬
mange	0.012952	皮癬
enviable	0.012952	羨ましい
envious	0.012952	羨ましい
jealous	0.012952	羨ましい
mean	0.012628	別義,羊腸
sermon	0.011102	談議
talk	0.011102	談議
discuss	0.011102	談議
ion	0.011102	談議
up	0.010126	差す,詳細,養う
victim	0.009714	犠牲
casualty	0.009714	犠牲
special	0.009714	別義
one	0.009420	差す,発祥,群棲
hinder	0.008635	障む
ting	0.008478	差す,艤装
rig	0.007771	艤装
fit	0.007771	艤装
equipment	0.007771	艤装
chastise	0.007771	鞭撻
whip	0.007771	鞭撻
encouragement	0.007771	鞭撻
urge	0.007771	鞭撻
spur	0.007771	鞭撻
sheep	0.007771	羊腸
intestine	0.007771	羊腸
wind	0.007771	羊腸
zigzag	0.007771	羊腸
der	0.007771	羊腸
short	0.007771	蘿
plant	0.007771	蘿
resemble	0.007771	蘿
view	0.007065	詳細
detail	0.007065	詳細
specific	0.007065	詳細
become	0.006908	発祥,障む
admonition	0.005551	談議
reprimand	0.005551	談議
preach	0.005551	談議
lecture	0.005551	談議
consultation	0.005551	談議
conference	0.005551	談議
conversation	0.005551	談議
chat	0.005551	談議
brilliant	0.005551	鮮やか
occident	0.005551	洋
orient	0.005551	洋
ocean	0.005551	洋
sea	0.005551	洋
foreign	0.005551	洋
western	0.005551	洋
european	0.005551	洋
ill	0.005551	無躾
breed	0.005551	無躾
impolite	0.005551	無躾
rude	0.005551	無躾
impudent	0.005551	無躾
insolent	0.005551	無躾
blunt	0.005551	無躾
run	0.005368	障む,飛ぶ
emperor	0.005181	発祥
live	0.005181	群棲
different	0.004857	別義
sepa	0.004857	別義
rate	0.004857	別義
matter	0.004857	別義
reason	0.004857	別義
circum	0.004857	別義
stance	0.004857	別義
yeah	0.004571	於戯
sick	0.004317	障む
strike	0.004317	障む
disaster	0.004317	障む
problem	0.004317	障む
accident	0.004317	障む
close	0.004239	差す,詳細
fly	0.004201	飛ぶ
off	0.004201	飛ぶ
zoom	0.003532	詳細
minute	0.003532	詳細
particular	0.003532	詳細
raise	0.003297	差す,養う
arm	0.002826	差す
come	0.002807	差す,飛ぶ
vivid	0.002775	鮮やか
bright	0.002775	鮮やか
clear	0.002775	鮮やか
fresh	0.002775	鮮やか
vibrant	0.002775	鮮やか
skillful	0.002775	鮮やか
skilful	0.002775	鮮やか
adroit	0.002775	鮮やか
splendid	0.002775	鮮やか
superb	0.002775	鮮やか
magnificent	0.002775	鮮やか
fine	0.002775	鮮やか
all	0.002590	群棲
animate	0.002590	群棲
creation	0.002590	群棲
grow	0.002590	群棲
en	0.002590	群棲
masse	0.002590	群棲
location	0.002590	群棲
gregariously	0.002590	群棲
flock	0.002590	群棲
herd	0.002590	群棲
colony	0.002590	群棲
etc	0.002590	群棲
adopt	0.002590	養う
recuperate	0.002590	養う
support	0.002590	養う
maintain	0.002590	養う
pro	0.002590	養う
vide	0.002590	養う
bring	0.002590	養う
rear	0.002590	養う
fee	0.002590	養う
cultivate	0.002590	養う
develop	0.002590	養う
build	0.002590	養う
foster	0.002590	養う
appearance	0.002590	発祥
auspicious	0.002590	発祥
sign	0.002590	発祥
will	0.002590	発祥
receive	0.002590	発祥
divine	0.002590	発祥
man	0.002590	発祥
date	0.002590	発祥
birth	0.002590	発祥
his	0.002590	発祥
ancestor	0.002590	発祥
origin	0.002590	発祥
hey	0.002286	於戯
yo	0.002286	於戯
aah	0.002286	於戯
gah	0.002286	於戯
argh	0.002286	於戯
ah	0.002286	於戯
oh	0.002286	於戯
ala	0.002286	於戯
yes	0.002286	於戯
inde	0.002286	於戯
correct	0.002286	於戯
uh	0.002286	於戯
huh	0.002286	於戯
right	0.002286	於戯
gotcha	0.002286	於戯
put	0.002119	差す
out	0.002100	飛ぶ
jump	0.002100	飛ぶ
insert	0.001413	差す
under	0.001413	差す
wear	0.001413	差す
send	0.001050	飛ぶ
soar	0.001050	飛ぶ
hurry	0.001050	飛ぶ
rush	0.001050	飛ぶ
miss	0.001050	飛ぶ
skip	0.001050	飛ぶ
flee	0.001050	飛ぶ
escape	0.001050	飛ぶ
break	0.001050	飛ぶ
fall	0.001050	飛ぶ
blow	0.001050	飛ぶ
disappear	0.001050	飛ぶ
vanish	0.001050	飛ぶ
fade	0.001050	飛ぶ
thin	0.001050	飛ぶ
spatter	0.001050	飛ぶ
scatter	0.001050	飛ぶ
splash	0.001050	飛ぶ
leap	0.001050	飛ぶ
spring	0.001050	飛ぶ
bind	0.001050	飛ぶ
hop	0.001050	飛ぶ
visible	0.000706	差す
extend	0.000706	差す
straight	0.000706	差す
ahead	0.000706	差す
opponent	0.000706	差す
pole	0.000706	差す
shine	0.000706	差す
felt	0.000706	差す
over	0.000706	差す
light	0.000706	差す
burn	0.000706	差す
rise	0.000706	差す
flow	0.000706	差す
stop	0.000706	差す
midst	0.000706	差す
leave	0.000706	差す
undo	0.000706	差す
hold	0.000706	差す
pour	0.000706	差す
add	0.000706	差す
serve	0.000706	差す
belt	0.000706	差す
side	0.000706	差す
carry	0.000706	差す
apply	0.000706	差す
colour	0.000706	差す
dye	0.000706	差す
shut	0.000706	差す
lock	0.000706	差す
fasten	0.000706	差す
