# word cloud top all for element 美
# token	weight	(optional sources)
good	0.069767	美味い
ill	0.066445	無躾
breed	0.066445	無躾
impolite	0.066445	無躾
rude	0.066445	無躾
impudent	0.066445	無躾
insolent	0.066445	無躾
blunt	0.066445	無躾
delicious	0.023256	美味い
tasty	0.023256	美味い
nice	0.023256	美味い
profit	0.023256	美味い
able	0.023256	美味い
prom	0.023256	美味い
ise	0.023256	美味い
lucky	0.023256	美味い
fort	0.023256	美味い
unate	0.023256	美味い
successful	0.023256	美味い
satisfactory	0.023256	美味い
splendid	0.023256	美味い
skillful	0.023256	美味い
skilful	0.023256	美味い
skill	0.023256	美味い
expert	0.023256	美味い
clever	0.023256	美味い
apt	0.023256	美味い
appropriate	0.023256	美味い
