# word cloud top all for element 羽
# token	weight	(optional sources)
one	0.028641	翕然,陰,雪ぐ
sell	0.023990	糶る,糶糴
out	0.021929	引摺る,擢んでる,雪ぐ,飛ぶ
up	0.018409	煽る,躍る,輝く
weep	0.016450	連翹
right	0.015152	右翼
buy	0.013709	糶糴
grain	0.013709	糶糴
paddle	0.013709	櫂
oar	0.013709	櫂
scull	0.013709	櫂
bend	0.013709	褶曲
geo	0.013709	褶曲
logic	0.013709	褶曲
fold	0.013709	褶曲
wing	0.013228	右翼,羽根
death	0.011750	誅戮
bid	0.010281	糶る
compete	0.010281	糶る
auction	0.010281	糶る
accord	0.010281	翕然
unanimously	0.010281	翕然
unrefin	0.009139	醪
feat	0.009139	羽根
her	0.009139	羽根
shuttle	0.009139	羽根
cock	0.009139	羽根
exercise	0.009139	演習
drill	0.009139	演習
stand	0.009019	右翼,擢んでる
back	0.008813	陰
behind	0.008813	陰
forsythia	0.008225	連翹
golden	0.008225	連翹
bell	0.008225	連翹
drag	0.007711	引摺る
down	0.007507	羽根,躍る
fly	0.007384	飛ぶ,飜る
resin	0.006854	膠
tar	0.006854	膠
nicotine	0.006854	膠
sleep	0.006854	膠
eye	0.006854	膠
discharge	0.006854	膠
over	0.005875	飜る
flip	0.005875	飜る
suddenly	0.005875	飜る
put	0.005875	誅戮
criminal	0.005875	誅戮
punishment	0.005875	誅戮
execution	0.005875	誅戮
penalty	0.005875	誅戮
flap	0.005679	煽る,飜る
mistake	0.005483	謬る
jump	0.005161	躍る,飛ぶ
revenge	0.005141	雪ぐ
wipe	0.005141	雪ぐ
disgrace	0.005141	雪ぐ
rinse	0.005141	雪ぐ
wash	0.005141	雪ぐ
along	0.005141	引摺る
seminar	0.004570	演習
practice	0.004570	演習
military	0.004570	演習
man	0.004570	演習
oeuvre	0.004570	演習
maneuver	0.004570	演習
arrow	0.004570	羽根
blade	0.004570	羽根
plume	0.004570	羽根
main	0.004570	醪
ferment	0.004570	醪
mash	0.004570	醪
sake	0.004570	醪
soy	0.004570	醪
sauce	0.004570	醪
rough	0.004570	醪
off	0.004446	飛ぶ
high	0.004329	右翼
lonely	0.004113	寥寥
dreary	0.004113	寥寥
desolate	0.004113	寥寥
barren	0.004113	寥寥
few	0.004113	寥寥
scarce	0.004113	寥寥
sparse	0.004113	寥寥
rare	0.004113	寥寥
hardly	0.004113	寥寥
any	0.004113	寥寥
light	0.004113	輝く
beam	0.004113	輝く
gleam	0.004113	輝く
glow	0.004113	輝く
shine	0.004113	輝く
sparkle	0.004113	輝く
twinkle	0.004113	輝く
glitter	0.004113	輝く
glisten	0.004113	輝く
leap	0.004049	躍る,飛ぶ
spring	0.004049	躍る,飛ぶ
tower	0.003427	擢んでる
above	0.003427	擢んでる
surpass	0.003427	擢んでる
outdo	0.003427	擢んでる
excel	0.003427	擢んでる
far	0.003427	擢んでる
better	0.003427	擢んでる
pre	0.003427	擢んでる
eminent	0.003427	擢んでる
gloom	0.002938	陰
dark	0.002938	陰
ness	0.002938	陰
shade	0.002938	陰
shadow	0.002938	陰
other	0.002938	陰
side	0.002938	陰
ground	0.002938	陰
scene	0.002938	陰
some	0.002938	陰
messy	0.002938	躍る
untidy	0.002938	躍る
move	0.002938	躍る
around	0.002938	躍る
bounce	0.002938	躍る
pound	0.002938	躍る
throb	0.002938	躍る
turn	0.002938	飜る
flutter	0.002938	飜る
wave	0.002938	飜る
change	0.002938	飜る
switch	0.002938	飜る
alter	0.002938	飜る
mislead	0.002742	謬る
misguide	0.002742	謬る
lead	0.002742	謬る
astray	0.002742	謬る
wrong	0.002742	謬る
incorrect	0.002742	謬る
false	0.002742	謬る
make	0.002742	謬る
commit	0.002742	謬る
error	0.002742	謬る
do	0.002742	謬る
incorrectly	0.002742	謬る
err	0.002742	謬る
drive	0.002742	煽る
price	0.002742	煽る
fan	0.002742	煽る
tail	0.002742	煽る
gate	0.002742	煽る
take	0.002742	煽る
photo	0.002742	煽る
low	0.002742	煽る
angle	0.002742	煽る
instigate	0.002742	煽る
stir	0.002742	煽る
incite	0.002742	煽る
agitate	0.002742	煽る
force	0.002570	引摺る
pro	0.002570	引摺る
long	0.002570	引摺る
trail	0.002570	引摺る
pull	0.002570	引摺る
grind	0.002570	引摺る
lug	0.002570	引摺る
influence	0.002570	引摺る
persuade	0.002570	引摺る
entice	0.002570	引摺る
lure	0.002570	引摺る
come	0.002223	飛ぶ
class	0.002165	右翼
rank	0.002165	右翼
field	0.002165	右翼
fielder	0.002165	右翼
flank	0.002165	右翼
send	0.001112	飛ぶ
soar	0.001112	飛ぶ
hurry	0.001112	飛ぶ
rush	0.001112	飛ぶ
miss	0.001112	飛ぶ
skip	0.001112	飛ぶ
flee	0.001112	飛ぶ
run	0.001112	飛ぶ
escape	0.001112	飛ぶ
break	0.001112	飛ぶ
fall	0.001112	飛ぶ
blow	0.001112	飛ぶ
disappear	0.001112	飛ぶ
vanish	0.001112	飛ぶ
fade	0.001112	飛ぶ
thin	0.001112	飛ぶ
spatter	0.001112	飛ぶ
scatter	0.001112	飛ぶ
splash	0.001112	飛ぶ
bind	0.001112	飛ぶ
hop	0.001112	飛ぶ
