# word cloud top all for element 耳
# token	weight	(optional sources)
temple	0.027474	顳顬
ion	0.017662	意趣,蒐集,連絡
one	0.016562	揖譲,揶揄う,最後,耽る,親爺
take	0.016020	取る,娶る
collect	0.013737	蒐集
law	0.013737	嫁,聟
tweezer	0.013737	鑷子
forcep	0.013737	鑷子
remote	0.013737	辺陬
region	0.013737	辺陬
sudden	0.013737	驟雨
hear	0.013214	耳,聴く
wife	0.012363	娶る,嫁
leader	0.009158	舵取り
roof	0.009158	葺き
thatch	0.009158	葺き
shin	0.009158	葺き
gle	0.009158	葺き
ear	0.008242	耳
handle	0.008242	撮み,耳
together	0.008013	三昧耶,凝集
dance	0.008013	三昧耶,舵取り
some	0.007457	揶揄う,聊か
down	0.007255	取る,驟雨
daughter	0.006868	嫁
bride	0.006868	嫁
son	0.006868	聟
hus	0.006868	聟
band	0.006868	聟
groom	0.006868	聟
wise	0.006868	聰明
sagacious	0.006868	聰明
intelligent	0.006868	聰明
sensible	0.006868	聰明
shower	0.006868	驟雨
pour	0.006868	驟雨
easy	0.006868	好餌
age	0.006843	蒐集,親爺,連絡
give	0.006438	取る,耽る,聴く
ship	0.006025	筈,舵取り
marry	0.005495	娶る
marriage	0.005495	娶る
little	0.005495	聊か
bite	0.005495	聊か
what	0.005495	聊か
slightly	0.005495	聊か
rather	0.005495	聊か
clever	0.005495	聡い
smart	0.005495	聡い
sharp	0.005495	聡い
sensitive	0.005495	聡い
discern	0.005495	聡い
meet	0.005397	三昧耶,連絡
listen	0.005233	聴く
private	0.004995	恥部
agglutination	0.004579	凝集
cohesion	0.004579	凝集
flocculation	0.004579	凝集
agglomeration	0.004579	凝集
clump	0.004579	凝集
gui	0.004579	舵取り
steer	0.004579	舵取り
helmsman	0.004579	舵取り
coxswain	0.004579	舵取り
be	0.004579	聾桟敷
nock	0.004338	筈
man	0.004338	親爺
make	0.004312	取る,揶揄う
up	0.004208	取る,耽る
out	0.004122	取る,筈,聾桟敷
fully	0.003944	揖譲,聢り
connect	0.003925	連絡
con	0.003925	連絡
tact	0.003925	連絡
fun	0.003925	揶揄う
rid	0.003821	三昧耶,取る
gather	0.003821	取る,蒐集
final	0.003663	最後
pick	0.003521	取る,撮み
bait	0.003434	好餌
decoy	0.003434	好餌
lure	0.003434	好餌
prey	0.003434	好餌
victim	0.003434	好餌
sucker	0.003434	好餌
equal	0.003434	三昧耶
ity	0.003434	三昧耶
warn	0.003434	三昧耶
hind	0.003434	三昧耶
rance	0.003434	三昧耶
time	0.003434	三昧耶
come	0.003434	三昧耶
engross	0.003434	耽る
lose	0.003434	耽る
absorb	0.003434	耽る
indulge	0.003434	耽る
self	0.003434	耽る
obsess	0.003434	耽る
intent	0.003434	意趣
reason	0.003434	意趣
revenge	0.003434	意趣
disposition	0.003434	意趣
obstinacy	0.003434	意趣
grudge	0.003434	意趣
malice	0.003434	意趣
spite	0.003434	意趣
garb	0.003434	蒐集
waste	0.003434	蒐集
accumulate	0.003434	蒐集
harvest	0.003134	取る,撮み
get	0.003123	取る,連絡
namely	0.003053	輒ち
precisely	0.003053	輒ち
exactly	0.003053	輒ち
just	0.003053	輒ち
noth	0.003053	輒ち
neither	0.003053	輒ち
more	0.003053	輒ち
nor	0.003053	輒ち
less	0.003053	輒ち
accept	0.003004	取る,聴く
old	0.002892	親爺
under	0.002885	取る,恥部
hand	0.002885	取る,揖譲
pinch	0.002747	撮み
snack	0.002747	撮み
side	0.002747	撮み
dish	0.002747	撮み
knob	0.002747	撮み
button	0.002747	撮み
edge	0.002747	耳
crust	0.002747	耳
heel	0.002747	耳
selvedge	0.002747	耳
selvage	0.002747	耳
off	0.002676	取る,聾桟敷
keep	0.002676	取る,聾桟敷
smell	0.002617	聴く
sample	0.002617	聴く
taste	0.002617	聴く
try	0.002617	聴く
ask	0.002617	聴く
enquire	0.002617	聴く
query	0.002617	聴く
learn	0.002617	聴く
follow	0.002617	聴く
obey	0.002617	聴く
comply	0.002617	聴く
grant	0.002617	聴く
consideration	0.002617	聴く
disgraceful	0.002498	恥部
thing	0.002498	恥部
shame	0.002498	恥部
embarrassment	0.002498	恥部
belly	0.002498	恥部
part	0.002498	恥部
genitalia	0.002498	恥部
secret	0.002498	恥部
place	0.002498	恥部
abdication	0.002498	揖譲
emperor	0.002498	揖譲
successor	0.002498	揖譲
bow	0.002498	揖譲
respect	0.002498	揖譲
clasp	0.002498	揖譲
front	0.002498	揖譲
chest	0.002498	揖譲
upper	0.002289	聾桟敷
gallery	0.002289	聾桟敷
blind	0.002289	聾桟敷
seat	0.002289	聾桟敷
uninform	0.002289	聾桟敷
cut	0.002289	聾桟敷
loop	0.002289	聾桟敷
tease	0.001962	揶揄う
poke	0.001962	揶揄う
crack	0.001962	揶揄う
chaff	0.001962	揶揄う
kid	0.001962	揶揄う
joke	0.001962	揶揄う
banter	0.001962	揶揄う
pull	0.001962	揶揄う
leg	0.001962	揶揄う
relation	0.001962	連絡
link	0.001962	連絡
join	0.001962	連絡
touch	0.001962	連絡
communi	0.001962	連絡
cation	0.001962	連絡
correspondence	0.001962	連絡
call	0.001962	連絡
mess	0.001962	連絡
moment	0.001832	最後
end	0.001832	最後
conclusion	0.001832	最後
no	0.001832	最後
sooner	0.001832	最後
once	0.001832	最後
right	0.001832	最後
