# word cloud top all for element 艮
# token	weight	(optional sources)
enamel	0.022334	琺瑯
gum	0.016751	歯齦
gingiva	0.016751	歯齦
silver	0.015462	銀
ness	0.014653	気違い,色褪せる,逆恨み
comb	0.013401	櫛板
plate	0.013401	櫛板
ette	0.012284	嬢,莨
metal	0.011167	琺瑯
ware	0.011167	琺瑯
tobacco	0.011167	莨
cigar	0.011167	莨
signal	0.010050	狼煙
start	0.009746	就く,狼煙
one	0.008862	灌ぐ,節,蹌踉めく,逆恨み
indignant	0.008375	慨然
sorrowful	0.008375	慨然
steadfast	0.008375	慨然
deter	0.008375	慨然
mine	0.008375	慨然
fine	0.008312	朗らか,良い
feat	0.007445	羽根
her	0.007445	羽根
shuttle	0.007445	羽根
cock	0.007445	羽根
state	0.006700	卿
minister	0.006700	卿
you	0.006700	卿
lord	0.006700	卿
sir	0.006700	卿
mad	0.006700	気違い
madman	0.006700	気違い
enthusiast	0.006700	気違い
freak	0.006700	気違い
junkie	0.006700	気違い
pecten	0.006700	櫛板
miss	0.006700	嬢
unmarry	0.006700	嬢
woman	0.006700	嬢
es	0.006700	嬢
thigh	0.006700	太腿
buttock	0.006700	太腿
arse	0.006700	太腿
as	0.006700	太腿
butt	0.006700	太腿
take	0.006336	就く,浪漫,除ける
vision	0.006296	眼,糧
grow	0.006091	色褪せる
lose	0.006091	色褪せる
color	0.005623	色褪せる,銀
some	0.005620	眼,蹌踉めく,逆恨み
resentment	0.005584	逆恨み
food	0.005584	糧
pro	0.005584	糧
nourishment	0.005584	糧
sustenance	0.005584	糧
source	0.005584	糧
encouragement	0.005584	糧
plant	0.005584	莨
cigaret	0.005584	莨
pour	0.005584	灌ぐ
down	0.005584	灌ぐ,羽根
love	0.005139	浪漫,蹌踉めく
affair	0.005139	浪漫,蹌踉めく
bright	0.004786	朗らか
clear	0.004786	朗らか
cheerful	0.004786	朗らか
merry	0.004786	朗らか
sunny	0.004786	朗らか
melodious	0.004786	朗らか
all	0.004555	大概,良い
eye	0.004277	眼
romance	0.004188	浪漫
nth	0.004188	郎
man	0.004188	郎
my	0.004188	郎
sect	0.004188	節
ion	0.004188	節
kind	0.003722	逆恨み
arrow	0.003722	羽根
blade	0.003722	羽根
wing	0.003722	羽根
plume	0.003722	羽根
end	0.003589	限り
do	0.003589	除ける
able	0.003526	良い
shoot	0.003350	狼煙
beacon	0.003350	狼煙
sky	0.003350	狼煙
rocket	0.003350	狼煙
fire	0.003350	狼煙
smoke	0.003350	狼煙
fade	0.003046	色褪せる
dull	0.003046	色褪せる
vivid	0.003046	色褪せる
fresh	0.003046	色褪せる
stale	0.003046	色褪せる
pale	0.003046	色褪せる
ascend	0.003046	就く
accede	0.003046	就く
study	0.003046	就く
apprentice	0.003046	就く
commence	0.003046	就く
depart	0.003046	就く
assume	0.003046	就く
hire	0.003046	就く
employ	0.003046	就く
stagger	0.003046	蹌踉めく
stumble	0.003046	蹌踉めく
totter	0.003046	蹌踉めく
misconduct	0.003046	蹌踉めく
self	0.003046	蹌踉めく
waver	0.003046	蹌踉めく
feel	0.003046	蹌踉めく
inclination	0.003046	蹌踉めく
be	0.002792	大概,逆恨み
bank	0.002577	銀
general	0.002577	銀
medal	0.002577	銀
coin	0.002577	銀
money	0.002577	銀
colour	0.002577	銀
counter	0.002393	限り
despite	0.002393	除ける
aside	0.002393	除ける
remove	0.002393	除ける
out	0.002127	大概,除ける
away	0.002127	大概,除ける
clause	0.002094	節
knot	0.002094	節
node	0.002094	節
occasion	0.002094	節
time	0.002094	節
principle	0.002094	節
integrity	0.002094	節
season	0.002094	節
term	0.002094	節
pas	0.002094	節
sage	0.002094	節
para	0.002094	節
graph	0.002094	節
verse	0.002094	節
stanza	0.002094	節
child	0.002094	郎
son	0.002094	郎
lang	0.002094	郎
official	0.002094	郎
title	0.002094	郎
ancient	0.002094	郎
china	0.002094	郎
young	0.002094	郎
hus	0.002094	郎
band	0.002094	郎
lover	0.002094	郎
novel	0.002094	浪漫
romantic	0.002094	浪漫
ism	0.002094	浪漫
heroic	0.002094	浪漫
tale	0.002094	浪漫
impossible	0.002094	浪漫
dream	0.002094	浪漫
adventurous	0.002094	浪漫
spirit	0.002094	浪漫
great	0.002094	浪漫
under	0.002094	浪漫
epic	0.002094	浪漫
adventure	0.002094	浪漫
shed	0.001861	灌ぐ
fall	0.001861	灌ぐ
concentrate	0.001861	灌ぐ
energy	0.001861	灌ぐ
devote	0.001861	灌ぐ
fix	0.001861	灌ぐ
flow	0.001861	灌ぐ
run	0.001861	灌ぐ
drain	0.001861	灌ぐ
sprinkle	0.001861	灌ぐ
water	0.001861	灌ぐ
onto	0.001861	灌ぐ
spray	0.001861	灌ぐ
most	0.001861	大概
ally	0.001861	大概
resent	0.001861	逆恨み
unjustify	0.001861	逆恨み
unreasonable	0.001861	逆恨み
grudge	0.001861	逆恨み
respond	0.001861	逆恨み
think	0.001861	逆恨み
ill	0.001861	逆恨み
who	0.001861	逆恨み
mean	0.001861	逆恨み
cause	0.001861	逆恨み
misunderstand	0.001861	逆恨み
easy	0.001763	良い
profit	0.001763	良い
beneficial	0.001763	良い
ok	0.001763	良い
right	0.001763	良い
no	0.001763	良い
problem	0.001763	良い
sufficient	0.001763	良い
enough	0.001763	良い
ready	0.001763	良い
pre	0.001763	良い
pare	0.001763	良い
good	0.001763	良い
excellent	0.001763	良い
nice	0.001763	良い
pleasant	0.001763	良い
agree	0.001763	良い
number	0.001426	眼
point	0.001426	眼
sight	0.001426	眼
resolutely	0.001196	除ける
boldly	0.001196	除ける
well	0.001196	除ける
difficulty	0.001196	除ける
accomplish	0.001196	除ける
adversity	0.001196	除ける
put	0.001196	除ける
someth	0.001196	除ける
way	0.001196	除ける
move	0.001196	除ける
group	0.001196	除ける
shun	0.001196	除ける
set	0.001196	除ける
keep	0.001196	除ける
apart	0.001196	除ける
exclude	0.001196	除ける
delivery	0.001196	限り
date	0.001196	限り
king	0.001196	限り
trump	0.001196	限り
card	0.001196	限り
since	0.001196	限り
after	0.001196	限り
continuously	0.001196	限り
remain	0.001196	限り
slice	0.001196	限り
cut	0.001196	限り
only	0.001196	限り
just	0.001196	限り
bind	0.001196	限り
limit	0.001196	限り
finish	0.001196	限り
place	0.001196	限り
stop	0.001196	限り
finale	0.001196	限り
act	0.001196	限り
final	0.001196	限り
performance	0.001196	限り
day	0.001196	限り
considerably	0.000931	大概
greatly	0.000931	大概
really	0.000931	大概
nearly	0.000931	大概
almost	0.000931	大概
probably	0.000931	大概
perhap	0.000931	大概
likelihood	0.000931	大概
gist	0.000931	大概
sum	0.000931	大概
mary	0.000931	大概
line	0.000931	大概
main	0.000931	大概
idea	0.000931	大概
stay	0.000931	大概
within	0.000931	大概
bound	0.000931	大概
overdo	0.000931	大概
get	0.000931	大概
carry	0.000931	大概
go	0.000931	大概
too	0.000931	大概
far	0.000931	大概
mode	0.000931	大概
rate	0.000931	大概
gene	0.000931	大概
rally	0.000931	大概
mainly	0.000931	大概
usu	0.000931	大概
norm	0.000931	大概
mostly	0.000931	大概
part	0.000931	大概
appearance	0.000713	眼
experience	0.000713	眼
grain	0.000713	眼
ordinal	0.000713	眼
suffix	0.000713	眼
tooth	0.000713	眼
view	0.000713	眼
chance	0.000713	眼
possibility	0.000713	眼
ball	0.000713	眼
graduation	0.000713	眼
division	0.000713	眼
inter	0.000713	眼
section	0.000713	眼
square	0.000713	眼
what	0.000713	眼
ish	0.000713	眼
dot	0.000713	眼
pip	0.000713	眼
roll	0.000713	眼
discrimination	0.000713	眼
discernment	0.000713	眼
judgement	0.000713	眼
look	0.000713	眼
stare	0.000713	眼
gaze	0.000713	眼
glance	0.000713	眼
notice	0.000713	眼
attention	0.000713	眼
observation	0.000713	眼
space	0.000713	眼
open	0.000713	眼
stitch	0.000713	眼
texture	0.000713	眼
weave	0.000713	眼
