# word cloud top all for element 艹
# token	weight	(optional sources)
ese	0.016239	小菊,山蕗,萩,著莪,蓍,蓬莱,蓮華,蕎麦,蕭,赤茄子,辣韮,野バラ
japan	0.011408	小菊,山蕗,萩,著莪,蕎麦,蕭,辣韮,野バラ
rise	0.008122	芙蓉,荊,藕,野バラ
plant	0.007551	芝蘭,茶,莨,蒔く,蒜,蓖麻,蘿,赤茄子
reed	0.007448	一葦,蘆荻
straw	0.007342	苞苴,莓,薦,隠れ蓑
mat	0.007342	苫,蓆,蓐,薦
pistil	0.007076	芯,蘂
stamen	0.007076	芯,蘂
wort	0.006001	芝蘭,蕭
weave	0.005852	苫,蓆,薦
ion	0.005737	募集,抜萃,般若,蒐集,蔓,護り,辞
ship	0.005363	慇懃,艨艟
mug	0.005363	蕭
turnip	0.005363	赤カブ,鈴菜
iri	0.005214	菖蒲,著莪
wild	0.005181	山蕗,茫茫,荊,荏胡麻,荒れる,薦,野バラ
grass	0.004990	刈萱,犬薺,蘆荻
wood	0.004965	犬薺,田芥子,蕭
chin	0.004831	蓍,蓬莱,蓮華,蕎麦,赤茄子,辣韮
red	0.004767	小菊,臙脂,萩,赤カブ,黄葉
vague	0.004565	漠漠,濛濛,糢糊,茫茫
mo	0.004469	貘
tapir	0.004469	貘
war	0.004469	艨艟
madder	0.004469	茜
berry	0.004469	莓
sepal	0.004469	萼片
anther	0.004469	葯
thrip	0.004469	薊馬
become	0.004330	慌てる,苔生す,荒れる,菩薩,萎える
small	0.004275	一葦,小菊,御数,薄い,薬,豆,赤カブ
silver	0.004245	山蕗,蘆荻
age	0.004059	廬,苔生す,蒐集,饑饉
water	0.004022	菱,蓴菜
leek	0.003972	辣韮
lotu	0.003845	芙蓉,蓮華,藕
up	0.003836	惹き起す,葬る,蒸返す,蔵う,貯える
one	0.003716	一葦,参覲,画く,荵,菩薩,陰,隠れ蓑
con	0.003714	慌てる,芙蓉,蔓,藹藹,軽蔑
jelly	0.003656	蒟蒻
sappanwood	0.003575	蘇芳
bud	0.003538	萌す,蕾
down	0.003506	蔵う,薙ぎ倒す,蹂躪,軽蔑
sweet	0.003476	菖蒲,辣韮
smoke	0.003352	薫製
cut	0.003352	芟除,苅る,薙ぎ倒す
worm	0.003240	上蔟,蕭
dim	0.003128	濛濛,糢糊
egg	0.003110	種苗,苧環,赤茄子
dark	0.003019	眩れる,臙脂,萩,陰
person	0.003006	一葦,英雄,蕾,馬鹿
apple	0.002979	林檎
seat	0.002979	蓆
thatch	0.002979	刈萱,葺き
less	0.002926	漠漠,茫茫,藷
mushroom	0.002873	芝蘭,香蕈
rush	0.002873	イ草,慌てる
over	0.002802	眩れる,苔生す,茫茫,荵,蒸返す,蔓,蹂躪
land	0.002781	犬薺,田芥子,蓬莱
grow	0.002750	眩れる,糀,苔生す,茂る,茫茫,貯える
vast	0.002713	漠漠,茫茫,蘊蓄
sage	0.002681	蕭
brush	0.002681	蕭
collect	0.002641	募集,蒐集
stone	0.002641	墓表,蓮華
know	0.002554	蘊蓄
ledge	0.002554	蘊蓄
moss	0.002532	苔生す,蘿
blossom	0.002492	芙蓉,華
konnyaku	0.002438	蒟蒻
konjac	0.002438	蒟蒻
devil	0.002438	蒟蒻
tongue	0.002438	蒟蒻
away	0.002383	芟除,蔵う
civil	0.002383	慇懃,蒙昧
layer	0.002321	荵,蘇芳,黄葉
cover	0.002272	掩蔽,苔生す,葬る,隠れ蓑
briar	0.002270	荊,野バラ
equip	0.002234	搭載
indigo	0.002234	藍
dense	0.002234	濛濛
thick	0.002234	濛濛
open	0.002234	灘
sea	0.002234	灘
procrastinatingly	0.002234	荏苒
dilly	0.002234	荏苒
dally	0.002234	荏苒
hermit	0.002234	廬
retreat	0.002234	廬
shield	0.002234	蓴菜
lattic	0.002234	蔀戸
shutter	0.002234	蔀戸
shiitake	0.002234	香蕈
death	0.002234	薨去
demise	0.002234	薨去
bright	0.002234	黄蘗色
yellow	0.002234	黄蘗色
beauty	0.002177	華,蕾
leaf	0.002128	山蕗,茂る,黄葉
head	0.002128	墓表,真っしぐら
go	0.002094	参覲,失敬,就褥,荒れる,蔓
cocoon	0.002048	上蔟,玉繭
obscure	0.002011	漠漠,糢糊
be	0.002011	就褥,搭載
tea	0.001986	茶
sour	0.001986	辣韮
pickle	0.001986	辣韮
onion	0.001986	辣韮
enlightenment	0.001936	菩薩,蒙昧
treat	0.001930	茹でる,虐める
full	0.001915	真っしぐら,茂る
grave	0.001896	墓表,蓮華
select	0.001896	募集,抜萃
butter	0.001887	山蕗,田芥子
stock	0.001873	蘊蓄,貯える
young	0.001862	蕾,青
black	0.001862	蟆子,青
get	0.001854	喫驚,獲る,眩れる,荒れる
place	0.001837	幕,茲,草莽,薗
great	0.001835	英雄,蘊蓄
bean	0.001833	糀,豆
bitter	0.001806	田芥子,茘枝
colour	0.001788	蘇芳
dye	0.001788	蘇芳
capsule	0.001788	莢膜,被膜
caltrop	0.001788	菱
short	0.001788	蘿,饑饉
sow	0.001788	蒔く
clover	0.001788	萩
inari	0.001788	稲荷
food	0.001756	滋味,薫製
end	0.001706	幕,眩れる,蔵う
someth	0.001670	ばい菌,御数,模様,獲る,馬鹿
blue	0.001639	萩,青
seed	0.001639	種苗,蒔く
give	0.001601	囲まう,小菊,萌す
extensive	0.001596	茫茫,蘊蓄
coat	0.001576	荵,被膜,隠れ蓑
work	0.001543	中﨟,模様,草紙,邁進
nut	0.001513	茘枝,菱,馬鹿
write	0.001490	墓表,草紙
tree	0.001490	林檎
siberian	0.001490	菖蒲
flag	0.001490	菖蒲
calamu	0.001490	菖蒲
castor	0.001490	蓖麻
oil	0.001490	蓖麻
feudal	0.001490	藩祖
ignorance	0.001490	蒙昧
ization	0.001490	蒙昧
unenlighten	0.001490	蒙昧
unciviliz	0.001490	蒙昧
uncivilis	0.001490	蒙昧
epidemic	0.001490	疫癘
plague	0.001490	疫癘
pestilence	0.001490	疫癘
dupion	0.001490	玉繭
dupioni	0.001490	玉繭
dud	0.001490	藷
worth	0.001490	藷
thing	0.001490	藷
yokel	0.001490	藷
bump	0.001490	藷
kin	0.001490	藷
tuber	0.001490	藷
taro	0.001490	藷
potato	0.001490	藷
yam	0.001490	藷
cushion	0.001490	蓐
pillow	0.001490	蓐
tress	0.001490	蓐
prom	0.001490	蕾
ise	0.001490	蕾
tobacco	0.001490	莨
cigar	0.001490	莨
extract	0.001490	抜萃
excerpt	0.001490	抜萃
roof	0.001490	葺き
shin	0.001490	葺き
gle	0.001490	葺き
fly	0.001490	蟆子
gnat	0.001490	蟆子
norway	0.001490	諾
agreement	0.001490	諾
assent	0.001490	諾
steam	0.001490	茹でる,蒸返す
var	0.001490	刈萱
baby	0.001490	豆,野バラ
noodle	0.001461	苧環,蕎麦
bed	0.001452	就褥,猫
make	0.001440	茶,踠く,隠れ蓑
bound	0.001436	漠漠,茫茫
color	0.001427	荵,黄葉
mask	0.001390	掩蔽,般若
bloom	0.001375	華
heart	0.001365	心臓,芯
long	0.001348	失敬,慕う,真っしぐら
crop	0.001341	収穫,饑饉
rice	0.001326	糀,薦
do	0.001316	苦しい,蔵う,謹む
recommend	0.001277	薦める
tomato	0.001277	赤茄子
cusp	0.001277	荊
thorn	0.001277	荊
thorny	0.001277	荊
shrub	0.001277	荊
erudition	0.001277	蘊蓄
core	0.001266	芯,茎
struggle	0.001217	苦しい,踠く,邁進
run	0.001213	茫茫,蹂躪
fry	0.001192	種苗,稲荷
put	0.001192	著する,蔵う
bush	0.001192	草莽,萩
faint	0.001192	糢糊,薄い
reach	0.001192	菩薩,著する
all	0.001192	菩薩,萬
resemble	0.001192	蘿,黄葉
word	0.001164	辞,鋒鋩
dish	0.001156	御数,苧環
close	0.001151	幕,眩れる,蔵う
lord	0.001151	参覲,藩祖
middle	0.001142	中﨟,茎
sacr	0.001135	蓬莱,藕
germ	0.001117	ばい菌
soft	0.001117	イ草
common	0.001117	イ草
talk	0.001117	譫言
delirium	0.001117	譫言
incoherent	0.001117	譫言
mutter	0.001117	譫言
mind	0.001117	寛大,画く
cotton	0.001117	芙蓉
federate	0.001117	芙蓉
dixie	0.001117	芙蓉
rose	0.001117	芙蓉
mallow	0.001117	芙蓉
mow	0.001117	苅る,薙ぎ倒す
hero	0.001117	英雄
boil	0.001117	茹でる
medicinal	0.001117	茹でる
fringe	0.001117	著莪
lack	0.001117	非才
ability	0.001117	非才
incompetence	0.001117	非才
incapacity	0.001117	非才
strong	0.001117	蒜
smell	0.001117	蒜
edible	0.001117	蒜
sucrose	0.001117	ショ糖
saccharose	0.001117	ショ糖
cane	0.001117	ショ糖
sugar	0.001117	ショ糖
luxuriant	0.001117	藹藹
harmonious	0.001117	藹藹
