# word cloud top all for element 虍
# token	weight	(optional sources)
reed	0.018606	蘆荻
ruin	0.018606	廃虚
remain	0.018606	廃虚
evidence	0.018606	證據
proof	0.018606	證據
subscript	0.018606	醵金
ion	0.018606	醵金
contribution	0.018606	醵金
drain	0.012404	濾水
age	0.012404	濾水
filter	0.012404	濾水
water	0.012404	濾水
stern	0.012404	艫
bow	0.012404	艫
prow	0.012404	艫
joke	0.012404	諧謔
jest	0.012404	諧謔
banter	0.012404	諧謔
ness	0.011784	遠慮,饕餮
top	0.009303	顱頂
head	0.009303	顱頂
vertex	0.009303	顱頂
parietal	0.009303	顱頂
taotie	0.009303	饕餮
covetous	0.009303	饕餮
gre	0.009303	饕餮
avarice	0.009303	饕餮
silver	0.009303	蘆荻
grass	0.009303	蘆荻
fever	0.007442	瘧
stand	0.007442	鯱鉾ばる
cere	0.007442	鯱鉾ばる
mony	0.007442	鯱鉾ばる
stiffen	0.007442	鯱鉾ばる
up	0.007442	鯱鉾ばる
tense	0.007442	鯱鉾ばる
captive	0.007442	虜
prisoner	0.007442	虜
foreigner	0.007442	虜
barbarian	0.007442	虜
slave	0.007442	虜
lathe	0.007442	轆轤
potter	0.007442	轆轤
wheel	0.007442	轆轤
pulley	0.007442	轆轤
wind	0.007442	轆轤
lass	0.007442	轆轤
lie	0.007274	噓,虚
false	0.007274	噓,虚
hood	0.007274	噓,虚
skin	0.006977	地膚
treat	0.006766	虐める
refrain	0.006615	謹む,遠慮
mode	0.006615	謹む,遠慮
asplenium	0.006202	虎の尾
incisum	0.006202	虎の尾
goose	0.006202	虎の尾
neck	0.006202	虎の尾
loose	0.006202	虎の尾
strife	0.006202	虎の尾
tiger	0.006202	虎の尾
tail	0.006202	虎の尾
fear	0.006202	虞
horror	0.006202	虞
anxiety	0.006202	虞
con	0.006202	虞
cern	0.006202	虞
uneasiness	0.006202	虞
reverence	0.006202	虞
mistake	0.005316	噓
error	0.005316	噓
unwise	0.005316	噓
move	0.005316	噓
bad	0.005316	噓
decision	0.005316	噓
no	0.005316	噓
way	0.005316	噓
unbelievable	0.005316	噓
really	0.005316	噓
fib	0.005316	噓
untruth	0.005316	噓
rapid	0.005316	遽しい
quick	0.005316	遽しい
sudden	0.005316	遽しい
busy	0.005316	遽しい
hectic	0.005316	遽しい
hurry	0.005316	遽しい
rush	0.005316	遽しい
fore	0.004961	遠慮
surf	0.004651	地膚
ace	0.004651	地膚
bare	0.004651	地膚
reverent	0.004135	謹む
careful	0.004135	謹む
discreet	0.004135	謹む
purify	0.004135	謹む
chaste	0.004135	謹む
do	0.004135	謹む
ration	0.004135	謹む
abstain	0.004135	謹む
place	0.003917	虚
infectious	0.003721	瘧
disease	0.003721	瘧
plague	0.003721	瘧
epidemic	0.003721	瘧
ague	0.003721	瘧
intermittent	0.003721	瘧
shake	0.003721	瘧
malarial	0.003721	瘧
tough	0.003383	虐める
harshly	0.003383	虐める
ill	0.003383	虐める
bully	0.003383	虐める
torment	0.003383	虐める
pick	0.003383	虐める
tease	0.003383	虐める
cruel	0.003383	虐める
persecute	0.003383	虐める
fer	0.002862	烈しい
vent	0.002862	烈しい
vehement	0.002862	烈しい
incessant	0.002862	烈しい
relentless	0.002862	烈しい
precipitous	0.002862	烈しい
steep	0.002862	烈しい
violent	0.002862	烈しい
furious	0.002862	烈しい
tempestuous	0.002862	烈しい
extreme	0.002862	烈しい
intense	0.002862	烈しい
fierce	0.002862	烈しい
strong	0.002862	烈しい
decline	0.002481	遠慮
thought	0.002481	遠慮
sight	0.002481	遠慮
reserve	0.002481	遠慮
constraint	0.002481	遠慮
restraint	0.002481	遠慮
sty	0.002481	遠慮
diffidence	0.002481	遠慮
hesitation	0.002481	遠慮
hold	0.002481	遠慮
back	0.002481	遠慮
discretion	0.002481	遠慮
tact	0.002481	遠慮
thoughtful	0.002481	遠慮
sword	0.002326	地膚
blade	0.002326	地膚
earth	0.002326	地膚
grind	0.002326	地膚
texture	0.002326	地膚
grain	0.002326	地膚
one	0.002326	地膚
nat	0.002326	地膚
ural	0.002326	地膚
scalp	0.002326	地膚
fake	0.001958	虚
weather	0.001958	虚
memory	0.001958	虚
heart	0.001958	虚
far	0.001958	虚
off	0.001958	虚
distant	0.001958	虚
some	0.001958	虚
how	0.001958	虚
vaguely	0.001958	虚
state	0.001958	虚
mind	0.001958	虚
feel	0.001958	虚
sky	0.001958	虚
air	0.001958	虚
heaven	0.001958	虚
