# word cloud top all for element 行
# token	weight	(optional sources)
blind	0.034341	絎ける
stitch	0.034341	絎ける
ion	0.028177	行衛,頸木
provincial	0.027473	国衙
yoke	0.022894	頸木
constraint	0.022894	頸木
oppress	0.022894	頸木
end	0.016026	井桁,裄
town	0.015263	街
hood	0.015263	街
street	0.015263	街
governor	0.013736	国衙
office	0.013736	国衙
governorate	0.013736	国衙
distance	0.012719	裄,遣る
seam	0.011447	裄
back	0.011447	裄
kimono	0.011447	裄
sleeve	0.011447	裄
hold	0.011084	遣る,銜む
clear	0.009812	敷衍
explanation	0.009812	敷衍
para	0.009812	敷衍
phrase	0.009812	敷衍
expatiation	0.009812	敷衍
enlargement	0.009812	敷衍
elaboration	0.009812	敷衍
amplification	0.009812	敷衍
country	0.009812	權兵衞
bump	0.009812	權兵衞
kin	0.009812	權兵衞
john	0.009812	權兵衞
doe	0.009812	權兵衞
person	0.009812	權兵衞
unknown	0.009812	權兵衞
name	0.009812	權兵衞
one	0.009323	行衛,衝く
cross	0.009158	井桁
do	0.007631	遣る
down	0.007631	街
main	0.007631	街
road	0.007631	街
block	0.007631	街
neighbour	0.007631	街
neighbor	0.007631	街
magic	0.007631	術
art	0.007631	術
technique	0.007631	術
mean	0.007631	術
way	0.007631	術
trick	0.007631	術
trap	0.007631	術
plot	0.007631	術
stratagem	0.007631	術
under	0.006178	遣る,銜む
wherea	0.005283	行衛
bout	0.005283	行衛
destination	0.005283	行衛
where	0.005283	行衛
head	0.005283	行衛
future	0.005283	行衛
journey	0.005283	行衛
ahead	0.005283	行衛
out	0.005283	行衛
come	0.005283	行衛
course	0.005283	行衛
development	0.005283	行衛
direct	0.005283	行衛
tide	0.005283	行衛
mouth	0.004906	銜む
express	0.004906	銜む
imply	0.004906	銜む
bear	0.004906	銜む
mind	0.004906	銜む
stand	0.004906	銜む
harbor	0.004906	銜む
harbour	0.004906	銜む
contain	0.004906	銜む
com	0.004906	銜む
prise	0.004906	銜む
include	0.004906	銜む
emb	0.004906	銜む
race	0.004906	銜む
well	0.004579	井桁
curb	0.004579	井桁
consist	0.004579	井桁
wooden	0.004579	井桁
beam	0.004579	井桁
number	0.004579	井桁
sign	0.004579	井桁
hash	0.004579	井桁
pat	0.004579	井桁
tern	0.004579	井桁
resemble	0.004579	井桁
symbol	0.004579	井桁
parallel	0.004579	井桁
attack	0.004040	衝く
brave	0.004040	衝く
prick	0.004040	衝く
stab	0.004040	衝く
use	0.004040	衝く
prop	0.004040	衝く
self	0.004040	衝く
up	0.004040	衝く
press	0.004040	衝く
against	0.004040	衝く
poke	0.004040	衝く
prod	0.004040	衝く
push	0.004040	衝く
thrust	0.004040	衝く
nudge	0.004040	衝く
hit	0.004040	衝く
strike	0.004040	衝く
make	0.002544	遣る
per	0.002544	遣る
form	0.002544	遣る
get	0.002544	遣る
completely	0.001272	遣る
ease	0.001272	遣る
go	0.001272	遣る
faster	0.001272	遣る
active	0.001272	遣る
effort	0.001272	遣る
broadly	0.001272	遣る
great	0.001272	遣る
harm	0.001272	遣る
injure	0.001272	遣る
kill	0.001272	遣る
sex	0.001272	遣る
fuck	0.001272	遣る
bang	0.001272	遣る
show	0.001272	遣る
live	0.001272	遣る
along	0.001272	遣る
put	0.001272	遣る
move	0.001272	遣る
turn	0.001272	遣る
send	0.001272	遣る
dispatch	0.001272	遣る
despatch	0.001272	遣る
eat	0.001272	遣る
drink	0.001272	遣る
smoke	0.001272	遣る
take	0.001272	遣る
play	0.001272	遣る
study	0.001272	遣る
give	0.001272	遣る
let	0.001272	遣る
present	0.001272	遣る
bestow	0.001272	遣る
confer	0.001272	遣る
run	0.001272	遣る
keep	0.001272	遣る
engage	0.001272	遣る
practice	0.001272	遣る
practise	0.001272	遣る
