# word cloud top all for element 衤
# token	weight	(optional sources)
kimono	0.029562	大袿,左褄,素袷,裄,裲襠,褌,襷
clothe	0.025222	袙,襁褓,襤褸
gusset	0.024362	袢纏,袵
gore	0.022929	袵
sleeve	0.020063	袂,袖,裄,襷
wear	0.020042	素袷,袙,被る,裲襠
cloth	0.016542	褌,褐,襁褓
open	0.015013	裸,開襟
ness	0.014487	色褪せる,裸,褊狭
elderly	0.011464	老衲
priest	0.011464	老衲
layer	0.011464	袙
noble	0.011464	袙
up	0.010850	裃,襷,開襟
garment	0.010809	素袷,裙子,褌
loin	0.010809	褌,襁褓
skirt	0.010646	左褄,裲襠,褌
support	0.009936	左袒,輔助
end	0.009247	被る,裃,裄,裲襠
narrow	0.009172	褊狭
swaddle	0.009172	襁褓
diaper	0.009172	襁褓
nappy	0.009172	襁褓
leave	0.009008	左褄,裲襠
over	0.008530	被る,裲襠,襖紙
shirt	0.008462	裾,開襟
ship	0.008359	左袒,被る
down	0.007930	裃,裾,襤褸
under	0.007861	素袷,褌
robe	0.007861	裙子,裲襠
friend	0.007643	左袒
allegiance	0.007643	左袒
flap	0.007643	袖
wing	0.007643	袖
long	0.007643	大袿
sleev	0.007643	大袿
bend	0.007643	褶曲
geo	0.007643	褶曲
logic	0.007643	褶曲
fold	0.007643	褶曲
fusuma	0.007643	襖紙
paper	0.007643	襖紙
bottom	0.007165	裃,裾
help	0.006879	裨益,輔助
neck	0.006551	開襟
unbutton	0.006551	開襟
collar	0.006551	開襟
without	0.006019	素袷,袢纏
lower	0.006019	裃,裙子
mountain	0.005732	袂
qipao	0.005732	旗袍
cheong	0.005732	旗袍
sam	0.005732	旗袍
manda	0.005732	旗袍
rin	0.005732	旗袍
gown	0.005732	旗袍
geisha	0.005732	左褄
coarse	0.005732	褐
dark	0.005732	褐
indigo	0.005732	褐
use	0.005159	産褥,襷
foot	0.004777	袂,裾
aid	0.004586	輔助
period	0.004586	産褥
any	0.004586	素袷
waist	0.004586	裙子
pleat	0.004586	裙子
mindedness	0.004586	褊狭
intolerance	0.004586	褊狭
illiberality	0.004586	褊狭
fault	0.004586	襤褸
defect	0.004586	襤褸
rag	0.004586	襤褸
scrap	0.004586	襤褸
tatter	0.004586	襤褸
run	0.004586	襤褸
shabby	0.004586	襤褸
junky	0.004586	襤褸
benefit	0.004586	裨益
profit	0.004586	裨益
good	0.004586	裨益
contribution	0.004586	裨益
post	0.004586	産褥
bet	0.004586	複
top	0.004490	裃,複
grow	0.004169	色褪せる
lose	0.004169	色褪せる
be	0.003821	裸
nakedness	0.003821	裸
distance	0.003821	裄
seam	0.003821	裄
back	0.003821	裄
paste	0.003821	襖紙
one	0.003726	被る,裡
women	0.003276	裲襠
bridal	0.003276	裲襠
trail	0.003276	裲襠
play	0.003276	裲襠
day	0.003276	裲襠
game	0.003276	裲襠
unfinish	0.003276	裲襠
traditional	0.003071	袢纏,褌
sky	0.002866	袢纏
coat	0.002866	袢纏
cost	0.002866	裃
ume	0.002866	裃
cord	0.002866	襷
tuck	0.002866	襷
obi	0.002866	襷
sash	0.002866	襷
vicinity	0.002866	袂
base	0.002866	袂
pocket	0.002866	袂
confinement	0.002293	産褥
bed	0.002293	産褥
woman	0.002293	産褥
child	0.002293	産褥
birth	0.002293	産褥
puerperium	0.002293	産褥
partum	0.002293	産褥
natal	0.002293	産褥
spot	0.002293	輔助
assistance	0.002293	輔助
subsidy	0.002293	輔助
supplement	0.002293	輔助
subvention	0.002293	輔助
grant	0.002293	輔助
fade	0.002084	色褪せる
dull	0.002084	色褪せる
