# word cloud top all for element 表
# token	weight	(optional sources)
ring	0.104167	土俵
forum	0.104167	土俵
sand	0.104167	土俵
bag	0.104167	土俵
gabion	0.104167	土俵
side	0.041667	表
omotesenke	0.020833	表
school	0.020833	表
tea	0.020833	表
cere	0.020833	表
mony	0.020833	表
appearance	0.020833	表
cover	0.020833	表
face	0.020833	表
fore	0.020833	表
ground	0.020833	表
public	0.020833	表
surf	0.020833	表
ace	0.020833	表
first	0.020833	表
half	0.020833	表
top	0.020833	表
front	0.020833	表
obverse	0.020833	表
coin	0.020833	表
out	0.020833	表
exterior	0.020833	表
