# word cloud top all for element 豆
# token	weight	(optional sources)
ness	0.053666	剴切,瞽,艶,覬覦
festival	0.030796	祭禮
covetous	0.030796	覬覦
small	0.022241	痘痕,豆
victory	0.020531	凱歌
surge	0.020531	澎湃
water	0.020531	水碓,澎湃
ous	0.017964	澎湃,艷やか
orange	0.017598	橙
pockmark	0.015398	痘痕
pox	0.015398	痘痕
stay	0.015398	逗留
sojo	0.015398	逗留
urn	0.015398	逗留
stirrup	0.015398	鐙革
person	0.013437	瞽,豎子,頭
well	0.012077	澎湃,豊か
bean	0.010265	豆
song	0.010265	凱歌
sound	0.010265	澎湃
vigor	0.010265	澎湃
power	0.010265	水碓
mill	0.010265	水碓
stone	0.010265	水碓
up	0.009058	登る
conger	0.008799	鱧
eel	0.008799	鱧
child	0.007821	豆,豎子
point	0.007699	短
wear	0.007699	鎧う
armour	0.007699	鎧う
appropriate	0.007699	剴切
adequacy	0.007699	剴切
apt	0.007699	剴切
relevance	0.007699	剴切
blind	0.007699	瞽
bond	0.007699	證券
bill	0.007699	證券
certificate	0.007699	證券
security	0.007699	證券
no	0.007699	豈
sweet	0.007699	醴
strap	0.007699	鐙革
leather	0.007699	鐙革
soy	0.006844	豆
charm	0.005661	艶,艷やか
make	0.005661	澄ます,醴
put	0.005661	澄ます,鎧う
look	0.005435	澄ます
battle	0.005133	闘い
war	0.005133	闘い
fight	0.005133	闘い
bitter	0.004399	橙
sour	0.004399	橙
seville	0.004399	橙
young	0.004399	豎子
lad	0.004399	豎子
stripl	0.004399	豎子
green	0.004399	豎子
horn	0.004399	豎子
inexperienc	0.004399	豎子
dagger	0.004399	鱧
tooth	0.004399	鱧
pike	0.004399	鱧
garden	0.004399	鱧
ignorance	0.003849	瞽
ignoramu	0.003849	瞽
illiteracy	0.003849	瞽
illiterate	0.003849	瞽
glamor	0.003849	艷やか
fascinatingly	0.003849	艷やか
elegant	0.003849	艷やか
lovely	0.003849	艷やか
gorge	0.003849	艷やか
beguile	0.003849	艷やか
bewitch	0.003849	艷やか
why	0.003849	豈
what	0.003849	豈
never	0.003849	豈
mean	0.003849	豈
least	0.003849	豈
way	0.003849	豈
half	0.003849	醴
sake	0.003849	醴
drink	0.003849	醴
ferment	0.003849	醴
rice	0.003849	醴
cover	0.003849	鎧う
arm	0.003849	鎧う
one	0.003849	鎧う
self	0.003849	鎧う
card	0.003849	短
minor	0.003849	短
short	0.003849	短
fault	0.003849	短
defect	0.003849	短
weak	0.003849	短
go	0.003623	登る
ascend	0.003623	登る
ample	0.003623	豊か
rich	0.003623	豊か
clear	0.003623	澄ます
female	0.003422	豆
genitalia	0.003422	豆
kidney	0.003422	豆
legume	0.003422	豆
pea	0.003422	豆
soya	0.003422	豆
miniature	0.003422	豆
baby	0.003422	豆
midget	0.003422	豆
scale	0.003422	豆
head	0.002678	頭
top	0.002678	頭
conflict	0.002566	闘い
con	0.002566	闘い
test	0.002566	闘い
com	0.002566	闘い
petition	0.002566	闘い
match	0.002566	闘い
game	0.002566	闘い
struggle	0.002566	闘い
add	0.001812	登る
advance	0.001812	登る
pro	0.001812	登る
mote	0.001812	登る
come	0.001812	登る
rise	0.001812	登る
swim	0.001812	登る
sail	0.001812	登る
climb	0.001812	登る
mellow	0.001812	艶
youthful	0.001812	艶
romance	0.001812	艶
love	0.001812	艶
sexiness	0.001812	艶
gloss	0.001812	艶
luster	0.001812	艶
lustre	0.001812	艶
shine	0.001812	艶
sheen	0.001812	艶
polish	0.001812	艶
inter	0.001812	艶
est	0.001812	艶
appeal	0.001812	艶
color	0.001812	艶
colour	0.001812	艶
feel	0.001812	艶
over	0.001812	豊か
excess	0.001812	豊か
open	0.001812	豊か
relax	0.001812	豊か
easy	0.001812	豊か
plump	0.001812	豊か
full	0.001812	豊か
abundant	0.001812	豊か
plentiful	0.001812	豊か
weal	0.001812	豊か
thy	0.001812	豊か
affluent	0.001812	豊か
off	0.001812	豊か
strain	0.001812	澄ます
listen	0.001812	澄ます
care	0.001812	澄ます
fully	0.001812	澄ます
unruffl	0.001812	澄ます
unconcern	0.001812	澄ます
feign	0.001812	澄ます
indifference	0.001812	澄ます
demure	0.001812	澄ます
prim	0.001812	澄ます
air	0.001812	澄ます
hair	0.001339	頭
pair	0.001339	頭
structural	0.001339	頭
component	0.001339	頭
kanji	0.001339	頭
begin	0.001339	頭
start	0.001339	頭
down	0.001339	頭
payment	0.001339	頭
deposit	0.001339	頭
tip	0.001339	頭
mind	0.001339	頭
brain	0.001339	頭
intellect	0.001339	頭
leader	0.001339	頭
chief	0.001339	頭
bos	0.001339	頭
captain	0.001339	頭
