# word cloud top all for element 象
# token	weight	(optional sources)
dark	0.077253	橡
model	0.060086	象る
shape	0.060086	象る
image	0.060086	映像
pic	0.060086	映像
ture	0.060086	映像
grey	0.038627	橡
gray	0.038627	橡
saw	0.038627	橡
tooth	0.038627	橡
oak	0.038627	橡
acorn	0.038627	橡
reflect	0.030043	映像
ion	0.030043	映像
mental	0.030043	映像
video	0.030043	映像
film	0.030043	映像
foot	0.030043	映像
age	0.030043	映像
symbolize	0.030043	象る
rep	0.030043	象る
resent	0.030043	象る
make	0.030043	象る
take	0.030043	象る
imitate	0.030043	象る
