# word cloud top all for element 赤
# token	weight	(optional sources)
sting	0.140187	螫す
red	0.072430	赤,赭熊
blush	0.070093	赧らめる
redden	0.070093	赧らめる
hair	0.046729	赭熊
fake	0.023364	赭熊
startle	0.023364	脅かす
frighten	0.023364	脅かす
scare	0.023364	脅かす
threaten	0.023364	脅かす
menace	0.023364	脅かす
intimidate	0.023364	脅かす
light	0.021028	赤,輝く
up	0.019860	赦す,輝く
let	0.018692	赤,赦す
beam	0.014019	輝く
gleam	0.014019	輝く
glow	0.014019	輝く
shine	0.014019	輝く
sparkle	0.014019	輝く
twinkle	0.014019	輝く
glitter	0.014019	輝く
glisten	0.014019	輝く
frizzle	0.011682	赭熊
curly	0.011682	赭熊
yak	0.011682	赭熊
dye	0.011682	赭熊
copper	0.007009	赤
point	0.007009	赤
card	0.007009	赤
contain	0.007009	赤
colour	0.007009	赤
ink	0.007009	赤
crimson	0.007009	赤
scar	0.007009	赤
complete	0.007009	赤
total	0.007009	赤
perfect	0.007009	赤
obvious	0.007009	赤
acknowledge	0.005841	赦す
admit	0.005841	赦す
give	0.005841	赦す
yield	0.005841	赦す
trust	0.005841	赦す
con	0.005841	赦す
fide	0.005841	赦す
one	0.005841	赦す
guard	0.005841	赦す
down	0.005841	赦す
exempt	0.005841	赦す
remit	0.005841	赦す
release	0.005841	赦す
off	0.005841	赦す
forgive	0.005841	赦す
pardon	0.005841	赦す
excuse	0.005841	赦す
tolerate	0.005841	赦す
permit	0.005841	赦す
allow	0.005841	赦す
app	0.005841	赦す
rove	0.005841	赦す
consent	0.005841	赦す
