# word cloud top all for element 足
# token	weight	(optional sources)
foot	0.032684	足,足趾,跣,踏む,踪跡,躙る
stumble	0.021073	蹉跌,蹌踉めく,躓く
herald	0.020098	警蹕
one	0.019637	拝跪,踪跡,蹌踉めく,躙る
set	0.019428	踏む,蹉跌,躓く
back	0.018476	掴まえる,蹉跌,躓く
down	0.017430	拝跪,蟠踞,蹂躪,躍る
up	0.014077	躍る,開ける,顰める
trample	0.014069	踏む,蹂躪,躙る
fai	0.013399	蹉跌
lure	0.013399	蹉跌
over	0.012059	跨ぐ,蹂躪
waver	0.011694	蹌踉めく,躑躅
ankle	0.010049	踝
paddle	0.010049	蹼
print	0.009571	足趾,踪跡
go	0.009379	拝跪,烏鷺,踏む
shuffle	0.009044	躄る,躙る
spring	0.008678	蹶然,躍る,飛ぶ
run	0.008582	蹂躪,飛ぶ
wild	0.008039	山蕗,躁狂
infringement	0.008039	蹂躪
violation	0.008039	蹂躪
leg	0.008039	足,足趾
azalea	0.008039	躑躅
hesitation	0.008039	躑躅
indecision	0.008039	躑躅
vacillation	0.008039	躑躅
track	0.007896	踪跡,追蹤
bare	0.007258	跣,開ける
follow	0.007034	踏む,蹈襲
alacrity	0.006699	蹶然
resolutely	0.006699	蹶然
rampancy	0.006699	跋扈
pre	0.006699	跋扈
valence	0.006699	跋扈
domination	0.006699	跋扈
crouch	0.006699	踞る
squat	0.006699	踞る
cower	0.006699	踞る
open	0.006699	開ける
out	0.006111	跣,飛ぶ
off	0.005522	踊場,飛ぶ
superior	0.005025	跣
outdo	0.005025	跣
shine	0.005025	跣
malleolu	0.005025	踝
bone	0.005025	踝
mismatch	0.005025	蹇
pair	0.005025	蹇
lame	0.005025	蹇
ness	0.005025	蹇
cripple	0.005025	蹇
continue	0.005025	蹈襲
stick	0.005025	蹈襲
observe	0.005025	蹈襲
chase	0.005025	追蹤
pursuit	0.005025	追蹤
stalk	0.005025	追蹤
web	0.005025	蹼
blade	0.005025	蹼
shift	0.005025	躄る
position	0.005025	躄る
crawl	0.005025	躄る
step	0.004690	跨ぐ,踏む
expose	0.004466	開ける
way	0.004449	路地,道
hold	0.004430	掴まえる,蟠踞
mania	0.004020	躁狂
frenzy	0.004020	躁狂
delirium	0.004020	躁狂
excitement	0.004020	躁狂
fail	0.004020	躓く
suffer	0.004020	躓く
trip	0.004020	躓く
under	0.004020	躙る
japan	0.004020	山蕗
ese	0.004020	山蕗
silver	0.004020	山蕗
leaf	0.004020	山蕗
giant	0.004020	山蕗
butter	0.004020	山蕗
bur	0.004020	山蕗
black	0.004020	烏鷺
white	0.004020	烏鷺
crow	0.004020	烏鷺
heron	0.004020	烏鷺
through	0.003837	路地,踏む
garden	0.003654	路地
alley	0.003654	路地
stagger	0.003654	蹌踉めく
totter	0.003654	蹌踉めく
misconduct	0.003654	蹌踉めく
self	0.003654	蹌踉めく
love	0.003654	蹌踉めく
affair	0.003654	蹌踉めく
feel	0.003654	蹌踉めく
some	0.003654	蹌踉めく
inclination	0.003654	蹌踉めく
stretch	0.003573	跨ぐ,開ける
busily	0.003350	齷齪
sedulously	0.003350	齷齪
laboriously	0.003350	齷齪
feverishly	0.003350	齷齪
fussily	0.003350	齷齪
worry	0.003350	齷齪
kneel	0.003350	拝跪
knee	0.003350	拝跪
dance	0.003350	踊場
limp	0.002871	跛行
claudication	0.002871	跛行
imbalance	0.002871	跛行
proceed	0.002871	跛行
irregularly	0.002871	跛行
unsteady	0.002871	跛行
progress	0.002871	跛行
wherea	0.002871	踪跡
bout	0.002871	踪跡
trace	0.002871	踪跡
tea	0.002701	路地,道
path	0.002701	路地,道
lane	0.002701	路地,道
across	0.002680	跨ぐ
stride	0.002680	跨ぐ
jump	0.002522	躍る,飛ぶ
alienate	0.002512	隔てる
est	0.002512	隔てる
range	0.002512	隔てる
inter	0.002512	隔てる
pose	0.002512	隔てる
between	0.002512	隔てる
sepa	0.002512	隔てる
rate	0.002512	隔てる
iso	0.002512	隔てる
late	0.002512	隔てる
partition	0.002512	隔てる
divide	0.002512	隔てる
screw	0.002512	顰める
scrunch	0.002512	顰める
pucker	0.002512	顰める
furrow	0.002512	顰める
wrinkle	0.002512	顰める
wide	0.002233	開ける
mean	0.002214	足,道
fly	0.002173	飛ぶ
ity	0.002130	蟠踞,道
catch	0.002116	掴まえる
seize	0.002116	掴まえる
rhyme	0.002010	踏む
succe	0.002010	踏む
experience	0.002010	踏む
und	0.002010	踏む
ergo	0.002010	踏む
complete	0.002010	踏む
stand	0.002010	踏む
visit	0.002010	踏む
tread	0.002010	踏む
estimate	0.002010	踏む
guess	0.002010	踏む
judge	0.002010	踏む
value	0.002010	踏む
app	0.002010	踏む
raise	0.002010	踏む
stimulate	0.002010	促す
hasten	0.002010	促す
quicken	0.002010	促す
accelerate	0.002010	促す
pro	0.002010	促す
mote	0.002010	促す
urge	0.002010	促す
encourage	0.002010	促す
press	0.002010	促す
prompt	0.002010	促す
draw	0.002010	促す
leap	0.001979	躍る,飛ぶ
gate	0.001827	路地
house	0.001827	路地
road	0.001748	道
land	0.001675	踊場
place	0.001675	踊場
floor	0.001675	踊場
level	0.001675	踊場
cool	0.001675	踊場
stag	0.001675	踊場
nation	0.001675	踊場
lull	0.001675	踊場
plateau	0.001675	踊場
messy	0.001436	躍る
untidy	0.001436	躍る
move	0.001436	躍る
around	0.001436	躍る
bounce	0.001436	躍る
pound	0.001436	躍る
throb	0.001436	躍る
cross	0.001340	跨ぐ
span	0.001340	跨ぐ
bridge	0.001340	跨ぐ
saddle	0.001340	跨ぐ
straddle	0.001340	跨ぐ
bottom	0.001340	足
structural	0.001340	足
component	0.001340	足
kanji	0.001340	足
gait	0.001340	足
pace	0.001340	足
transportation	0.001340	足
ride	0.001340	足
money	0.001340	足
coin	0.001340	足
paw	0.001340	足
arm	0.001340	足
settle	0.001256	蟠踞
coil	0.001256	蟠踞
shape	0.001256	蟠踞
become	0.001256	蟠踞
firmly	0.001256	蟠踞
establish	0.001256	蟠踞
put	0.001256	蟠踞
strong	0.001256	蟠踞
root	0.001256	蟠踞
exercise	0.001256	蟠踞
author	0.001256	蟠踞
be	0.001256	蟠踞
dominant	0.001256	蟠踞
sway	0.001256	蟠踞
come	0.001086	飛ぶ
toward	0.001058	掴まえる
face	0.001058	掴まえる
cap	0.001058	掴まえる
ture	0.001058	掴まえる
arrest	0.001058	掴まえる
rest	0.001058	掴まえる
rain	0.001058	掴まえる
stop	0.001058	掴まえる
hail	0.001058	掴まえる
detain	0.001058	掴まえる
grab	0.001058	掴まえる
clutch	0.001058	掴まえる
grasp	0.001058	掴まえる
distance	0.000874	道
journey	0.000874	道
course	0.000874	道
route	0.000874	道
ching	0.000874	道
dogma	0.000874	道
moral	0.000874	道
principle	0.000874	道
field	0.000874	道
subject	0.000874	道
special	0.000874	道
method	0.000874	道
street	0.000874	道
pass	0.000874	道
age	0.000874	道
send	0.000543	飛ぶ
soar	0.000543	飛ぶ
hurry	0.000543	飛ぶ
rush	0.000543	飛ぶ
miss	0.000543	飛ぶ
skip	0.000543	飛ぶ
flee	0.000543	飛ぶ
escape	0.000543	飛ぶ
break	0.000543	飛ぶ
fall	0.000543	飛ぶ
blow	0.000543	飛ぶ
disappear	0.000543	飛ぶ
vanish	0.000543	飛ぶ
fade	0.000543	飛ぶ
thin	0.000543	飛ぶ
spatter	0.000543	飛ぶ
scatter	0.000543	飛ぶ
splash	0.000543	飛ぶ
bind	0.000543	飛ぶ
hop	0.000543	飛ぶ
