# word cloud top all for element 遣
# token	weight	(optional sources)
lance	0.120970	鑓
reprimand	0.075606	譴責
rebuke	0.075606	譴責
censure	0.075606	譴責
rep	0.075606	譴責
roof	0.075606	譴責
javelin	0.060485	鑓
jeer	0.060485	鑓
spear	0.060485	鑓
do	0.034237	遣る
make	0.011412	遣る
per	0.011412	遣る
form	0.011412	遣る
get	0.011412	遣る
completely	0.005706	遣る
ease	0.005706	遣る
go	0.005706	遣る
faster	0.005706	遣る
active	0.005706	遣る
effort	0.005706	遣る
broadly	0.005706	遣る
great	0.005706	遣る
distance	0.005706	遣る
harm	0.005706	遣る
injure	0.005706	遣る
kill	0.005706	遣る
sex	0.005706	遣る
fuck	0.005706	遣る
bang	0.005706	遣る
hold	0.005706	遣る
show	0.005706	遣る
live	0.005706	遣る
along	0.005706	遣る
put	0.005706	遣る
move	0.005706	遣る
turn	0.005706	遣る
send	0.005706	遣る
dispatch	0.005706	遣る
despatch	0.005706	遣る
eat	0.005706	遣る
drink	0.005706	遣る
smoke	0.005706	遣る
under	0.005706	遣る
take	0.005706	遣る
play	0.005706	遣る
study	0.005706	遣る
give	0.005706	遣る
let	0.005706	遣る
present	0.005706	遣る
bestow	0.005706	遣る
confer	0.005706	遣る
run	0.005706	遣る
keep	0.005706	遣る
engage	0.005706	遣る
practice	0.005706	遣る
practise	0.005706	遣る
