# word cloud top all for element 郷
# token	weight	(optional sources)
one	0.091453	里,饗
guide	0.053076	嚮導
land	0.042461	饗
home	0.032662	里
country	0.032662	里
leader	0.026538	嚮導
gui	0.026538	嚮導
dance	0.026538	嚮導
lead	0.026538	嚮導
take	0.026538	嚮導
point	0.026538	嚮導
con	0.026538	嚮導
duct	0.026538	嚮導
entertain	0.021230	饗
some	0.021230	饗
guest	0.021230	饗
head	0.021230	饗
proprietor	0.021230	饗
proprietress	0.021230	饗
lord	0.021230	饗
lady	0.021230	饗
master	0.021230	饗
come	0.017692	響く
remain	0.017692	響く
effect	0.017692	響く
make	0.017692	響く
impress	0.017692	響く
ion	0.017692	響く
resound	0.017692	響く
hear	0.017692	響く
far	0.017692	響く
away	0.017692	響く
reverberate	0.017692	響く
shake	0.017692	響く
vibrate	0.017692	響く
side	0.016331	里
town	0.016331	里
village	0.016331	里
hamlet	0.016331	里
origin	0.016331	里
upbring	0.016331	里
past	0.016331	里
