# word cloud top all for element 長
# token	weight	(optional sources)
whisker	0.052958	鬚
self	0.032709	引張る,肆
hair	0.031828	髻,鬘
shadow	0.026479	鬚
moustache	0.026479	鬚
beard	0.026479	鬚
feeler	0.026479	鬚
tuft	0.026479	鬚
extension	0.022467	延長
wig	0.020595	鬘
piece	0.020595	鬘
toupee	0.020595	鬘
disappoint	0.015446	悵然
upset	0.015446	悵然
sad	0.015446	悵然
sorrowful	0.015446	悵然
ish	0.015446	肆
indulgent	0.015446	肆
arbitrary	0.015446	肆
close	0.015446	髣髴
resemblance	0.015446	髣髴
vivid	0.015446	髣髴
reminder	0.015446	髣髴
dim	0.015446	髣髴
faint	0.015446	髣髴
vague	0.015446	髣髴
blur	0.015446	髣髴
please	0.015446	丁髷
do	0.015446	丁髷
top	0.015446	丁髷
knot	0.015446	丁髷
together	0.011233	髻
reveal	0.010297	開張
open	0.010297	開張
hold	0.010297	開張
unveil	0.010297	開張
public	0.010297	開張
exhibit	0.010297	開張
ion	0.010297	開張
porous	0.007723	鬆
pithy	0.007723	鬆
spongy	0.007723	鬆
cavity	0.007723	鬆
pore	0.007723	鬆
hollow	0.007723	鬆
bubble	0.007723	鬆
blow	0.007723	鬆
hole	0.007723	鬆
where	0.007434	引張る,髻
lengthen	0.007434	延長,引張る
pull	0.007269	引張る
rise	0.006865	漲る
high	0.006865	漲る
over	0.006865	漲る
flow	0.006865	漲る
swell	0.006865	漲る
fill	0.006865	漲る
burst	0.006865	漲る
brim	0.006865	漲る
per	0.006865	漲る
vade	0.006865	漲る
prevail	0.006865	漲る
place	0.005617	髻
gather	0.005617	髻
atop	0.005617	髻
head	0.005617	髻
tie	0.005617	髻
position	0.005617	髻
length	0.005617	延長
ench	0.005617	延長
era	0.005617	延長
continuation	0.005617	延長
elongation	0.005617	延長
prolongation	0.005617	延長
join	0.003634	引張る
one	0.003634	引張る
some	0.003634	引張る
lead	0.001817	引張る
pronunciation	0.001817	引張る
ball	0.001817	引張る
toward	0.001817	引張る
take	0.001817	引張る
delay	0.001817	引張る
pro	0.001817	引張る
long	0.001817	引張る
tempt	0.001817	引張る
strongly	0.001817	引張る
invite	0.001817	引張る
wear	0.001817	引張る
put	0.001817	引張る
drag	0.001817	引張る
haul	0.001817	引張る
tow	0.001817	引張る
draw	0.001817	引張る
tight	0.001817	引張る
quote	0.001817	引張る
cite	0.001817	引張る
reference	0.001817	引張る
string	0.001817	引張る
run	0.001817	引張る
stretch	0.001817	引張る
