# word cloud top all for element 門
# token	weight	(optional sources)
room	0.013759	閨閤
woman	0.013759	閨閤
lock	0.011311	閂,閉まる,陸閘
open	0.011189	開く,闔
gate	0.010835	闔,陸閘
ion	0.010415	問題,欄,関係
warm	0.009631	燗
sake	0.009631	燗
water	0.009631	閼伽
up	0.009424	波瀾,燗,閊える,開く
relation	0.009172	間,関係
trouble	0.008509	問題,悶える,波瀾
high	0.008255	闌ける,阿闍梨
clarification	0.008026	闡明
elucidation	0.008026	闡明
explanation	0.008026	闡明
intrusion	0.008026	闖入
force	0.008026	闖入
entry	0.008026	闖入
one	0.007797	閃く,閑,闊歩
leave	0.007644	擱く,閑
page	0.007491	欄,闔
quince	0.007223	花櫚
sleep	0.006879	閨閤
quarter	0.006879	閨閤
bed	0.006879	閨閤
live	0.006879	閨閤
com	0.006202	憫れ,波瀾,闘い
con	0.006134	関係,闘い,阿闍梨
check	0.006083	簡,閲する
land	0.006019	陸閘
flood	0.006019	陸閘
wall	0.006019	陸閘
time	0.005733	閑,間
rail	0.005351	欄
dark	0.005069	闇い
financial	0.004945	潤い,財閥
rich	0.004945	潤い,財閥
offer	0.004816	閼伽
buddha	0.004816	閼伽
holy	0.004816	閼伽
monk	0.004816	阿闍梨
title	0.004816	闔
door	0.004816	闔
writhe	0.004816	悶える
agony	0.004816	悶える
angu	0.004816	悶える
ish	0.004816	悶える
agonize	0.004816	悶える
legitimate	0.004816	正閏
illegitimate	0.004816	正閏
dynasty	0.004816	正閏
normal	0.004816	正閏
leap	0.004816	正閏
elapse	0.004816	閲する
pas	0.004816	閲する
inspect	0.004816	閲する
exam	0.004816	閲する
ine	0.004816	閲する
ship	0.004586	間,関係
hear	0.004586	聴く
quest	0.004515	問題
problem	0.004515	問題
battle	0.004013	闘い
war	0.004013	闘い
fight	0.004013	闘い
wave	0.003909	波瀾,閃く
become	0.003704	閉まる
tighten	0.003704	閉まる
close	0.003704	閉まる
use	0.003612	繧繝
down	0.003456	波瀾,闇い
grow	0.003440	闌ける
old	0.003440	闌ける
ripen	0.003440	闌ける
rise	0.003440	闌ける
excel	0.003440	闌ける
proficient	0.003440	闌ける
dissipate	0.003440	爛れる
dissolute	0.003440	爛れる
indulge	0.003440	爛れる
sore	0.003440	爛れる
inflame	0.003440	爛れる
bleary	0.003440	爛れる
fester	0.003440	爛れる
reishi	0.003440	芝蘭
mushroom	0.003440	芝蘭
thorough	0.003440	芝蘭
wort	0.003440	芝蘭
fragrant	0.003440	芝蘭
plant	0.003440	芝蘭
talent	0.003440	芝蘭
virtuous	0.003440	芝蘭
cinch	0.003440	閂
double	0.003440	閂
arm	0.003440	閂
bar	0.003440	閂
bolt	0.003440	閂
latch	0.003440	閂
flash	0.003440	閃く
person	0.003440	財閥
zaibatsu	0.003440	財閥
conglomerate	0.003440	財閥
industrial	0.003440	財閥
group	0.003440	財閥
sexual	0.003440	関係
naruto	0.003010	鳴門
ness	0.003010	潤い
feel	0.003010	閊える
get	0.003010	閊える
charm	0.002772	潤い,簡
exclude	0.002675	擱く
except	0.002675	擱く
alone	0.002675	擱く
stop	0.002675	擱く
cease	0.002675	擱く
put	0.002675	擱く
aside	0.002675	擱く
field	0.002675	欄
blank	0.002675	欄
sect	0.002675	欄
column	0.002675	欄
hand	0.002675	欄
banister	0.002675	欄
balustrade	0.002675	欄
taste	0.002651	潤い,聴く
card	0.002535	簡
dense	0.002408	繧繝
diff	0.002408	繧繝
initiate	0.002408	阿闍梨
who	0.002408	阿闍梨
duct	0.002408	阿闍梨
religious	0.002408	阿闍梨
service	0.002408	阿闍梨
priest	0.002408	阿闍梨
flower	0.002408	花櫚
chin	0.002408	花櫚
ese	0.002408	花櫚
burmese	0.002408	花櫚
rose	0.002408	花櫚
wood	0.002408	花櫚
ang	0.002408	花櫚
sana	0.002408	花櫚
amboyna	0.002408	花櫚
amboina	0.002408	花櫚
period	0.002350	繧繝,間
interval	0.002293	間
off	0.002293	閑
listen	0.002293	聴く
small	0.002189	波瀾
large	0.002189	波瀾
vicissitude	0.002189	波瀾
disturbance	0.002189	波瀾
motion	0.002189	波瀾
uproar	0.002189	波瀾
turmoil	0.002189	波瀾
strait	0.002006	鳴門
spiral	0.002006	鳴門
pat	0.002006	鳴門
tern	0.002006	鳴門
whirl	0.002006	鳴門
pool	0.002006	鳴門
alack	0.002006	憫れ
ala	0.002006	憫れ
pitiable	0.002006	憫れ
pitiful	0.002006	憫れ
pathetic	0.002006	憫れ
miser	0.002006	憫れ
able	0.002006	憫れ
pity	0.002006	憫れ
sorrow	0.002006	憫れ
grief	0.002006	憫れ
misery	0.002006	憫れ
passion	0.002006	憫れ
patho	0.002006	憫れ
stick	0.002006	閊える
conflict	0.002006	闘い
test	0.002006	闘い
petition	0.002006	闘い
match	0.002006	闘い
game	0.002006	闘い
struggle	0.002006	闘い
