# word cloud top all for element 面
# token	weight	(optional sources)
noodle	0.119522	冷麺
chin	0.079681	冷麺
ese	0.079681	冷麺
cold	0.079681	冷麺
face	0.043825	面
chill	0.039841	冷麺
accompany	0.039841	冷麺
soup	0.039841	冷麺
dip	0.039841	冷麺
cham	0.021912	面
fer	0.021912	面
counter	0.021912	面
broad	0.021912	面
flat	0.021912	面
object	0.021912	面
level	0.021912	面
stage	0.021912	面
video	0.021912	面
game	0.021912	面
page	0.021912	面
strike	0.021912	面
head	0.021912	面
surf	0.021912	面
ace	0.021912	面
mask	0.021912	面
guard	0.021912	面
aspect	0.021912	面
facet	0.021912	面
side	0.021912	面
