# word cloud top all for element 韋
# token	weight	(optional sources)
one	0.074207	一葦,行衛
person	0.030146	一葦
reed	0.030146	一葦
small	0.030146	一葦
boat	0.030146	一葦
wrong	0.024117	違う
warp	0.022610	経緯
very	0.021280	豪い
wherea	0.013914	行衛
bout	0.013914	行衛
destination	0.013914	行衛
where	0.013914	行衛
head	0.013914	行衛
future	0.013914	行衛
journey	0.013914	行衛
ahead	0.013914	行衛
out	0.013914	行衛
come	0.013914	行衛
course	0.013914	行衛
development	0.013914	行衛
direct	0.013914	行衛
ion	0.013914	行衛
tide	0.013914	行衛
isn't	0.012059	違う
wasn't	0.012059	違う
become	0.012059	違う
abnormal	0.012059	違う
go	0.012059	違う
incorrect	0.012059	違う
mistake	0.012059	違う
differ	0.012059	違う
different	0.012059	違う
distinct	0.012059	違う
unlike	0.012059	違う
vary	0.012059	違う
disagree	0.012059	違う
longitude	0.011305	経緯
latitude	0.011305	経緯
weft	0.011305	経緯
woof	0.011305	経緯
detail	0.011305	経緯
particular	0.011305	経緯
sequence	0.011305	経緯
event	0.011305	経緯
circum	0.011305	経緯
stance	0.011305	経緯
situation	0.011305	経緯
how	0.011305	経緯
thing	0.011305	経緯
get	0.011305	経緯
way	0.011305	経緯
tire	0.010640	豪い
tough	0.010640	豪い
extremely	0.010640	豪い
trouble	0.010640	豪い
some	0.010640	豪い
awful	0.010640	豪い
terrible	0.010640	豪い
great	0.010640	豪い
excellent	0.010640	豪い
admirable	0.010640	豪い
remark	0.010640	豪い
able	0.010640	豪い
distinguish	0.010640	豪い
import	0.010640	豪い
ant	0.010640	豪い
celeb	0.010640	豪い
rate	0.010640	豪い
famous	0.010640	豪い
eminent	0.010640	豪い
