# word cloud top all for element 飛
# token	weight	(optional sources)
over	0.079082	飛ばす,飜る
flip	0.070153	飜る
suddenly	0.070153	飜る
fly	0.061862	飛ばす,飜る
turn	0.035077	飜る
flutter	0.035077	飜る
wave	0.035077	飜る
flap	0.035077	飜る
change	0.035077	飜る
switch	0.035077	飜る
alter	0.035077	飜る
off	0.026786	飛ばす
do	0.026786	飛ばす
out	0.026786	飛ばす
send	0.026786	飛ばす
fast	0.017857	飛ばす
attack	0.008929	飛ばす
dispatch	0.008929	飛ばす
quickly	0.008929	飛ばす
get	0.008929	飛ばす
rid	0.008929	飛ばす
burn	0.008929	飛ばす
vigorously	0.008929	飛ばす
roughly	0.008929	飛ばす
energetic	0.008929	飛ばす
ally	0.008929	飛ばす
run	0.008929	飛ばす
drive	0.008929	飛ばす
gallop	0.008929	飛ばす
say	0.008929	飛ばす
without	0.008929	飛ばす
reservation	0.008929	飛ばす
call	0.008929	飛ばす
rattle	0.008929	飛ばす
spray	0.008929	飛ばす
splash	0.008929	飛ばす
spatter	0.008929	飛ばす
transfer	0.008929	飛ばす
away	0.008929	飛ばす
demote	0.008929	飛ばす
skip	0.008929	飛ばす
leave	0.008929	飛ばす
omit	0.008929	飛ばす
drop	0.008929	飛ばす
spread	0.008929	飛ばす
circu	0.008929	飛ばす
late	0.008929	飛ばす
issue	0.008929	飛ばす
let	0.008929	飛ばす
make	0.008929	飛ばす
blow	0.008929	飛ばす
launch	0.008929	飛ばす
fire	0.008929	飛ばす
hurl	0.008929	飛ばす
shoot	0.008929	飛ばす
