# word cloud top all for element 飠
# token	weight	(optional sources)
eat	0.029406	蝕む
easy	0.029406	好餌
early	0.029406	子飼い
noble	0.026138	屋形
mochi	0.024763	力餅
worm	0.019604	蝕む
rice	0.018096	飴
sugar	0.018096	飴
make	0.017449	飲む,飴
end	0.015683	飽く迄
rear	0.014703	子飼い
infancy	0.014703	子飼い
train	0.014703	子飼い
age	0.014703	子飼い
teach	0.014703	子飼い
stage	0.014703	子飼い
bait	0.014703	好餌
decoy	0.014703	好餌
lure	0.014703	好餌
prey	0.014703	好餌
victim	0.014703	好餌
sucker	0.014703	好餌
after	0.014032	力餅,飽く迄
cabin	0.013069	屋形
man	0.013069	屋形
woman	0.013069	屋形
dignitary	0.013069	屋形
mansion	0.013069	屋形
palace	0.013069	屋形
manor	0.013069	屋形
house	0.013069	屋形
castle	0.013069	屋形
give	0.012381	力餅
birth	0.012381	力餅
one	0.012381	力餅
affect	0.009802	蝕む
adversely	0.009802	蝕む
spoil	0.009802	蝕む
ruin	0.009802	蝕む
und	0.009802	蝕む
ermine	0.009802	蝕む
gnaw	0.009802	蝕む
destroy	0.009802	蝕む
candy	0.009048	飴
toffee	0.009048	飴
amber	0.009048	飴
yellow	0.009048	飴
ish	0.009048	飴
brown	0.009048	飴
starch	0.009048	飴
potato	0.009048	飴
etc	0.009048	飴
accept	0.008402	飲む
smoke	0.008402	飲む
engulf	0.008402	飲む
overwhelm	0.008402	飲む
keep	0.008402	飲む
down	0.008402	飲む
suppress	0.008402	飲む
light	0.008402	飲む
conceal	0.008402	飲む
drink	0.008402	飲む
gulp	0.008402	飲む
swallow	0.008402	飲む
take	0.008402	飲む
all	0.007841	飽く迄
must	0.007841	飽く迄
rem	0.007841	飽く迄
ember	0.007841	飽く迄
only	0.007841	飽く迄
purely	0.007841	飽く迄
simply	0.007841	飽く迄
bitter	0.007841	飽く迄
last	0.007841	飽く迄
stubbornly	0.007841	飽く迄
persistently	0.007841	飽く迄
consistently	0.007841	飽く迄
utmost	0.007841	飽く迄
toddler	0.006191	力餅
first	0.006191	力餅
day	0.006191	力餅
receive	0.006191	力餅
parent	0.006191	力餅
fortify	0.006191	力餅
imp	0.006191	力餅
rove	0.006191	力餅
strength	0.006191	力餅
