# word cloud top all for element 馬
# token	weight	(optional sources)
horse	0.042986	単騎,駑馬,駒,駟,駻馬,駿足,騅,麒麟
mule	0.023128	騾馬
camel	0.018502	駱駝
station	0.015418	驛
run	0.012803	馳せる,駈ける,駸駸
make	0.011742	駱駝,騷ぐ
way	0.011564	驛
sudden	0.011564	驟雨
black	0.011564	驪竜
dragon	0.011564	驪竜
person	0.011267	馬鹿,駑馬,駿足
drive	0.011013	馭する,馳せる
stop	0.009416	駄目,駐まる
one	0.009231	単騎,騙る,騷ぐ
become	0.009115	沸騰,馴れる
quickly	0.009086	馳せる,駸駸
four	0.008994	単騎,駟
down	0.007709	羈縻,驟雨
intrusion	0.007709	闖入
force	0.007709	闖入
entry	0.007709	闖入
control	0.007709	馭する
manage	0.007709	馭する
veteran	0.007709	驍将
general	0.007709	驍将
leader	0.007709	驍将
rail	0.007709	驛
ride	0.007159	馳せる,麒麟
inferior	0.006608	駑馬
advance	0.006608	駈ける
charge	0.006608	駈ける
gallop	0.006608	駈ける
canter	0.006608	駈ける
dash	0.006608	駈ける
race	0.006608	駈ける
full	0.006608	真っしぐら
wharf	0.005782	碼頭
dock	0.005782	碼頭
land	0.005782	碼頭
place	0.005782	碼頭
bridge	0.005782	駒
piece	0.005782	駒
foal	0.005782	駒
palanquin	0.005782	駕籠
litter	0.005782	駕籠
bier	0.005782	駕籠
kago	0.005782	駕籠
large	0.005782	駘蕩
wide	0.005782	駘蕩
peaceful	0.005782	駘蕩
calm	0.005782	駘蕩
shower	0.005782	驟雨
pour	0.005782	驟雨
exchange	0.005782	交驩
courtesy	0.005782	交驩
fraternization	0.005782	交驩
fraternisation	0.005782	交驩
surprise	0.005782	喫驚
ish	0.005727	馬鹿,駱駝
get	0.005612	喫驚,馴れる
fast	0.005083	馳せる,駿足
great	0.004670	駸駸,駿足
out	0.004626	騙る
cloth	0.004626	駱駝
hair	0.004626	駱駝
light	0.004626	駱駝
yellow	0.004626	駱駝
brown	0.004626	駱駝
test	0.004626	験する
put	0.004626	験する
self	0.004240	羈縻,騙る
please	0.004205	頼む
come	0.004205	駐まる
up	0.004092	沸騰,騷ぐ
counter	0.003855	驛
bus	0.003855	驛
stag	0.003855	驛
post	0.003855	驛
high	0.003855	驛
train	0.003855	驛
system	0.003855	羈縻
zhui	0.003855	騅
dapple	0.003855	騅
grey	0.003855	騅
pie	0.003855	騅
bald	0.003855	騅
giraffe	0.003855	麒麟
ri	0.003855	麒麟
day	0.003855	麒麟
qilin	0.003855	麒麟
carriage	0.003855	駟
team	0.003855	駟
unruly	0.003855	駻馬
unmanageable	0.003855	駻馬
unbroken	0.003855	駻馬
use	0.003726	馴れる,駄目
fuss	0.003558	騷ぐ
swift	0.003558	駿足
do	0.003463	頼む,馴れる
spe	0.003304	真っしぐら
tilt	0.003304	真っしぐら
head	0.003304	真っしぐら
long	0.003304	真っしぐら
impetuously	0.003304	真っしぐら
precipitately	0.003304	真っしぐら
win	0.003304	馳せる
hurry	0.003304	馳せる
hack	0.003304	駑馬
incapable	0.003304	駑馬
proud	0.003304	驕る
haughty	0.003304	驕る
arrogant	0.003304	驕る
conceit	0.003304	驕る
brag	0.003304	驕る
show	0.003304	驕る
off	0.003304	驕る
less	0.003017	駄目
amaze	0.002891	喫驚
frighten	0.002891	喫驚
astonish	0.002891	喫驚
startle	0.002891	喫驚
jump	0.002891	喫驚
proceed	0.002891	駸駸
fly	0.002891	駸駸
rap	0.002891	駸駸
idly	0.002891	駸駸
stride	0.002891	駸駸
wait	0.002570	単騎
pair	0.002570	単騎
check	0.002313	験する
go	0.002313	験する
over	0.002313	験する
verify	0.002313	験する
try	0.002313	験する
trial	0.002313	験する
swindle	0.002313	騙る
cheat	0.002313	騙る
defraud	0.002313	騙る
misrepresent	0.002313	騙る
pre	0.002313	騙る
tend	0.002313	騙る
assume	0.002313	騙る
falsify	0.002313	騙る
boil	0.002313	沸騰
seethe	0.002313	沸騰
soar	0.002313	沸騰
shoot	0.002313	沸騰
heat	0.002313	沸騰
excitement	0.002313	沸騰
agitation	0.002313	沸騰
fermentation	0.002313	沸騰
abundant	0.002313	篤い
serious	0.002313	篤い
thick	0.002313	篤い
deep	0.002313	篤い
heavy	0.002313	篤い
kind	0.002313	篤い
cor	0.002313	篤い
dial	0.002313	篤い
hospitable	0.002313	篤い
warm	0.002313	篤い
faithful	0.002313	篤い
fool	0.002203	馬鹿
absurd	0.002203	馬鹿
alight	0.002103	駐まる
perch	0.002103	駐まる
halt	0.002103	駐まる
cease	0.002103	駐まる
suspend	0.002103	駐まる
entrust	0.002103	頼む
rely	0.002103	頼む
call	0.002103	頼む
order	0.002103	頼む
reserve	0.002103	頼む
request	0.002103	頼む
beg	0.002103	頼む
ask	0.002103	頼む
no	0.002011	駄目
purpose	0.002011	駄目
jimi	0.001927	羈縻
ancient	0.001927	羈縻
chin	0.001927	羈縻
ese	0.001927	羈縻
rule	0.001927	羈縻
administrative	0.001927	羈縻
tie	0.001927	羈縻
fasten	0.001927	羈縻
bind	0.001927	羈縻
merry	0.001779	騷ぐ
rustle	0.001779	騷ぐ
swoosh	0.001779	騷ぐ
feel	0.001779	騷ぐ
tense	0.001779	騷ぐ
uneasy	0.001779	騷ぐ
excite	0.001779	騷ぐ
lose	0.001779	騷ぐ
cool	0.001779	騷ぐ
panic	0.001779	騷ぐ
act	0.001779	騷ぐ
fluster	0.001779	騷ぐ
noise	0.001779	騷ぐ
racket	0.001779	騷ぐ
noisy	0.001779	騷ぐ
clamor	0.001779	騷ぐ
clam	0.001779	騷ぐ
our	0.001779	騷ぐ
kick	0.001779	騷ぐ
talent	0.001779	駿足
gift	0.001779	駿足
fleet	0.001779	駿足
ste	0.001779	駿足
ness	0.001779	駿足
foot	0.001779	駿足
runner	0.001779	駿足
skill	0.001360	馴れる
experience	0.001360	馴れる
tame	0.001360	馴れる
domesticate	0.001360	馴れる
grow	0.001360	馴れる
accustom	0.001360	馴れる
familiar	0.001360	馴れる
single	0.001285	単騎
man	0.001285	単騎
tile	0.001285	単騎
finish	0.001285	単騎
hand	0.001285	単騎
half	0.001285	単騎
meld	0.001285	単騎
complete	0.001285	単騎
mactra	0.001101	馬鹿
chinensi	0.001101	馬鹿
fer	0.001101	馬鹿
vent	0.001101	馬鹿
enthusiast	0.001101	馬鹿
nut	0.001101	馬鹿
singularly	0.001101	馬鹿
obsess	0.001101	馬鹿
someth	0.001101	馬鹿
idiot	0.001101	馬鹿
moron	0.001101	馬鹿
trivial	0.001101	馬鹿
matter	0.001101	馬鹿
folly	0.001101	馬鹿
ity	0.001101	馬鹿
stupid	0.001101	馬鹿
dull	0.001101	馬鹿
ridiculous	0.001101	馬鹿
neutral	0.001006	駄目
point	0.001006	駄目
inter	0.001006	駄目
section	0.001006	駄目
own	0.001006	駄目
neither	0.001006	駄目
player	0.001006	駄目
end	0.001006	駄目
game	0.001006	駄目
cannot	0.001006	駄目
must	0.001006	駄目
allow	0.001006	駄目
hope	0.001006	駄目
waste	0.001006	駄目
vain	0.001006	駄目
good	0.001006	駄目
serve	0.001006	駄目
break	0.001006	駄目
