# word cloud top all for element 骨
# token	weight	(optional sources)
dice	0.053146	骰子
die	0.053146	骰子
skull	0.053146	髑髏
death	0.053146	髑髏
head	0.053146	髑髏
cranium	0.053146	髑髏
frame	0.048890	形骸,骨,骨骼
meat	0.042517	髀肉
work	0.024042	形骸,骨骼
skeleton	0.024042	形骸,骨骼
round	0.021258	髀肉
pig	0.021258	髀肉
thigh	0.021258	髀肉
down	0.019326	辷る
bone	0.019326	骨
mere	0.017715	形骸
skeletal	0.015185	骨骼
structure	0.015185	骨骼
build	0.015185	骨骼
physique	0.015185	骨骼
bottom	0.011810	心髄
one	0.011810	心髄
heart	0.011810	心髄
marrow	0.011810	心髄
pith	0.011810	心髄
centre	0.011810	心髄
center	0.011810	心髄
nucleu	0.011810	心髄
hub	0.011810	心髄
out	0.009663	骨
line	0.009663	骨
core	0.009663	骨
back	0.009663	骨
spirit	0.009663	骨
fortitude	0.009663	骨
laborious	0.009663	骨
trouble	0.009663	骨
some	0.009663	骨
difficult	0.009663	骨
fail	0.009663	辷る
bomb	0.009663	辷る
glide	0.009663	辷る
slide	0.009663	辷る
slip	0.009663	辷る
drop	0.009663	辷る
go	0.009663	辷る
come	0.009663	辷る
fall	0.009663	辷る
body	0.008858	形骸
shell	0.008858	形骸
name	0.008858	形骸
dead	0.008858	形骸
letter	0.008858	形骸
remain	0.008858	形骸
ruin	0.008858	形骸
wreck	0.008858	形骸
