# word cloud top all for element 鳥
# token	weight	(optional sources)
japan	0.036258	磯城島,鵤,鵼,鶉,鶯,鷽
ese	0.032558	磯城島,鵤,鵼,鶉,鶯,鷽
gull	0.029598	鷗
bird	0.027748	鵙,鵬,鶺鴒
francolin	0.022199	鷓鴣
part	0.022199	鷓鴣
ridge	0.022199	鷓鴣
palomino	0.022199	鴾毛
winter	0.022199	鷦鷯
wren	0.022199	鷦鷯
crow	0.018499	烏鵲,烏鷺,鶏鳴
feng	0.016649	鵬
huang	0.016649	鵬
large	0.016649	鵬
peng	0.016649	鵬
grebe	0.014799	鳰
bull	0.014799	鵙,鷽
quail	0.014799	鶉
hen	0.014799	鷭
long	0.013742	鶴首,鶺鴒
pigeon	0.013436	ハト胸,鴿
thrush	0.012209	虎鶫,鵼
barbarian	0.011099	鴃舌
jabber	0.011099	鴃舌
dive	0.011099	鴿
grosbeak	0.011099	鵤
white	0.011099	烏鷺,虎鶫,鵼
finch	0.011099	鷽
brown	0.009249	ひよ鳥,鶯
one	0.008879	嶋
tail	0.008509	鵼,鶺鴒
little	0.008409	鳥渡,鳰
neck	0.007511	ハト胸,鶴首
common	0.007400	鷗
mew	0.007400	鷗
sea	0.007400	鷗
duck	0.007400	鴨
any	0.007400	鶺鴒
family	0.007400	鶺鴒
motacillidae	0.007400	鶺鴒
wag	0.007400	鶺鴒
claw	0.007400	鶺鴒
shrike	0.007400	鵙
ear	0.007400	ひよ鳥
bulbul	0.007400	ひよ鳥
european	0.007400	烏鵲
magpie	0.007400	烏鵲
osprey	0.007400	鶚
fish	0.007400	鶚
hawk	0.007400	鶚
moor	0.007400	鷭
water	0.007400	鷭
gallinule	0.007400	鷭
warbler	0.006783	鶯,鶯谷
scaly	0.005550	虎鶫
eurasian	0.005550	鷽
person	0.005391	鵼,鶴首
valley	0.004933	鶯谷
head	0.004810	鵙,鵼
ical	0.004810	磯城島,鵼
island	0.004440	嶋
territory	0.004440	嶋
turf	0.004440	嶋
black	0.004440	烏鷺
heron	0.004440	烏鷺
go	0.004440	烏鷺
cock	0.004440	鶏鳴
easily	0.004180	鳥渡,鴨る
easy	0.003700	鴨
mark	0.003700	鴨
sucker	0.003700	鴨
sit	0.003700	鴨
butcher	0.003700	鵙
yamato	0.003700	磯城島
art	0.003700	磯城島
class	0.003700	磯城島
poetry	0.003700	磯城島
fifth	0.003700	皐月
month	0.003700	皐月
lunar	0.003700	皐月
calendar	0.003700	皐月
satsuki	0.003700	皐月
azalea	0.003700	皐月
beautiful	0.003700	鶯
voice	0.003700	鶯
defeat	0.003171	鴨る
eat	0.003171	鴨る
alive	0.003171	鴨る
bilk	0.003171	鴨る
swindle	0.003171	鴨る
dupe	0.003171	鴨る
item	0.003171	鶴首
slender	0.003171	鶴首
woman	0.003018	ハト胸,鶯
naruto	0.002775	鳴門
yeah	0.002612	於戯
remain	0.002467	鶯谷
obscure	0.002467	鶯谷
unsuccessful	0.002467	鶯谷
live	0.002467	鶯谷
be	0.002467	鶯谷
curve	0.002337	ハト胸
chest	0.002337	ハト胸
breast	0.002337	ハト胸
hey	0.002315	於戯,鳥渡
hour	0.002220	鶏鳴
ox	0.002220	鶏鳴
rooster	0.002220	鶏鳴
dawn	0.002220	鶏鳴
day	0.002220	鶏鳴
break	0.002220	鶏鳴
green	0.001850	鶯
ish	0.001850	鶯
bush	0.001850	鶯
nightingale	0.001850	鶯
strait	0.001850	鳴門
spiral	0.001850	鳴門
pat	0.001850	鳴門
tern	0.001850	鳴門
whirl	0.001850	鳴門
pool	0.001850	鳴門
yo	0.001306	於戯
aah	0.001306	於戯
gah	0.001306	於戯
argh	0.001306	於戯
ah	0.001306	於戯
oh	0.001306	於戯
ala	0.001306	於戯
yes	0.001306	於戯
inde	0.001306	於戯
correct	0.001306	於戯
uh	0.001306	於戯
huh	0.001306	於戯
right	0.001306	於戯
gotcha	0.001306	於戯
base	0.001168	ハト胸
shamisen	0.001168	ハト胸
front	0.001168	ハト胸
port	0.001168	ハト胸
ion	0.001168	ハト胸
stirrup	0.001168	ハト胸
iron	0.001168	ハト胸
armor	0.001168	ハト胸
protrude	0.001168	ハト胸
big	0.001168	ハト胸
chimera	0.001110	鵼
myth	0.001110	鵼
creature	0.001110	鵼
monkey	0.001110	鵼
tanuki	0.001110	鵼
body	0.001110	鵼
tiger	0.001110	鵼
limb	0.001110	鵼
snake	0.001110	鵼
mysterious	0.001110	鵼
unknown	0.001110	鵼
character	0.001110	鵼
enigma	0.001110	鵼
readily	0.001009	鳥渡
bite	0.001009	鳥渡
slightly	0.001009	鳥渡
come	0.001009	鳥渡
excuse	0.001009	鳥渡
me	0.001009	鳥渡
just	0.001009	鳥渡
minute	0.001009	鳥渡
moment	0.001009	鳥渡
briefly	0.001009	鳥渡
thank	0.001009	鳥渡
no	0.001009	鳥渡
feasible	0.001009	鳥渡
possible	0.001009	鳥渡
some	0.001009	鳥渡
what	0.001009	鳥渡
rather	0.001009	鳥渡
fairly	0.001009	鳥渡
pretty	0.001009	鳥渡
quite	0.001009	鳥渡
wakame	0.000925	鳴門
cook	0.000925	鳴門
technique	0.000925	鳴門
where	0.000925	鳴門
ingredient	0.000925	鳴門
cut	0.000925	鳴門
kamaboko	0.000925	鳴門
like	0.000925	鳴門
roar	0.000925	鳴門
tidal	0.000925	鳴門
ebb	0.000925	鳴門
flow	0.000925	鳴門
maelstrom	0.000925	鳴門
