# word cloud top all for element 𠔉
# token	weight	(optional sources)
move	0.074074	捲く
sale	0.074074	沽券
deed	0.037037	沽券
value	0.037037	沽券
sell	0.037037	沽券
price	0.037037	沽券
dignity	0.037037	沽券
credit	0.037037	沽券
public	0.037037	沽券
estimation	0.037037	沽券
face	0.037037	沽券
honor	0.037037	沽券
reputation	0.037037	沽券
link	0.037037	捲く
envelope	0.037037	捲く
shroud	0.037037	捲く
ahead	0.037037	捲く
up	0.037037	捲く
out	0.037037	捲く
flank	0.037037	捲く
skirt	0.037037	捲く
wind	0.037037	捲く
coil	0.037037	捲く
roll	0.037037	捲く
wear	0.037037	捲く
