# word cloud top all for element 丨
# token	weight	(optional sources)
worm	0.014820	ウジ虫,絛虫,蕭,虫螻,蚕棚,蛔虫,蝕む,螟蛉,蟲,蠕動
fly	0.012902	花虻,蜉蝣,蝴蝶,蟆子
cricket	0.012640	蟋蟀,蟲
one	0.007876	一筆,単,独り,画く,等,縫う,蚕棚,蟄居,蟠る,蟲,裡,閊え,騷ぐ
toad	0.007540	蟾蜍,蟾酥
ese	0.006922	律,棗,狆,篠,蓬莱,蕭,蟋蟀,鉾,鰰
frog	0.006702	蝦
japan	0.005842	律,狆,篠,蕭,蝦夷,蟋蟀,鰰
fish	0.005078	探す,沖漬け,蜑,鰰
butter	0.005027	蝴蝶
sting	0.005027	螫す
person	0.005011	子,当る,独り,球,瘋癲,虫螻,蚰蜒,蟲
beautiful	0.004551	球,蛾眉,錦繡
typhoon	0.004189	颱風,颶風
hurricane	0.004189	颱風,颶風
weave	0.004077	紬,縫う,苫
head	0.003728	人虱,由る,穗,総帥
time	0.003700	代,南蛮,捺す,旧い,晝,須臾
self	0.003684	独り,肆,蟄居,裡
great	0.003599	丕業,夥しい,強か
shell	0.003569	法螺,甲,蜆貝,鰒
less	0.003376	暢気,飄飄,飛語,鼬ごっこ
black	0.003351	蟆子
gnat	0.003351	蟆子
wale	0.003351	ミミズ腫れ
welt	0.003351	ミミズ腫れ
weal	0.003351	ミミズ腫れ
detestation	0.003351	蛇蠍
serpent	0.003351	蛇蠍
scorpion	0.003351	蛇蠍
kajika	0.003351	蝦
turn	0.003246	出る,由る,蝙蝠
round	0.003179	歪,蛔虫,蜻蛉返り,蟲,鼬ごっこ
note	0.003077	一筆,律,蝌蚪
long	0.003076	延びる,旧い,蟋蟀,鉾,須臾
base	0.003028	由る,素,飛語
clam	0.002976	叫ぶ,蜆貝,騷ぐ
key	0.002900	軸,鑰
ical	0.002872	蛟龍,蝌蚪
use	0.002833	南蛮,専用,捺す,球
bow	0.002809	舳先,鉾
horn	0.002793	螟蛉,蟋蟀
chin	0.002756	棗,狆,蓬莱,鉾
louse	0.002729	人虱,蚰蜒
make	0.002688	唸る,届く,延びる,捺す,矢矧,触れる,騷ぐ
down	0.002643	呷る,捺す,牽く,甚振る
flower	0.002639	花卉,錦繡
ish	0.002551	憂え,痩せ形,肆
wisdom	0.002513	慧
lock	0.002513	鑰,陸閘
indignant	0.002513	怫然
wrathful	0.002513	怫然
ever	0.002513	賢木
green	0.002513	賢木
sakaki	0.002513	賢木
mat	0.002513	苫
tape	0.002513	絛虫
cestode	0.002513	絛虫
prow	0.002513	舳先
ladle	0.002513	蝌蚪
mus	0.002513	蝌蚪
tadpole	0.002513	蝌蚪
bat	0.002513	蝙蝠
umbrella	0.002513	蝙蝠
opportunist	0.002513	蝙蝠
coat	0.002513	蝙蝠
venom	0.002513	蟾酥
glaze	0.002513	釉薬
enamel	0.002513	釉薬
sand	0.002513	鰰
mean	0.002394	蜿蜿,迚も
dragon	0.002370	蛟龍,蜉蝣
poor	0.002313	不味い,凶歉,微か
ear	0.002304	穗,鰒
flea	0.002285	ノミ取り
like	0.002278	等,蛟龍,蠕動
katydid	0.002234	蟋蟀
child	0.002230	子,螟蛉,鼬ごっこ
back	0.002209	嶺,牽く,甲,鼬ごっこ
honey	0.002205	蜂の巣,蜜
ity	0.002147	延びる,蜉蝣
line	0.002106	一筆,立並ぶ
wind	0.002094	嵐,蜿蜿
enlightenment	0.002094	慧,果
small	0.002020	棗,沖漬け,蟬
plant	0.002011	花卉
cup	0.002011	酒盃
ephemeral	0.002011	蜉蝣
damselfly	0.002011	蜉蝣
mayfly	0.002011	蜉蝣
ephemeropteran	0.002011	蜉蝣
mug	0.002011	蕭
wort	0.002011	蕭
book	0.002011	書史
history	0.002011	書史
eat	0.001975	蝕む,鴨る
flap	0.001955	袖,飄飄
ion	0.001928	問い質す,届く,素,蛇腹,蜻蛉返り
no	0.001924	剣ヶ峰,単,天神,迚も,須臾
up	0.001906	出る,煩さい,牽く,蟄居,触れる,騷ぐ
through	0.001894	串刺し,届く,探す,蛟龍
foundation	0.001843	素,肇造
take	0.001833	丕業,出る,当る,沸く
ous	0.001828	球,蜿蜿
be	0.001811	独り,須臾
some	0.001715	不味い,煩さい,須臾
get	0.001714	ノミ取り,出る,届く,沸く
come	0.001703	出る,出遭う,由る,触れる
fruit	0.001676	果
gulp	0.001676	呷る
slurp	0.001676	呷る
crop	0.001676	凶歉
famine	0.001676	凶歉
aba	0.001676	鰒
lone	0.001676	鰒
maggot	0.001676	ウジ虫
scum	0.001676	ウジ虫
erman	0.001676	蜑
male	0.001676	蜑
diver	0.001676	蜑
endlessly	0.001676	蜿蜿
continuously	0.001676	蜿蜿
der	0.001676	蜿蜿
sinu	0.001676	蜿蜿
serpen	0.001676	蜿蜿
tine	0.001676	蜿蜿
faint	0.001676	微か,髣髴
dim	0.001676	微か,髣髴
vague	0.001676	微か,髣髴
arrow	0.001676	矢矧
cocoon	0.001676	玉繭
dupion	0.001676	玉繭
dupioni	0.001676	玉繭
establishment	0.001676	肇造
creation	0.001676	肇造
adopt	0.001676	螟蛉
sleeve	0.001676	袖
wing	0.001676	袖
tornado	0.001676	颶風
negation	0.001676	否定
draw	0.001638	牽く,画く
over	0.001637	出る,唸る,捺す,蜻蛉返り,馴れ馴れしい
house	0.001632	蚰蜒,蟄居
devote	0.001610	忠実,蟲,費やす
write	0.001584	一筆,草紙
point	0.001554	穗,軸,鼬ごっこ
top	0.001549	嶺,禅定,鼬ごっこ
ness	0.001543	憂え,蟲
hard	0.001542	強か,忠実
land	0.001536	蓬莱,陸閘
wall	0.001521	蜂の巣,陸閘
harbour	0.001508	津,蟠る
signal	0.001508	狼煙
search	0.001508	探す
shape	0.001496	歪,画く,蛇腹
out	0.001490	出る,延びる,当る,旧い
date	0.001458	旧い,棗
skewer	0.001436	串刺し
basket	0.001436	蜆貝
row	0.001436	立並ぶ
quiet	0.001429	煩さい,粛然
counter	0.001407	果,箱,素
go	0.001403	一筆,出る,当る,暢気,牽く,鼬ごっこ
mountain	0.001396	禅定,蓬莱
mourn	0.001396	弔う,憂え
sake	0.001392	沖漬け,酒盃
under	0.001361	丕業,当る
egg	0.001359	子,球,蛋白
body	0.001358	人虱,蟲
silk	0.001352	紬,蚕棚
hold	0.001320	弔う,牽く
handle	0.001317	抽斗,素,鉾
know	0.001313	嘯く,抽斗,触れる
grass	0.001285	素,蟋蟀
mind	0.001274	画く,蟠る,蟲
thing	0.001264	抽斗,蟲
build	0.001261	痩せ形,箱
province	0.001257	洲
clue	0.001257	鑰
deed	0.001257	丕業
bottom	0.001257	淵底
depth	0.001257	淵底
eye	0.001257	蛾眉
brow	0.001257	蛾眉
close	0.001257	髣髴
resemblance	0.001257	髣髴
vivid	0.001257	髣髴
reminder	0.001257	髣髴
blur	0.001257	髣髴
day	0.001257	晝
lunch	0.001257	晝
noon	0.001257	晝
midday	0.001257	晝
wash	0.001257	洗滌
cleanse	0.001257	洗滌
clean	0.001257	洗滌
irrigation	0.001257	洗滌
spaniel	0.001257	狆
pekinese	0.001257	狆
familiar	0.001257	馴れ馴れしい
too	0.001257	馴れ馴れしい
monkey	0.001257	申
west	0.001257	申
fabric	0.001257	錦繡
indulgent	0.001257	肆
arbitrary	0.001257	肆
drone	0.001257	花虻
hover	0.001257	花虻
syrphid	0.001257	花虻
maw	0.001257	蛔虫
intestinal	0.001257	蛔虫
prawn	0.001257	鰕
shrimp	0.001257	鰕
lobster	0.001257	鰕
crayfish	0.001257	鰕
swarm	0.001257	蝟集
throng	0.001257	蝟集
flock	0.001257	蝟集
together	0.001257	蝟集
hint	0.001257	諷する
insinuate	0.001257	諷する
satirize	0.001257	諷する
satirise	0.001257	諷する
coax	0.001257	賺す
cajole	0.001257	賺す
humour	0.001257	賺す
wheedle	0.001257	賺す
flood	0.001257	陸閘
gate	0.001257	陸閘
sail	0.001257	鰰
fin	0.001257	鰰
praj	0.001257	慧
single	0.001240	単,独り,蟲
run	0.001227	串刺し,出る,出遭う
boast	0.001221	嘯く,法螺
brag	0.001221	嘯く,法螺
shamisen	0.001206	箱
insect	0.001191	虫螻,蟲
touch	0.001173	届く,当る,触れる
wretch	0.001137	微か,蚰蜒
free	0.001131	暢気,馴れ馴れしい
feel	0.001130	当る,蟲,裡,触れる,騷ぐ
old	0.001120	旧い,狒狒
man	0.001120	狒狒,箱
chest	0.001120	箱,閊え
bush	0.001117	蟋蟀
hopper	0.001117	蟋蟀
ask	0.001117	問い質す
bamboo	0.001117	篠
service	0.001117	弔う
start	0.001110	出る,狼煙
centre	0.001105	中央,軸
center	0.001105	中央,軸
food	0.001105	串刺し,沖漬け
hole	0.001102	タコ壺,蜂の巣
work	0.001085	忠実,草紙
fee	0.001077	束脩
pleat	0.001077	蛇腹
our	0.001067	叫ぶ,裡,騷ぐ
stop	0.001058	蜻蛉返り
trip	0.001058	蜻蛉返り
originate	0.001058	出る,胚胎
across	0.001050	出遭う,捺す
shut	0.001048	煩さい,蟄居
waste	0.001030	箱,費やす
howl	0.001021	唸る,嘯く,飄飄
rough	0.001015	紬,草紙
hang	0.001015	宙ぶらりん,軸
simply	0.001014	独り,迚も
calligraphy	0.001005	書史
around	0.001005	探す,蟠る
wood	0.001005	蕭
sage	0.001005	蕭
brush	0.001005	蕭
ornamental	0.001005	花卉
alcoholic	0.001005	酒盃
beverage	0.001005	酒盃
care	0.001005	暢気
tsu	0.001005	津
ferry	0.001005	津
harbor	0.001005	津
port	0.001005	津
way	0.001005	縫う
sew	0.001005	縫う
stitch	0.001005	縫う
germination	0.001005	胚胎
pregnancy	0.001005	胚胎
arise	0.001005	胚胎
result	0.001005	胚胎
protein	0.001005	蛋白
white	0.001005	蛋白
albumen	0.001005	蛋白
albumin	0.001005	蛋白
size	0.001005	蟬
pulley	0.001005	蟬
cicada	0.001005	蟬
locust	0.001005	蟬
vermiculation	0.001005	蠕動
peristalsi	0.001005	蠕動
crawl	0.001005	蠕動
blade	0.001005	嶺,素
insanity	0.001005	瘋癲
insane	0.001005	瘋癲
vagabond	0.001005	瘋癲
wanderer	0.001005	瘋癲
young	0.001005	子
hand	0.000997	一筆,出る,甲,鼬ごっこ
right	0.000993	南蛮,当る,蜻蛉返り
thought	0.000978	暢気,蟲,裡
company	0.000960	総帥,裡
ine	0.000960	ノミ取り,金剛
world	0.000949	代,飄飄
non	0.000948	蜻蛉返り,蝦夷
age	0.000938	代,旧い,箱
same	0.000934	一筆,南蛮,嵐
meet	0.000914	出遭う
slender	0.000914	痩せ形
leptosomatic	0.000914	痩せ形
party	0.000914	甲
become	0.000910	延びる,蟠る
do	0.000900	宙ぶらりん,捺す
particular	0.000887	専用,煩さい
eyelid	0.000887	単
con	0.000880	当る,触れる,闘い
car	0.000859	甲,箱
number	0.000857	夥しい,律
arrive	0.000843	届く,蜻蛉返り
new	0.000839	子,束脩,蓬莱
ferment	0.000838	沸く
operation	0.000838	否定
denial	0.000838	否定
repudiation	0.000838	否定
disavowal	0.000838	否定
commander	0.000838	総帥
chief	0.000838	総帥
leader	0.000838	総帥
group	0.000838	総帥
insignificant	0.000838	虫螻
pathetic	0.000838	虫螻
peak	0.000838	嶺
summit	0.000838	嶺
ridge	0.000838	嶺
anxiety	0.000838	憂え
ill	0.000838	憂え
lamentation	0.000838	憂え
grief	0.000838	憂え
angu	0.000838	憂え
root	0.000838	素,蟠る
fletcher	0.000838	矢矧
maker	0.000838	矢矧
fletch	0.000838	矢矧
silent	0.000838	粛然
solemn	0.000838	粛然
softly	0.000838	粛然
quietly	0.000838	粛然
solemnly	0.000838	粛然
fox	0.000838	タコ壺
octopu	0.000838	タコ壺
pot	0.000838	タコ壺
bubble	0.000838	タコ壺
echo	0.000838	タコ壺
cham	0.000838	タコ壺
ber	0.000838	タコ壺
dew	0.000838	蜜
nectar	0.000838	蜜
sorbitol	0.000838	蜜
treacle	0.000838	蜜
molass	0.000838	蜜
sacr	0.000838	禅定,蓬莱
storm	0.000838	嵐
piece	0.000838	果
phala	0.000838	果
battle	0.000838	闘い
war	0.000838	闘い
fight	0.000838	闘い
est	0.000829	天神,子,嵐
woman	0.000829	子,蛾眉
stand	0.000823	当る,立並ぶ
clamor	0.000822	叫ぶ,騷ぐ
grow	0.000819	延びる,沸く,蚕棚
trouble	0.000810	不味い,煩さい
experience	0.000810	抽斗,触れる
south	0.000808	南蛮,申
ture	0.000806	沖漬け,画く
pack	0.000804	箱
box	0.000804	箱
case	0.000804	箱
weapon	0.000798	金剛,鉾
cause	0.000796	由る,素
tic	0.000787	律,禅定
