# word cloud top all for element 丿
# token	weight	(optional sources)
one	0.007249	カバン持ち,万歳,入魂,呪う,呼出し,地膚,属する,差す,思惑,惚ける,愧死,我れ,扱う,投じる,抱える,携える,母衣,沈没,添う,漏らす,...
ion	0.006682	交渉,働き,収斂,句,四方,尤める,局所,思惑,惚ける,感応,懺法,揉む,插入,枚,架橋,段,氣,沙汰,消耗,溜り,...
ese	0.005641	丹頂,和,小菊,戊,東,枸杞,楸,橄欖,磬,磯城島,糸瓜,繁,花櫚,茶筌,萩,著莪,蕎麦,蕭,蟋蟀,辯,...
up	0.005618	万歳,出来る,千切る,及ぶ,差す,御免,怺える,扱う,抵抗,拘わる,掛ける,掬する,掲げる,更迭,殪す,汲む,消耗,添う,為る,牽く,...
japan	0.004256	丹頂,和,小菊,戎,東,楸,磬,磯城島,茶筌,萩,著莪,蕎麦,蕭,蟋蟀,辯,陸尺,鞠,鞨鼓,風,鰍,...
ness	0.004012	光,刃,剋,千鈞,呪う,失敬,威勢,愛きょう,感応,憂え,憾み,懺法,気違い,氣,猊下,私,般若,艶,褊狭,豪毅,...
con	0.004002	争う,勤める,収斂,呪う,嚮導,幻妖,我れ,拘わる,渾沌,狭窄,疾しい,的,省,約束,絞る,繞る,考える,臀,藹藹,謀る,...
go	0.003516	乘る,動かす,及ぶ,大概,失敬,媒酌,沈没,没する,添う,焼ける,牽く,痺れる,登る,繞る,脱ける,詐欺,請ける,識る,越す,踏む,...
make	0.003503	出来る,善哉,地均し,媒酌,延びる,弄る,投じる,掛ける,斟酌,滲みる,為る,玉子,純米,繞る,茶筌,製銑,言做す,詐欺,詫びる,貶める,...
take	0.003465	丕業,乘る,出来る,効く,嚮導,失敬,尤める,就く,扱う,投じる,抱える,掛ける,掬する,携える,斟酌,比丘尼,沸く,眉唾,睨む,考える,...
out	0.003343	危ない,噴出す,垂れる,大凡,大概,延びる,掲げる,撒く,放つ,旧い,旧弊,殺す,漏らす,為る,番,盛る,絞る,脱ける,詐欺,識る,...
use	0.002911	剰員,委せる,投じる,掛ける,消耗,為る,狗,瓢,磬,糸瓜,縲絏,衝く,託す,通る,遣う,鞨鼓,頽れる,鮑結び
back	0.002703	刈込む,殺す,母衣,牽く,甦生,留める,相づち,笈,茶筌,蹉跌,辟易,遡る,陰
over	0.002642	乘る,印僑,差す,掲げる,散らす,殪す,洗う,淋漓,絞る,繙く,考える,見戍る,言做す,識る,豊か,越す,蹂躪,辯,逸す,鈍い,...
rice	0.002628	うるち米,倉廩,刃,枚,歪,租,糂汰,純米,薦,醴,鮨
age	0.002549	劣化,孫,寿,年頃,揉む,旧い,末,毎度,沙汰,澆季,秋,種,笈,系統,蒐集,誄
chin	0.002524	戊,枸杞,楸,橄欖,磬,繁,花櫚,蕎麦,鉾,鍾馗,頰杖,鬼,鼈
time	0.002476	二股,剋,夙に,少し,或るいは,旧い,段,毎度,沈没,看板,真逆,秋,程,稍,謦咳,越す,輓近,遷す,鈍い,零落れる,...
ruan	0.002394	阮咸
down	0.002246	刈込む,喝破,垂れる,梵天,殪す,毀れる,沈没,没する,灌ぐ,焼ける,牽く,甚振る,禿び,絞る,請ける,貶める,赦す,蹂躪,退ける,零落れる,...
head	0.002191	丹頂,冴える,前,太夫,掲げる,由る,看板,禿び,穗,茶筌,鈍い,鏡,顱頂,首,馘,鰡
do	0.002038	丁髷,乍ら,出来る,前,千切る,善哉,左右,弄る,掛ける,散らす,未だ,漏らす,為る,詐欺,識る,追い込む,通る,革める,頂く,頑張る,...
leave	0.001971	垂れる,失敬,委せる,属する,差す,御免,残す,殪す,漏らす,禾偏,脱ける,託す,退ける,離れる,飛ばす
long	0.001970	八咫,夙に,失敬,寿,延びる,旧い,旧弊,旱魃,沈没,蟋蟀,鉾
side	0.001934	几帳面,四方,差す,撮み,横殴り,殪す,添う,牽く,稍,範,素,縣,陰,鞨鼓
become	0.001909	冴える,出来る,劣化,延びる,澱む,為る,焼ける,痺れる,盈ちる,眩む,萎える,蟠る,請ける,頽れる
set	0.001813	動かす,掛ける,放つ,残す,殪す,没する,科白,設定,踏む,蹉跌,造る
pre	0.001794	嘯く,囲う,夭折,思惑,留める,盛る,託す,調う,跋扈,造る,鍾馗,風,騙る
give	0.001789	万歳,入魂,垂れる,委せる,小菊,投じる,撒く,放つ,漏らす,絞る,耽る,脱ける,萌す,裁ち切る,言做す,請ける,負ける,赦す,載せる,造る,...
work	0.001752	働き,効く,勉強,勤める,印僑,地均し,扱う,政所,毀れる,沈没,為る,草紙,謀る,逸文,針
person	0.001750	呼出し,塊まり,子,携える,為る,瘋癲,禿び,自称,虎豹,財閥,首,馬鹿,駿足,鬼
great	0.001742	丕業,千仭,千鈞,属する,微妙,駿足
get	0.001728	乘る,動かす,喫驚,大概,尤める,拘わる,摑まる,撒く,散らす,沈没,沸く,為る,痺れる,穿つ,請ける,識る,越す,通る,頂く,飛ばす
point	0.001726	前,嚮導,枢軸,瀕する,灸点,界,的,種,穗,脱ける,赤
ity	0.001694	万歳,入魂,威勢,延びる,我れ,末,私,秘密,秩序,繁,誠,馬鹿
less	0.001672	剰員,千仭,狗,糸瓜,縹緲,脱ける,輒ち,飄飄
self	0.001624	呼出し,我れ,投じる,矜持,耽る,自称,衝く,訝る,贅沢,追い込む,騙る
good	0.001622	僥幸,出来る,効く,失敬,悧巧,日和,裨益,贓物
death	0.001605	呪う,夭折,必死,涅槃,誅戮
some	0.001603	カバン持ち,不味い,呪う,少し,年頃,或るいは,睨む,稍,笊,絞る,縁,託す,追い込む,陰,難しい,頂く
fall	0.001575	僥幸,毀れる,灌ぐ,脱ける,貶める,陥穽,零落れる,頡頏
eye	0.001566	光,眇,睡る,睨む,綜絖,蛾眉,見戍る,靉靆,鼻先
off	0.001559	俄か,千切る,子,延びる,撒く,放つ,毀れる,留める,絞る,聖域,裁ち切る,豊か,赦す,退ける,鍾馗,飛ばす,驕る
come	0.001551	及ぶ,呪う,差す,御免,為る,甦生,由る,登る,盈ちる,繞る,考える,脱ける,越す,通る,邀える,零落れる
large	0.001523	八咫,政所,梵天,耕地,膨大,鵬
cut	0.001508	し烈,刈込む,剋,芟除,苅る,裁ち切る
stand	0.001470	兀然,怺える,抵抗,旧弊,棧敷,汲む,番,的,識る,踏む,通る,鯱鉾ばる
someth	0.001449	万歳,乍ら,前,如何物,水の泡,界,真逆,笊,等,糸瓜,縁,言做す,詐欺,遷す,頂く,馬鹿
cup	0.001436	酒盃
hail	0.001421	邀える,降雹,霰
stone	0.001416	石畳み,石碣,磬,種
counter	0.001415	帙,枚,機,段,疋,素,針,風
say	0.001414	句,垂れる,失敬,況んや,真逆,禱る,詐欺,説,鍾馗,飛ばす
bow	0.001408	鉾,霓
put	0.001403	入魂,刈込む,収斂,差す,延びる,怺える,投じる,掛ける,掲げる,殺す,盛る,穿つ,誅戮,調う,造る,遣う
ton	0.001396	瓲,饂飩
break	0.001396	放つ,曉,段,毀れる,裁ち切る,負ける,黎明
precipitous	0.001381	烈しい,険
tree	0.001370	喬木,林檎,禾偏,素,谺
weave	0.001368	綯い交ぜる,蓆,薦
bird	0.001365	子,瑠璃,鵬,鶏
top	0.001340	丁髷,冕冠,局所,掛ける,攻め,末,母衣,狐,顱頂
rank	0.001329	カバン持ち,兵,呼出し,太夫,宝祚,戊,枚,段,番,級
way	0.001315	二股,地均し,少し,恁麽,掛ける,旧弊,縁,脱ける,通る,鐵,鼈
turn	0.001304	掛ける,殪す,為る,由る,界,留める,番,相づち,絞る,蝙蝠,退ける,飜る
rain	0.001289	怺える,霓
part	0.001288	乘る,二股,前,大概,局所,役,掛ける,本編,綜絖,贐,載せる,風
lose	0.001285	延びる,撒く,漏らす,眩む,耽る,萎える,負ける,逸す,逸文,離れる,頽れる
line	0.001281	勾配,大凡,大概,孫,的,科白,種,系統,釣り
sting	0.001277	滲みる,螫す
battle	0.001277	吶喊,母衣,鉞,闘い,鯨波
white	0.001268	橄欖,白栲,藜
end	0.001256	前,完,末,為る,盈ちる,究竟,臀,詐欺,鈍い,飽く迄
red	0.001255	丹頂,呼出し,善哉,小菊,焼ける,萩,赤,鉄火
under	0.001249	丕業,差す,抱える,机下,汲む,穢い,臀,託す,識る,辯,通る,頂く,風,鼻先
away	0.001243	大概,没する,芟除,費やす,退ける,離れる,飛ばす
radical	0.001237	尢,彡旁,殳,禾偏,鞣革
ear	0.001230	ひよ鳥,秕,穗,鰒
small	0.001214	小菊,少し,疋,疱瘡,眇,禿び,霰
xiongnu	0.001197	匈奴
xian	0.001197	阮咸
tonne	0.001197	瓲
sattva	0.001197	薩埵
chang'e	0.001197	嫦娥
director	0.001197	尹
oak	0.001197	楢
extermination	0.001197	殲滅
annihilation	0.001197	殲滅
shen	0.001197	瀋陽
yang	0.001197	瀋陽
nine	0.001197	
scrofula	0.001197	瘰癧
festival	0.001197	祭禮
anther	0.001197	葯
gusset	0.001197	袵
gore	0.001197	袵
thunder	0.001197	雷霆
snore	0.001197	鼾
serve	0.001192	勤める,囲う,奉ずる,差す,昼餉,為る,盛る,省,謁える
pas	0.001172	乘る,句,延びる,段,没する,為る,牧場,穿つ,脱ける,越す,通る,閲する,難航
land	0.001165	潟,牧場,磽确,耕地,邦
die	0.001163	愧死,没する,睡る,頽れる,骰子
bear	0.001153	奉ずる,怺える,携える,桝,留める,稔る,考える,軟派,辟易
day	0.001140	日和,曉,朔,秋,鈍い,黎明
order	0.001129	沙汰,秩序,調う,逓次
feel	0.001124	弄る,氣,渇く,滲みる,為る,疾しい,胸,艶,萎える,訝る,請ける,識る
let	0.001121	垂れる,委せる,実況,掛ける,放つ,況んや,漏らす,赤,赦す,載せる,飛ばす
able	0.001121	優雅,出来る,効く,年頃,微妙,眉唾,穏和,軟らかい,通る,鍾馗,難しい,鬼
ous	0.001120	危ない,瑰麗,絢爛,蜿蜿,請ける,賤しい,重い,錢
plant	0.001117	花卉,蒔く,蓖麻
water	0.001114	呼出し,垂涎,水の泡,灌ぐ,炭酸,純米,鷭
