# word cloud top all for element 乙
# token	weight	(optional sources)
day	0.023257	卒寿,孰れ
birth	0.022150	卒寿
up	0.014671	干す,熱い,絡げる,蟄居
become	0.011041	砕ける,緩む,酔う
cere	0.009229	真摯,礼
gift	0.009229	礼,贄
private	0.008860	私塾
school	0.008860	私塾
bind	0.007579	弾む,絡げる,酔う
one	0.007551	地,外,孰れ,緩む,蟄居
sin	0.007383	真摯
ear	0.007383	真摯
nest	0.007383	真摯
serious	0.007383	真摯
offer	0.007383	贄
sacrifice	0.007383	贄
breast	0.006762	ハト胸,乳
off	0.006592	巴戦,砕ける,鍾馗
creak	0.006329	軋み
squeak	0.006329	軋み
hot	0.006329	熱い
good	0.006194	乙,熟す,穴
fast	0.005933	迅速,馳せる
play	0.005596	巴戦,簡
track	0.005537	軌道
peni	0.005537	悴
son	0.005537	悴
punk	0.005537	悴
brat	0.005537	悴
stammer	0.005537	吃り
stutter	0.005537	吃り
stammerer	0.005537	吃り
stutterer	0.005537	吃り
talk	0.005537	譫言
delirium	0.005537	譫言
incoherent	0.005537	譫言
mutter	0.005537	譫言
shipp	0.005537	七宝
ion	0.005529	ハト胸,問い質す,地,框
under	0.005469	砕ける,窮める,粋,臀
dog	0.005101	円,巴戦
ask	0.004922	問い質す
loop	0.004912	乳,穴
out	0.004738	執行,外,弾む,穴
run	0.004549	亂暴,馳せる
live	0.004475	框,蟄居
place	0.004453	外,穴,臀
small	0.004430	私塾
decorative	0.004430	乳
bump	0.004430	乳
milk	0.004430	乳
fight	0.004430	巴戦
wrestler	0.004430	巴戦
participate	0.004430	巴戦
tuck	0.004430	絡げる
tie	0.004430	絡げる
break	0.004430	熟す,砕ける
drink	0.004061	干す,酔う
bottom	0.004027	臀
house	0.004027	蟄居
stream	0.003999	框,迅速
howl	0.003692	咆える
roar	0.003692	咆える
bow	0.003692	礼
someth	0.003627	外,窮める
etc	0.003557	円,干す
less	0.003499	亂暴,砕ける,緩む
con	0.003490	執行,臀
stand	0.003455	砕ける,窮める,粋
job	0.003381	乙,干す
some	0.003322	外,孰れ
discord	0.003164	軋み
strife	0.003164	軋み
friction	0.003164	軋み
win	0.003164	馳せる
drive	0.003164	馳せる
quickly	0.003164	馳せる
ride	0.003164	馳せる
hurry	0.003164	馳せる
get	0.003149	弾む,酔う
quest	0.003132	問い質す,地
down	0.003121	熟す,緩む
completely	0.003034	熟す,窮める
thank	0.003012	乙,礼
end	0.002977	窮める,臀
execution	0.002953	執行
hole	0.002889	穴
cloisonne	0.002769	七宝
ware	0.002769	七宝
emblem	0.002769	七宝
pat	0.002769	七宝
tern	0.002769	七宝
seven	0.002769	七宝
treasure	0.002769	七宝
assault	0.002769	亂暴
wild	0.002769	亂暴
quick	0.002769	迅速
rapid	0.002769	迅速
swift	0.002769	迅速
prompt	0.002769	迅速
line	0.002769	迅速
expedite	0.002769	迅速
expeditious	0.002769	迅速
rail	0.002769	軌道
road	0.002769	軌道
proper	0.002769	軌道
course	0.002769	軌道
orbit	0.002769	軌道
trajectory	0.002769	軌道
suffix	0.002685	円
name	0.002685	円
per	0.002584	執行,熟す
form	0.002584	執行,熟す
stylish	0.002550	乙,粋
chic	0.002550	乙,粋
smart	0.002550	乙,粋
extreme	0.002545	熱い,窮める
money	0.002517	円,礼
ture	0.002517	地,酔う
base	0.002508	ハト胸,地
frame	0.002461	框
inquire	0.002461	問い質す
enquire	0.002461	問い質す
interrogate	0.002461	問い質す
intensely	0.002461	問い質す
grill	0.002461	問い質す
explain	0.002461	問い質す
carry	0.002440	執行,窮める
time	0.002338	孰れ,框
card	0.002332	簡
curve	0.002332	ハト胸
chest	0.002332	ハト胸
pigeon	0.002332	ハト胸
you	0.002332	乙
well	0.002327	外,熟す,穴
other	0.002215	外
else	0.002215	外
any	0.002215	孰れ
deprive	0.002215	干す
role	0.002215	干す
drain	0.002215	干す
air	0.002215	干す
dry	0.002215	干す
desiccate	0.002215	干す
do	0.002215	熟す
limit	0.002194	框,窮める
able	0.002162	熟す,鍾馗
command	0.002162	熟す,鍾馗
sh	0.002110	鍾馗
ki	0.002110	鍾馗
plague	0.002110	鍾馗
slacken	0.002014	緩む
sequence	0.002014	臀
last	0.002014	臀
surface	0.002014	臀
buttock	0.002014	臀
behind	0.002014	臀
rump	0.002014	臀
hip	0.002014	臀
arrest	0.002014	蟄居
shut	0.002014	蟄居
self	0.002014	蟄居
stay	0.002014	蟄居
indoor	0.002014	蟄居
seclusion	0.002014	蟄居
part	0.001974	地,弾む
go	0.001970	窮める,緩む
reach	0.001926	窮める
thoroughly	0.001926	窮める
key	0.001846	礼
mony	0.001846	礼
ritual	0.001846	礼
manner	0.001846	礼
etiquette	0.001846	礼
reward	0.001846	礼
gratitude	0.001846	礼
yell	0.001846	咆える
shout	0.001846	咆える
cry	0.001846	咆える
moan	0.001846	咆える
bark	0.001846	咆える
bay	0.001846	咆える
yelp	0.001846	咆える
yap	0.001846	咆える
feel	0.001846	酔う
sick	0.001846	酔う
nauseate	0.001846	酔う
intoxicate	0.001846	酔う
elate	0.001846	酔う
exalt	0.001846	酔う
spell	0.001846	酔う
rap	0.001846	酔う
where	0.001846	外,孰れ
complete	0.001779	円,熟す
box	0.001712	框,穴
inter	0.001582	熱い
est	0.001582	熱い
intense	0.001582	熱い
severe	0.001582	熱い
passionate	0.001582	熱い
ardent	0.001582	熱い
zeal	0.001582	熱い
ous	0.001582	熱い
enthusiastic	0.001582	熱い
fire	0.001582	熱い
side	0.001477	外
another	0.001477	外
lead	0.001477	執行
monk	0.001477	執行
various	0.001477	執行
task	0.001477	執行
temple	0.001477	執行
performance	0.001477	執行
enforcement	0.001477	執行
exercise	0.001477	執行
service	0.001477	執行
duct	0.001477	執行
rape	0.001384	亂暴
sexual	0.001384	亂暴
violence	0.001384	亂暴
rowdiness	0.001384	亂暴
ness	0.001384	亂暴
riot	0.001384	亂暴
rough	0.001384	亂暴
reckless	0.001384	亂暴
care	0.001384	亂暴
coarse	0.001384	亂暴
rude	0.001384	亂暴
unreasonable	0.001384	亂暴
familiar	0.001384	粋
worldly	0.001384	粋
plea	0.001384	粋
sure	0.001384	粋
essence	0.001384	粋
best	0.001384	粋
cream	0.001384	粋
considerate	0.001384	粋
thoughtful	0.001384	粋
tactful	0.001384	粋
tasteful	0.001384	粋
refine	0.001384	粋
sophisticate	0.001384	粋
stimulate	0.001303	弾む
encourage	0.001303	弾む
lively	0.001303	弾む
breathe	0.001303	弾む
hard	0.001303	弾む
pant	0.001303	弾む
breath	0.001303	弾む
pay	0.001303	弾む
handsomely	0.001303	弾む
spl	0.001303	弾む
urge	0.001303	弾む
eagerly	0.001303	弾む
spring	0.001303	弾む
bounce	0.001303	弾む
slot	0.001231	框
border	0.001231	框
work	0.001231	框
broad	0.001231	框
cast	0.001231	框
spool	0.001231	框
reel	0.001231	框
category	0.001231	框
bracket	0.001231	框
class	0.001231	框
restrict	0.001231	框
quota	0.001231	框
second	0.001166	乙
latter	0.001166	乙
see	0.001166	乙
bye	0.001166	乙
night	0.001166	乙
strange	0.001166	乙
quaint	0.001166	乙
queer	0.001166	乙
witty	0.001166	乙
tasty	0.001166	乙
slip	0.001166	簡
paper	0.001166	簡
post	0.001166	簡
shrine	0.001166	簡
pillar	0.001166	簡
pil	0.001166	簡
grim	0.001166	簡
charm	0.001166	簡
talisman	0.001166	簡
label	0.001166	簡
tag	0.001166	簡
sign	0.001166	簡
plate	0.001166	簡
ticket	0.001166	簡
token	0.001166	簡
check	0.001166	簡
receipt	0.001166	簡
shamisen	0.001166	ハト胸
neck	0.001166	ハト胸
front	0.001166	ハト胸
port	0.001166	ハト胸
stirrup	0.001166	ハト胸
iron	0.001166	ハト胸
armor	0.001166	ハト胸
protrude	0.001166	ハト胸
woman	0.001166	ハト胸
big	0.001166	ハト胸
people	0.001153	円,穴
horse	0.001153	円,穴
digest	0.001107	熟す
sell	0.001107	熟す
use	0.001107	熟す
piece	0.001107	熟す
crush	0.001107	熟す
finish	0.001107	熟す
manage	0.001107	熟す
anyway	0.001107	孰れ
anyhow	0.001107	孰れ
rate	0.001107	孰れ
who	0.001107	孰れ
sooner	0.001107	孰れ
later	0.001107	孰れ
eventually	0.001107	孰れ
future	0.001107	孰れ
date	0.001107	孰れ
both	0.001107	孰れ
either	0.001107	孰れ
all	0.001107	孰れ
whichever	0.001107	孰れ
worry	0.001107	砕ける
easy	0.001107	砕ける
formal	0.001107	砕ける
throw	0.001107	砕ける
reserve	0.001107	砕ける
affable	0.001107	砕ける
smash	0.001107	砕ける
col	0.001107	砕ける
lapse	0.001107	砕ける
crumble	0.001107	砕ける
decline	0.001107	砕ける
cool	0.001107	砕ける
dampen	0.001107	砕ける
queller	0.001055	鍾馗
zhong	0.001055	鍾馗
kui	0.001055	鍾馗
traditional	0.001055	鍾馗
chin	0.001055	鍾馗
ese	0.001055	鍾馗
deity	0.001055	鍾馗
say	0.001055	鍾馗
pre	0.001055	鍾馗
vent	0.001055	鍾馗
ward	0.001055	鍾馗
evil	0.001055	鍾馗
reputedly	0.001055	鍾馗
demon	0.001055	鍾馗
slightly	0.001007	緩む
decrease	0.001007	緩む
loose	0.001007	緩む
softer	0.001007	緩む
partially	0.001007	緩む
melt	0.001007	緩む
lax	0.001007	緩む
tense	0.001007	緩む
relax	0.001007	緩む
let	0.001007	緩む
guard	0.001007	緩む
hide	0.000963	穴
open	0.000963	穴
exhaust	0.000963	窮める
noth	0.000963	窮める
leave	0.000963	窮める
peak	0.000963	窮める
extremely	0.000963	窮める
investigate	0.000963	窮める
research	0.000963	窮める
master	0.000963	窮める
beyond	0.000738	外
besid	0.000738	外
addition	0.000738	外
top	0.000738	外
except	0.000738	外
apart	0.000738	外
different	0.000738	外
rest	0.000738	外
et	0.000738	外
al	0.000738	外
circle	0.000671	円
enclosure	0.000671	円
inside	0.000671	円
castle	0.000671	円
wall	0.000671	円
soft	0.000671	円
shell	0.000671	円
turtle	0.000671	円
dough	0.000671	円
moola	0.000671	円
entirety	0.000671	円
whole	0.000671	円
full	0.000671	円
ship	0.000671	円
sword	0.000671	円
armour	0.000671	円
mus	0.000671	円
ical	0.000671	円
instrument	0.000671	円
accompaniment	0.000671	地
music	0.000671	地
basic	0.000671	地
phrase	0.000671	地
cap	0.000671	地
territory	0.000671	地
narrative	0.000671	地
noh	0.000671	地
choru	0.000671	地
true	0.000671	地
nature	0.000671	地
skin	0.000671	地
back	0.000671	地
ground	0.000671	地
real	0.000671	地
life	0.000671	地
actual	0.000671	地
ity	0.000671	地
region	0.000671	地
local	0.000671	地
area	0.000671	地
grind	0.000671	地
land	0.000671	地
earth	0.000671	地
soil	0.000671	地
texture	0.000671	地
fabric	0.000671	地
material	0.000671	地
weave	0.000671	地
many	0.000482	穴
know	0.000482	穴
keep	0.000482	穴
secret	0.000482	穴
gap	0.000482	穴
vacancy	0.000482	穴
upset	0.000482	穴
victory	0.000482	穴
long	0.000482	穴
shoot	0.000482	穴
dark	0.000482	穴
deficit	0.000482	穴
short	0.000482	穴
age	0.000482	穴
loss	0.000482	穴
orifice	0.000482	穴
perforation	0.000482	穴
pit	0.000482	穴
hollow	0.000482	穴
cavity	0.000482	穴
burrow	0.000482	穴
den	0.000482	穴
lair	0.000482	穴
holt	0.000482	穴
flaw	0.000482	穴
fault	0.000482	穴
defect	0.000482	穴
weak	0.000482	穴
point	0.000482	穴
