# word cloud top all for element 亅
# token	weight	(optional sources)
chang'e	0.011439	嫦娥
shuttle	0.011439	梭
uncle	0.011439	疔
one	0.009527	万歳,単騎,呼出し,寄せる,我れ,訝る,釘付け,頂く,預かる
ion	0.008661	予約,揉む,談議,迂廻,邪魔
office	0.008007	本庁,椅子
up	0.007753	万歳,欹てる,蔵う,貯える
self	0.007250	呼出し,我れ,矜持,訝る,預かる
water	0.006959	呼出し,河童,渚
design	0.006355	爪牙,装釘
sacrifice	0.005719	犠牲
fur	0.005719	疔
carb	0.005719	疔
iri	0.005719	著莪
bind	0.005719	装釘
drunken	0.005719	酩酊
ness	0.005719	酩酊
intoxication	0.005719	酩酊
gross	0.005719	哥
ese	0.005349	萩,著莪,鉾
person	0.005188	呼出し,豺狼,野人
light	0.004861	呼出し,灯火,軟らかい
beautiful	0.004758	婀娜,綺麗,蛾眉
outfit	0.004576	艤装
inari	0.004576	稲荷
close	0.004538	叮嚀,蔵う,閉まる
well	0.004455	蘇婆訶,請ける,閉まる
mal	0.004194	呵責,畸形
shape	0.004099	呼出し,畸形
discuss	0.004085	揉む,談議
japan	0.004004	萩,著莪
down	0.003980	蔵う,請ける,蹂躪,釘付け
ity	0.003972	万歳,我れ,畸形
con	0.003950	予約,勤める,寄せる,我れ
country	0.003949	別墅,野人
graceful	0.003922	優雅,婀娜
tower	0.003813	巍峨
soar	0.003813	巍峨
lofty	0.003813	巍峨
livelihood	0.003813	佇み
stand	0.003813	佇み
still	0.003813	佇み
strain	0.003813	欹てる
prick	0.003813	欹てる
iniquity	0.003813	姦譎
wickedness	0.003813	姦譎
dishonesty	0.003813	姦譎
spirit	0.003813	谺
tree	0.003813	谺
lean	0.003813	寄り掛る
order	0.003686	予約,序
eye	0.003432	蛾眉,釘付け
hood	0.003268	町
sermon	0.003268	談議
talk	0.003268	談議
ch	0.003268	町
become	0.003071	冴える,請ける,閉まる
charm	0.003003	可愛い,婀娜
put	0.002953	寄せる,穿つ,蔵う,預かる
brow	0.002860	蛾眉
holiday	0.002860	別墅
home	0.002860	別墅
retreat	0.002860	別墅
edge	0.002860	渚
shore	0.002860	渚
side	0.002860	渚
pride	0.002860	矜持
dignity	0.002860	矜持
respect	0.002860	矜持
fringe	0.002860	著莪
sv	0.002860	蘇婆訶
say	0.002860	蘇婆訶
so	0.002860	蘇婆訶
turn	0.002860	迂廻
movement	0.002860	迂廻
detour	0.002860	迂廻
circumvent	0.002860	迂廻
victim	0.002860	犠牲
casualty	0.002860	犠牲
dark	0.002860	萩,隈
special	0.002860	別義
hand	0.002786	万歳,俄か,単騎,爪牙
get	0.002741	穿つ,請ける,頂く
yeah	0.002691	於戯
take	0.002684	請ける,釘付け,頂く,預かる
fan	0.002640	俄か,苧環
what	0.002640	何
matter	0.002574	別義,材料
tan	0.002542	鞣革
leather	0.002542	鞣革
government	0.002451	本庁,野人
mean	0.002447	別義,爪牙,蔵う
wear	0.002431	穿つ,貯える,頂く
able	0.002397	優雅,軟らかい
head	0.002383	冴える,本庁
feel	0.002328	寄せる,訝る,請ける
shrine	0.002288	稲荷
blame	0.002288	呵責
accusation	0.002288	呵責
torture	0.002288	呵責
treatment	0.002288	呵責
pang	0.002288	呵責
coquettish	0.002288	婀娜
seductive	0.002288	婀娜
rig	0.002288	艤装
fit	0.002288	艤装
ting	0.002288	艤装
equipment	0.002288	艤装
steep	0.002288	崎嶇
precipitous	0.002288	崎嶇
hard	0.002288	崎嶇
difficult	0.002288	崎嶇
trouble	0.002288	崎嶇
chair	0.002288	椅子
stool	0.002288	椅子
post	0.002288	椅子
position	0.002288	椅子
good	0.002288	財
incorporate	0.002288	財
foundation	0.002288	財
fortune	0.002288	財
rich	0.002288	財
trample	0.002288	蹂躪
over	0.002288	蹂躪
run	0.002288	蹂躪
infringement	0.002288	蹂躪
violation	0.002288	蹂躪
spray	0.002288	霧吹き
sprayer	0.002288	霧吹き
atomizer	0.002288	霧吹き
atomiser	0.002288	霧吹き
vaporizer	0.002288	霧吹き
be	0.002288	釘付け
clover	0.002288	萩
material	0.002288	材料
rely	0.002243	寄せる,寄り掛る
depend	0.002243	寄せる,寄り掛る
do	0.002240	蔵う,頂く
oh	0.002226	何,於戯
shut	0.002214	蔵う,釘付け,閉まる
civil	0.002179	叮嚀,野人
care	0.002154	優雅,預かる
thing	0.002151	何,藷
treat	0.002080	虐める
serve	0.002080	勤める
some	0.002023	亭,寄せる,頂く
clear	0.001993	冴える,綺麗
someth	0.001986	万歳,頂く
right	0.001981	於戯,爪牙
fair	0.001920	俄か,綺麗
lamp	0.001906	灯火
illumination	0.001906	灯火
glow	0.001906	灯火
gleam	0.001906	灯火
central	0.001906	本庁
against	0.001906	寄り掛る
recline	0.001906	寄り掛る
score	0.001906	哥
total	0.001906	哥
sum	0.001906	哥
cucumber	0.001906	河童
deform	0.001906	畸形
formation	0.001906	畸形
strange	0.001906	畸形
unusual	0.001906	畸形
echo	0.001906	谺
reverberation	0.001906	谺
wolf	0.001906	豺狼
rapacious	0.001906	豺狼
merciless	0.001906	豺狼
greedy	0.001906	豺狼
set	0.001906	予約,貯える
var	0.001906	刈萱
thatch	0.001906	刈萱
you	0.001870	何,我れ
bump	0.001816	藷,野人
kin	0.001816	藷,野人
name	0.001801	亭,何,呼出し
hey	0.001786	何,於戯
huh	0.001786	何,於戯
