# word cloud top all for element 了
# token	weight	(optional sources)
shuttle	0.050388	梭
country	0.017396	別墅,野人
self	0.017178	矜持,預かる
iniquity	0.016796	姦譎
wickedness	0.016796	姦譎
dishonesty	0.016796	姦譎
order	0.016236	予約,序
down	0.015011	蔵う,請ける,蹂躪
holiday	0.012597	別墅
home	0.012597	別墅
retreat	0.012597	別墅
pride	0.012597	矜持
dignity	0.012597	矜持
respect	0.012597	矜持
tan	0.011197	鞣革
leather	0.011197	鞣革
trample	0.010078	蹂躪
over	0.010078	蹂躪
run	0.010078	蹂躪
infringement	0.010078	蹂躪
violation	0.010078	蹂躪
spray	0.010078	霧吹き
sprayer	0.010078	霧吹き
atomizer	0.010078	霧吹き
atomiser	0.010078	霧吹き
vaporizer	0.010078	霧吹き
con	0.009619	予約,勤める
serve	0.009161	勤める
ion	0.008638	予約,揉む
var	0.008398	刈萱
thatch	0.008398	刈萱
put	0.007329	蔵う,預かる
ian	0.007198	野人
face	0.007173	序,請ける
do	0.006718	蔵う
flexi	0.006718	軟らかい
ble	0.006718	軟らかい
soft	0.006718	軟らかい
keep	0.006260	蔵う,預かる
take	0.006155	請ける,預かる
long	0.005928	鉾
handle	0.005928	鉾
chin	0.005928	鉾
ese	0.005928	鉾
spear	0.005928	鉾
open	0.005599	序
song	0.005599	序
begin	0.005599	序
start	0.005599	序
fore	0.005599	序
word	0.005599	序
pre	0.005599	序
introduction	0.005599	序
kanji	0.005599	鞣革
radical	0.005599	鞣革
animal	0.005599	鞣革
hide	0.005599	鞣革
suede	0.005599	鞣革
close	0.005039	蔵う
pro	0.005039	予約
gram	0.005039	予約
set	0.005039	予約
tract	0.005039	予約
subscript	0.005039	予約
pledge	0.005039	予約
reservation	0.005039	予約
app	0.005039	予約
ointment	0.005039	予約
book	0.005039	予約
advance	0.005039	予約
person	0.004799	野人
non	0.004799	野人
duct	0.004581	勤める
religious	0.004581	勤める
service	0.004581	勤める
work	0.004581	勤める
employ	0.004581	勤める
act	0.004581	勤める
fill	0.004581	勤める
play	0.004581	勤める
role	0.004581	勤める
one	0.004581	預かる
cymbopogon	0.004199	刈萱
tortili	0.004199	刈萱
goeringii	0.004199	刈萱
themeda	0.004199	刈萱
triandra	0.004199	刈萱
japonica	0.004199	刈萱
grass	0.004199	刈萱
sedge	0.004199	刈萱
give	0.003865	請ける,預かる
various	0.003599	揉む
experience	0.003599	揉む
mass	0.003599	揉む
age	0.003599	揉む
argue	0.003599	揉む
heat	0.003599	揉む
discuss	0.003599	揉む
rub	0.003599	揉む
crumple	0.003599	揉む
train	0.003599	揉む
coach	0.003599	揉む
jostle	0.003599	揉む
crowd	0.003599	揉む
shake	0.003599	揉む
rock	0.003599	揉む
light	0.003359	軟らかい
informal	0.003359	軟らかい
malleable	0.003359	軟らかい
adapt	0.003359	軟らかい
able	0.003359	軟らかい
gentle	0.003359	軟らかい
mild	0.003359	軟らかい
mellow	0.003359	軟らかい
tender	0.003359	軟らかい
supple	0.003359	軟らかい
limber	0.003359	軟らかい
limp	0.003359	軟らかい
finish	0.003359	蔵う
shut	0.003359	蔵う
end	0.003359	蔵う
receive	0.003149	請ける
well	0.003149	請ける
find	0.003149	請ける
grip	0.002964	鉾
bow	0.002964	鉾
parade	0.002964	鉾
float	0.002964	鉾
decorate	0.002964	鉾
weapon	0.002964	鉾
arm	0.002964	鉾
lance	0.002964	鉾
pike	0.002964	鉾
yeren	0.002399	野人
legend	0.002399	野人
ary	0.002399	野人
mountain	0.002399	野人
dwell	0.002399	野人
hominid	0.002399	野人
china	0.002399	野人
hubei	0.002399	野人
province	0.002399	野人
ruff	0.002399	野人
unrefin	0.002399	野人
politic	0.002399	野人
government	0.002399	野人
civil	0.002399	野人
rustic	0.002399	野人
bump	0.002399	野人
kin	0.002399	野人
folk	0.002399	野人
upon	0.002290	預かる
settle	0.002290	預かる
charge	0.002290	預かる
responsibility	0.002290	預かる
entrust	0.002290	預かる
withhold	0.002290	預かる
reserve	0.002290	預かる
leave	0.002290	預かる
undecid	0.002290	預かる
look	0.002290	預かる
after	0.002290	預かる
care	0.002290	預かる
hold	0.002290	預かる
custody	0.002290	預かる
completely	0.001680	蔵う
accident	0.001680	蔵う
ally	0.001680	蔵う
without	0.001680	蔵う
mean	0.001680	蔵う
happen	0.001680	蔵う
up	0.001680	蔵う
away	0.001680	蔵う
back	0.001680	蔵う
store	0.001680	蔵う
stop	0.001680	蔵う
bring	0.001680	蔵う
modify	0.001575	請ける
strike	0.001575	請ける
catch	0.001575	請ける
obtain	0.001575	請ける
pay	0.001575	請ける
fee	0.001575	請ける
get	0.001575	請ける
become	0.001575	請ける
popular	0.001575	請ける
go	0.001575	請ける
funny	0.001575	請ける
humor	0.001575	請ける
ous	0.001575	請ける
amuse	0.001575	請ける
follow	0.001575	請ける
succe	0.001575	請ける
descend	0.001575	請ける
und	0.001575	請ける
ergo	0.001575	請ける
accept	0.001575	請ける
sustain	0.001575	請ける
incur	0.001575	請ける
suffer	0.001575	請ける
feel	0.001575	請ける
