# word cloud top all for element ⻏
# token	weight	(optional sources)
daegu	0.030882	大邱
district	0.026671	曲輪,郡
throw	0.023161	投擲
enamel	0.020588	琺瑯
one	0.020385	揶揄う,親爺,里,饗
lattic	0.015441	蔀戸
shutter	0.015441	蔀戸
surround	0.012353	近郊
area	0.011791	曲輪,近郊
land	0.010609	親爺,邦,饗
metal	0.010294	琺瑯
ware	0.010294	琺瑯
aroma	0.010294	郁郁
stone	0.010294	石槨
burial	0.010294	石槨
cham	0.010294	石槨
ber	0.010294	石槨
polite	0.010294	鄭重
courteous	0.010294	鄭重
hospitable	0.010294	鄭重
next	0.008823	隣り
man	0.008736	親爺,郎
mail	0.008422	郵便
postal	0.008422	郵便
earth	0.008422	曲輪,邦
event	0.007720	投擲
guide	0.007720	嚮導
dance	0.007720	三昧耶,嚮導
commandery	0.007720	郡
county	0.007720	郡
home	0.007558	邦,里
country	0.007558	邦,里
ing	0.007206	大部屋,近郊
make	0.006985	揶揄う,響く
master	0.006721	檀那,饗
door	0.006618	隣り
come	0.006434	三昧耶,響く
beautiful	0.006176	婀娜
graceful	0.006176	婀娜
coquettish	0.006176	婀娜
charm	0.006176	婀娜
seductive	0.006176	婀娜
residence	0.006176	邸
estate	0.006176	邸
ground	0.006176	邸
premise	0.006176	邸
mansion	0.006176	邸
out	0.006176	近郊
skirt	0.006176	近郊
environ	0.006176	近郊
azalea	0.006176	躑躅
hesitation	0.006176	躑躅
indecision	0.006176	躑躅
vacillation	0.006176	躑躅
waver	0.006176	躑躅
service	0.005615	郵便
government	0.005615	邦
red	0.005615	曲輪
light	0.005615	曲輪
wide	0.005615	曲輪
empty	0.005615	曲輪
quarter	0.005615	曲輪
enclosure	0.005615	曲輪
enclose	0.005615	曲輪
work	0.005615	曲輪
hind	0.005404	三昧耶,邪魔
rance	0.005404	三昧耶,邪魔
some	0.005294	揶揄う,饗
flour	0.005147	郁郁
ish	0.005147	郁郁
teem	0.005147	郁郁
cul	0.005147	郁郁
ture	0.005147	郁郁
tic	0.005147	郁郁
emit	0.005147	郁郁
room	0.005147	大部屋
meet	0.004890	三昧耶,大部屋
money	0.004751	都合
all	0.004751	都合
proprietor	0.004714	親爺,饗
lord	0.004714	親爺,饗
house	0.004412	隣り
neighbour	0.004412	隣り
fun	0.004412	揶揄う
ion	0.004118	邪魔,響く
leader	0.003860	嚮導
gui	0.003860	嚮導
lead	0.003860	嚮導
take	0.003860	嚮導
point	0.003860	嚮導
con	0.003860	嚮導
duct	0.003860	嚮導
equal	0.003860	三昧耶
ity	0.003860	三昧耶
warn	0.003860	三昧耶
rid	0.003860	三昧耶
time	0.003860	三昧耶
together	0.003860	三昧耶
nth	0.003860	郎
my	0.003860	郎
hus	0.003747	檀那,郎
band	0.003747	檀那,郎
bos	0.003442	檀那,親爺
old	0.003251	親爺
entertain	0.003088	饗
guest	0.003088	饗
head	0.003088	饗
proprietress	0.003088	饗
lady	0.003088	饗
demon	0.003088	邪魔
who	0.003088	邪魔
province	0.002807	邦
region	0.002807	邦
state	0.002807	邦
national	0.002807	邦
central	0.002807	邦
matter	0.002807	郵便
item	0.002807	郵便
post	0.002807	郵便
remain	0.002573	響く
effect	0.002573	響く
impress	0.002573	響く
resound	0.002573	響く
hear	0.002573	響く
far	0.002573	響く
away	0.002573	響く
reverberate	0.002573	響く
shake	0.002573	響く
vibrate	0.002573	響く
arrange	0.002376	都合
manage	0.002376	都合
lend	0.002376	都合
raise	0.002376	都合
circum	0.002376	都合
stance	0.002376	都合
condition	0.002376	都合
convenience	0.002376	都合
total	0.002376	都合
tell	0.002376	都合
side	0.002376	里
town	0.002376	里
village	0.002376	里
hamlet	0.002376	里
origin	0.002376	里
upbring	0.002376	里
past	0.002376	里
adjoin	0.002206	隣り
adjacent	0.002206	隣り
neighbor	0.002206	隣り
tease	0.002206	揶揄う
poke	0.002206	揶揄う
crack	0.002206	揶揄う
chaff	0.002206	揶揄う
kid	0.002206	揶揄う
joke	0.002206	揶揄う
banter	0.002206	揶揄う
pull	0.002206	揶揄う
leg	0.002206	揶揄う
large	0.002059	大部屋
actor	0.002059	大部屋
hospital	0.002059	大部屋
child	0.001930	郎
son	0.001930	郎
lang	0.001930	郎
official	0.001930	郎
title	0.001930	郎
ancient	0.001930	郎
china	0.001930	郎
young	0.001930	郎
lover	0.001930	郎
patron	0.001817	檀那
mistress	0.001817	檀那
geisha	0.001817	檀那
bar	0.001817	檀那
night	0.001817	檀那
club	0.001817	檀那
hostess	0.001817	檀那
sugar	0.001817	檀那
daddy	0.001817	檀那
alm	0.001817	檀那
almsgive	0.001817	檀那
almsgiver	0.001817	檀那
sir	0.001817	檀那
governor	0.001817	檀那
grizzly	0.001625	親爺
bear	0.001625	親爺
middle	0.001625	親爺
age	0.001625	親爺
geezer	0.001625	親爺
father	0.001625	親爺
dad	0.001625	親爺
pop	0.001625	親爺
visit	0.001544	邪魔
hinder	0.001544	邪魔
buddhist	0.001544	邪魔
train	0.001544	邪魔
obstruct	0.001544	邪魔
sentient	0.001544	邪魔
being	0.001544	邪魔
maintain	0.001544	邪魔
moral	0.001544	邪魔
behaviour	0.001544	邪魔
obstacle	0.001544	邪魔
nuisance	0.001544	邪魔
disturbance	0.001544	邪魔
interrupt	0.001544	邪魔
interference	0.001544	邪魔
green	0.001029	大部屋
wait	0.001029	大部屋
per	0.001029	大部屋
former	0.001029	大部屋
when	0.001029	大部屋
off	0.001029	大部屋
stage	0.001029	大部屋
junior	0.001029	大部屋
small	0.001029	大部屋
part	0.001029	大部屋
ward	0.001029	大部屋
beya	0.001029	大部屋
project	0.001029	大部屋
management	0.001029	大部屋
technique	0.001029	大部屋
manufacture	0.001029	大部屋
involve	0.001029	大部屋
group	0.001029	大部屋
common	0.001029	大部屋
