# word cloud top all for element ⻖
# token	weight	(optional sources)
ellipse	0.021068	橢円
ruan	0.021068	阮咸
tunnel	0.021068	隧道
dynasty	0.017557	陳,隋
ion	0.013650	四隅,故障,落とす,防風,院,陣,隆起
fall	0.012814	落とす,陥落,隕星
xian	0.010534	阮咸
remote	0.010534	辺陬
region	0.010534	辺陬
sui	0.010534	隋
back	0.010033	阿彌陀,陰
behind	0.009339	落とす,陰
dark	0.009330	陰,隈
follow	0.009158	附ける,順う
vault	0.009029	穹窿
four	0.008427	四隅
steep	0.008427	険阻
rise	0.007608	陞進,隆起
shade	0.007223	陰,隈
one	0.007049	落とす,阿彌陀,陋屋,陰
chen	0.007023	陳
ch'en	0.007023	陳
castle	0.007023	城隍
moat	0.007023	城隍
meteor	0.007023	隕星
star	0.007023	隕星
narrow	0.007023	狭隘
some	0.006831	落とす,陰,鬱陶しい
pro	0.006506	故障,陞進
con	0.006421	狭隘,順う
side	0.006349	附ける,陰,順う
corner	0.006321	四隅,隈
next	0.006020	隣り
go	0.005819	順う
place	0.005706	落とす,附ける,限り,険阻
shadow	0.005547	附ける,陰,隈
motion	0.005267	陞進
advancement	0.005267	陞進
rank	0.005267	陞進
line	0.005217	阪,阿彌陀
abide	0.005016	陋屋,順う
trouble	0.004751	故障,鬱陶しい
yield	0.004530	陥落,順う
door	0.004515	隣り
down	0.004422	故障,落とす,降ろす
beautiful	0.004214	婀娜
graceful	0.004214	婀娜
coquettish	0.004214	婀娜
charm	0.004214	婀娜
seductive	0.004214	婀娜
mile	0.004214	阪
stone	0.004214	阪
mark	0.004214	阪
slope	0.004214	阪
inc	0.004214	阪
hill	0.004214	阪
precipice	0.004214	険阻
precipitous	0.004214	険阻
ordinal	0.004214	四隅
direct	0.004214	四隅
house	0.003790	院,隣り
do	0.003547	附ける,除ける
mind	0.003511	狭隘
intolerant	0.003511	狭隘
small	0.003511	狭隘
fine	0.003511	狭隘
ity	0.003511	実際
actual	0.003511	実際
gloomy	0.003511	鬱陶しい
depress	0.003511	鬱陶しい
heavy	0.003511	鬱陶しい
cloudy	0.003511	鬱陶しい
irritate	0.003511	鬱陶しい
ous	0.003511	険悪
city	0.003511	城隍
god	0.003511	城隍
battle	0.003511	陣
against	0.003440	防風,附ける
late	0.003414	院,隔てる
along	0.003339	附ける,順う
break	0.003155	故障,透き
use	0.003016	附ける,降ろす,隈
neighbour	0.003010	隣り
dome	0.003010	穹窿
arch	0.003010	穹窿
heaven	0.003010	穹窿
sky	0.003010	穹窿
glehnia	0.003010	防風
littorali	0.003010	防風
saposhnikovia	0.003010	防風
divaricata	0.003010	防風
protect	0.003010	防風
wind	0.003010	防風
sexual	0.003010	陵辱
assault	0.003010	陵辱
rape	0.003010	陵辱
insult	0.003010	陵辱
affront	0.003010	陵辱
disgrace	0.003010	陵辱
indignity	0.003010	陵辱
gloom	0.003010	陰
ness	0.003010	陰
other	0.003010	陰
ground	0.003010	陰
scene	0.003010	陰
lottery	0.003010	阿彌陀
serve	0.002909	順う
engage	0.002909	順う
accompany	0.002909	順う
obey	0.002909	順う
observe	0.002909	順う
form	0.002909	順う
be	0.002860	故障,陥落
remove	0.002772	落とす,降ろす,除ける
palanquin	0.002634	陸尺
bearer	0.002634	陸尺
six	0.002634	陸尺
foot	0.002634	陸尺
traditional	0.002634	陸尺
japan	0.002634	陸尺
ese	0.002634	陸尺
string	0.002634	陸尺
man	0.002634	陸尺
spirit	0.002634	陽気
yang	0.002634	陽気
weather	0.002634	陽気
season	0.002634	陽気
cheerful	0.002634	陽気
jovial	0.002634	陽気
merry	0.002634	陽気
lively	0.002634	陽気
alienate	0.002634	隔てる
est	0.002634	隔てる
range	0.002634	隔てる
inter	0.002634	隔てる
pose	0.002634	隔てる
between	0.002634	隔てる
sepa	0.002634	隔てる
rate	0.002634	隔てる
iso	0.002634	隔てる
partition	0.002634	隔てる
divide	0.002634	隔てる
group	0.002508	陣,除ける
uplift	0.002341	隆起
upheaval	0.002341	隆起
elevation	0.002341	隆起
protuberance	0.002341	隆起
bulge	0.002341	隆起
protrusion	0.002341	隆起
project	0.002341	隆起
swell	0.002341	隆起
temple	0.002341	院
out	0.002302	故障,落とす,除ける
end	0.002257	限り
off	0.002225	落とす,降ろす
circle	0.002107	隈
ring	0.002107	隈
kuma	0.002107	隈
dori	0.002107	隈
style	0.002107	隈
kabuki	0.002107	隈
makeup	0.002107	隈
violent	0.002107	隈
role	0.002107	隈
gradation	0.002107	隈
nook	0.002107	隈
recess	0.002107	隈
area	0.002107	隈
cramp	0.002107	陋屋
home	0.002107	陋屋
humble	0.002107	陋屋
hovel	0.002107	陋屋
pigsty	0.002107	陋屋
cottage	0.002107	陋屋
squalid	0.002107	陋屋
hut	0.002107	陋屋
give	0.002051	附ける,陥落
