# word cloud top all for element 二
# token	weight	(optional sources)
two	0.021533	
bottle	0.010767	瓶詰め
wuhuan	0.010767	烏桓
obesity	0.010767	肥胖
ruan	0.010767	阮咸
one	0.010122	入魂,勝手,半ば,國語,壼,我れ,決める,親爺,転がる,頑張る
face	0.007408	沽券,面晤,頬
go	0.006637	伝わる,伴なう,決める,渡る,繧繝,謂う
fall	0.006362	転がる,陥穽
place	0.005981	雲居,頑張る
trap	0.005832	挿む,陥穽
ion	0.005436	壼,素,絆,迂廻,院
hawksbill	0.005383	瑇瑁
turtle	0.005383	瑇瑁
pit	0.005383	陥穽
successively	0.005383	逓次
order	0.005383	逓次
xian	0.005383	阮咸
mute	0.005383	啞
between	0.005294	挿む,畦,隔てる
inter	0.004935	挿む,隔てる,面晤
over	0.004747	曇る,渡る,転がる
up	0.004584	捲く,曇る,決める,沸騰,煩さい
asia	0.004486	亜,東亞
wall	0.004417	囲う,白堊
become	0.004332	伝わる,冴える,曇る,沸騰,覚る
cloud	0.004307	曇る,雲居
fire	0.004307	炬火
torch	0.004307	炬火
provincial	0.004307	国衙
across	0.004198	伝わる,挿む,渡る,範
gloomy	0.004127	曇る,靉靆
sky	0.004038	袢纏,雲居
range	0.004038	渡る,隔てる
awake	0.004038	冴える,寤寐
half	0.003986	半ば,袢纏
way	0.003951	勝手,半ば,地均し,少し,畦
hand	0.003855	伝わる,伴なう,勝手,転がる
fix	0.003804	恒産,決める
gorge	0.003768	峡谷,間
ravine	0.003768	峡谷,間
agitation	0.003768	攪拌,沸騰
conflict	0.003691	牴牾,齟齬
discrepancy	0.003691	牴牾,齟齬
inconsistency	0.003691	牴牾,齟齬
cheek	0.003589	頬
property	0.003589	恒産
east	0.003589	東亞
orient	0.003589	東亞
be	0.003589	寤寐
asleep	0.003589	寤寐
eye	0.003589	靉靆
glass	0.003589	靉靆
dark	0.003589	靉靆
trail	0.003589	靉靆
thick	0.003589	靉靆
heavy	0.003589	靉靆
chalk	0.003589	白堊
white	0.003589	白堊
western	0.003589	西晋
dynasty	0.003589	西晋
ness	0.003554	勝手,千鈞,啞
fence	0.003520	囲う,垣根
bad	0.003400	惡い
talk	0.003290	喧しい,譫言
turn	0.003181	転がる,迂廻
imperial	0.003090	院,雲居
end	0.003076	完
land	0.002959	耕地,親爺
old	0.002928	畦,親爺,間
double	0.002907	弐心,決める
make	0.002755	地均し,決める,謂う
court	0.002692	雲居
distant	0.002692	雲居
high	0.002692	雲居
cross	0.002692	渡る
extend	0.002692	渡る
cover	0.002692	渡る
span	0.002692	渡る
delirium	0.002692	譫言
incoherent	0.002692	譫言
mutter	0.002692	譫言
border	0.002692	垣根
limit	0.002692	垣根
hedge	0.002692	垣根
canyon	0.002692	峡谷
glen	0.002692	峡谷
duplicity	0.002692	弐心
treachery	0.002692	弐心
deal	0.002692	弐心
stir	0.002692	攪拌
whip	0.002692	攪拌
beat	0.002692	攪拌
conversation	0.002692	面晤
view	0.002692	面晤
fat	0.002692	膩
tallow	0.002692	膩
lard	0.002692	膩
grease	0.002692	膩
movement	0.002692	迂廻
detour	0.002692	迂廻
circumvent	0.002692	迂廻
language	0.002692	國語
pre	0.002623	囲う,拒む
office	0.002552	国衙,院
some	0.002463	少し,煩さい
surround	0.002439	勝手,囲う,頬
refuse	0.002393	拒む,頑張る
false	0.002393	檜葉
link	0.002366	捲く,絆
down	0.002335	伝わる,曇る,転がる
familiar	0.002325	入魂,我れ
ity	0.002325	入魂,我れ
poor	0.002267	惡い
ant	0.002256	会計,侠
rate	0.002243	亜,隔てる
pose	0.002243	挿む,隔てる
governor	0.002153	国衙
governorate	0.002153	国衙
disagreement	0.002153	牴牾
clash	0.002153	牴牾
bon	0.002153	炬火
pine	0.002153	炬火
light	0.002153	炬火
brand	0.002153	炬火
accompany	0.002153	伴なう
account	0.002153	会計
boisterous	0.002136	侠,喧しい
out	0.002131	捲く,決める,転がる,頑張る
late	0.002129	伝わる,院,隔てる
middle	0.002068	半ば,袢纏,親爺
move	0.002041	伝わる,捲く
inferior	0.002031	亜,惡い
use	0.002029	勝手,繧繝
soul	0.001958	入魂
short	0.001869	少し,袢纏
import	0.001830	天竺,煩さい
roll	0.001807	捲く,転がる
deaf	0.001794	啞
speech	0.001794	啞
impairment	0.001794	啞
small	0.001794	少し,檜葉
little	0.001794	少し
vent	0.001794	拒む
deny	0.001794	拒む
block	0.001794	拒む
reject	0.001794	拒む
decline	0.001794	拒む
jin	0.001794	西晋
chin	0.001794	西晋
thresh	0.001794	畦,間
point	0.001794	壼
var	0.001794	刈萱
thatch	0.001794	刈萱
occupation	0.001794	恒産
real	0.001794	恒産
japan	0.001794	國語
ese	0.001794	國語
native	0.001794	國語
judgement	0.001794	審判
referee	0.001794	審判
umpire	0.001794	審判
judge	0.001794	審判
fully	0.001753	完,決める
temple	0.001735	繧繝,院
fault	0.001731	喧しい,惡い
con	0.001730	伝わる,我れ
man	0.001700	親爺
do	0.001658	勝手,決める,頑張る
sale	0.001656	沽券
protect	0.001656	囲う
thing	0.001610	勝手,藷
pro	0.001538	完
vide	0.001538	完
fini	0.001538	完
completion	0.001538	完
conclusion	0.001538	完
gall	0.001538	侠
chivalrous	0.001538	侠
pert	0.001538	侠
tom	0.001538	侠
boyish	0.001538	侠
impudent	0.001538	侠
lively	0.001538	侠
benkan	0.001538	冕冠
square	0.001538	冕冠
top	0.001538	冕冠
ceremonial	0.001538	冕冠
crown	0.001538	冕冠
jewel	0.001538	冕冠
tassel	0.001538	冕冠
tether	0.001538	絆
fetter	0.001538	絆
bond	0.001538	絆
tie	0.001538	絆
relation	0.001538	絆
ship	0.001538	絆
connect	0.001538	絆
discord	0.001538	齟齬
contra	0.001538	齟齬
diction	0.001538	齟齬
fai	0.001538	齟齬
lure	0.001538	齟齬
frustration	0.001538	齟齬
character	0.001538	牴牾
mock	0.001538	牴牾
cast	0.001525	挿む,曇る
take	0.001507	伴なう,決める
ous	0.001495	亜,喧しい
side	0.001480	挿む,範,素
bring	0.001461	伝わる,伴なう
ridge	0.001436	畦
rice	0.001436	畦
field	0.001436	畦
put	0.001427	入魂,挿む
keep	0.001426	囲う,頑張る
slope	0.001346	範
measurement	0.001346	範
coat	0.001346	袢纏
noise	0.001346	謂う
name	0.001346	謂う
call	0.001346	謂う
say	0.001346	謂う
utter	0.001346	謂う
declare	0.001346	謂う
self	0.001346	我れ
prefix	0.001346	我れ
indicate	0.001346	我れ
tempt	0.001346	我れ
you	0.001346	我れ
me	0.001346	我れ
alienate	0.001346	隔てる
est	0.001346	隔てる
sepa	0.001346	隔てる
iso	0.001346	隔てる
partition	0.001346	隔てる
divide	0.001346	隔てる
pound	0.001346	千鈞
kan	0.001346	千鈞
yen	0.001346	千鈞
piece	0.001346	千鈞
gold	0.001346	千鈞
great	0.001346	千鈞
weight	0.001346	千鈞
priceless	0.001346	千鈞
sub	0.001296	亜,院
etc	0.001296	素,繧繝,院
yeah	0.001267	於戯
come	0.001258	伝わる,転がる
around	0.001258	伝わる,転がる
grass	0.001256	刈萱,素
noisy	0.001231	喧しい,煩さい
loud	0.001231	喧しい,煩さい
fussy	0.001231	喧しい,煩さい
particular	0.001231	喧しい,煩さい
fastidious	0.001231	喧しい,煩さい
buddhist	0.001211	範,繧繝
severe	0.001196	喧しい,頑張る
hiba	0.001196	檜葉
arbor	0.001196	檜葉
vitae	0.001196	檜葉
hinoki	0.001196	檜葉
leaf	0.001196	檜葉
ornamental	0.001196	檜葉
cypress	0.001196	檜葉
india	0.001196	天竺
cotton	0.001196	天竺
sheet	0.001196	天竺
foreign	0.001196	天竺
ultra	0.001196	天竺
spicy	0.001196	天竺
extra	0.001196	天竺
hot	0.001196	天竺
arable	0.001196	耕地
plantation	0.001196	耕地
farm	0.001196	耕地
fazenda	0.001196	耕地
hacienda	0.001196	耕地
large	0.001196	耕地
estate	0.001196	耕地
dud	0.001196	藷
worth	0.001196	藷
less	0.001196	藷
yokel	0.001196	藷
bump	0.001196	藷
kin	0.001196	藷
tuber	0.001196	藷
taro	0.001196	藷
potato	0.001196	藷
yam	0.001196	藷
much	0.001196	喧しい
stick	0.001196	頑張る
meat	0.001196	頬
surf	0.001196	頬
ace	0.001196	頬
area	0.001196	頬
mug	0.001196	頬
heart	0.001194	入魂,決める
master	0.001166	会計,冴える
slightly	0.001136	少し,曇る
evil	0.001133	惡い
sinful	0.001133	惡い
ugly	0.001133	惡い
beautiful	0.001133	惡い
unprofitable	0.001133	惡い
unbeneficial	0.001133	惡い
blame	0.001133	惡い
wrong	0.001133	惡い
undesirable	0.001133	惡い
insufficient	0.001133	惡い
sorry	0.001133	惡い
unforgivable	0.001133	惡い
consequent	0.001077	伴なう
upon	0.001077	伴なう
involve	0.001077	伴なう
dense	0.001077	繧繝
diff	0.001077	繧繝
boil	0.001077	沸騰
seethe	0.001077	沸騰
soar	0.001077	沸騰
shoot	0.001077	沸騰
heat	0.001077	沸騰
excitement	0.001077	沸騰
fermentation	0.001077	沸騰
cause	0.001077	畦,素
loop	0.001077	間
hole	0.001077	間
crenel	0.001077	間
eyelet	0.001077	間
valley	0.001077	間
interval	0.001077	間
space	0.001077	間
interstice	0.001077	間
right	0.001047	勝手,於戯
hold	0.001047	挿む,頑張る
what	0.001047	壼,少し
post	0.000997	院,頑張る
look	0.000987	冴える,曇る
lie	0.000979	転がる
grind	0.000979	地均し
level	0.000979	地均し
roller	0.000979	地均し
road	0.000979	地均し
leveller	0.000979	地均し
lay	0.000979	地均し
ground	0.000979	地均し
work	0.000979	地均し
preparation	0.000979	地均し
smooth	0.000979	地均し
breathe	0.000979	入魂
intimacy	0.000979	入魂
give	0.000979	入魂
all	0.000979	入魂
judgment	0.000897	審判
decision	0.000897	審判
verdict	0.000897	審判
sentence	0.000897	審判
national	0.000897	國語
word	0.000897	國語
mother	0.000897	國語
tongue	0.000897	國語
clear	0.000897	冴える
cymbopogon	0.000897	刈萱
tortili	0.000897	刈萱
