# word cloud top all for element 亠
# token	weight	(optional sources)
one	0.007594	一流,僻む,嚼む,孰れ,掠める,方,濟む,瞳,立つ,竦む,絞る,維,腋,膂力,菩薩,衝く,裂く,装う,裡,遊ぶ,...
ese	0.006103	南京,幡幢,梓,波紋,蟋蟀,辣韮,辯,野衾,音,鵼,鶉,黐躑躅
ion	0.006088	意趣,故障,方,景,検校,竣工,綾,解剖,訪う,辞,防風,雑鬧,離れる,響く
less	0.005253	双璧,忙しい,淤泥,濟む,無辜,糟,闇い
bright	0.005070	双璧,喨喨,涼しい,皓皓,黄蘗色
up	0.004967	刻む,惘れる,抵抗,擁する,牽く,立つ,絞る,衝く,裂く,警鐘,譲る,貯える,辟易,遊ぶ,重ね,開ける,離れる,霽れる
japan	0.004645	梓,波紋,蟋蟀,辣韮,辯,野衾,鵼,鶉,黐躑躅
clear	0.004371	凜,喨喨,明瞭,涼しい,霽れる
side	0.004263	撮み,方,景,牽く,脇,腋,舷灯,表
make	0.004233	接する,波紋,白滝,紡ぐ,裘,謹製,較べる,鏑,隠れ蓑,響く
war	0.004007	艨艟,鯨波
shaft	0.003925	炭鉱,轅
ship	0.003747	交わる,艨艟
bag	0.003461	土俵,蓑虫,袋
torrential	0.003435	沛然
gamble	0.003435	袁彦道
thunder	0.003435	霹靂
banner	0.003407	一流,大旆,幡幢,旗
head	0.003331	主,房主,率る,由る,白毫,鉄鏃,鏡,鵼
over	0.003165	屠る,復,淋漓,眩れる,糟,絞る,譲る,辯,醇化,重ね
person	0.003063	坊,房主,椋鳥,猿,畜生,白衣,瞽,維,鵼
con	0.003012	交わる,失う,対する,慌てる,接する,施す,紊れる,絞る,譲る,頡頏
com	0.002936	対する,慈悲,憫れ,涼しい,較べる,領解
form	0.002813	亭,体裁,壇,施す,熟す,瘴気,立つ,譬え歌
time	0.002800	主,倍,南蛮,孰れ,復,脇,謦咳,遊ぶ
light	0.002800	景,曲輪,舷灯
sappanwood	0.002748	蘇芳
worm	0.002719	上蔟,蓑虫
water	0.002592	波紋,点滴,白滝,立つ,袋,閼伽
clothe	0.002530	白衣,衣裳,袈裟,裘,重ね
white	0.002529	椋鳥,白毫,白滝,白衣,鵼
area	0.002514	広袤,方,曲輪,界,近郊
off	0.002510	大部屋,撃攘,放つ,流す,留める,立つ,絞る,腋,譲る,遠い
long	0.002509	主,幡幢,憬れ,蟋蟀,遠い
dark	0.002452	眩れる,闇い,黯然
under	0.002433	腋,該当,辯,重ね,領解,黄壌
yellow	0.002411	梓,黄壌,黄蘗色
pour	0.002353	流す,滂沱
wood	0.002347	樟,犬薺,鏑
love	0.002290	恋情
quail	0.002290	鶉
apple	0.002290	林檎
bird	0.002290	瑠璃,裘,鶏
net	0.002290	網
instrument	0.002246	三絃,波紋,鋒鋩
out	0.002194	刻む,放つ,故障,絞る,腋,表,近郊,遊ぶ,鏑
ical	0.002184	立つ,蛟龍,譬え歌,鵼
fly	0.002175	花虻,野衾
ary	0.002110	倉廩,界,野衾
stand	0.002108	位,抵抗,標榜,立つ,領解
same	0.002078	南蛮,脇,袈裟,謦咳
use	0.002077	南蛮,旅籠,熟す,猿,白滝,稟議,維,衝く,裂く
tree	0.002034	林檎,樟,蒼龍
ring	0.002026	位,凜,土俵,核,波紋
rise	0.002007	立つ,諳んずる,頡頏,高進
cham	0.002004	標榜,石槨
kind	0.001981	敦煌,斡旋
latin	0.001963	羅甸
lose	0.001931	失う,眩れる,離れる
close	0.001902	房主,接する,眩れる,立つ,腋,髣髴
away	0.001871	刻む,流す,腋,遠い,離れる,霽れる,響く
layer	0.001864	蘇芳,重ね
world	0.001860	壇,薗,黄壌
down	0.001858	故障,熟す,牽く,絞る,裘,請ける,闇い
ber	0.001832	失う,石槨
come	0.001828	接する,由る,眩れる,該当,響く
work	0.001795	効く,形骸,曲輪,胸壁
empty	0.001769	曲輪,皓皓
ration	0.001755	憬れ,謹む
do	0.001750	掠める,施す,流す,熟す,謹む,遊ぶ,遠い
self	0.001746	立つ,竦む,衝く,装う,裡,遊ぶ
some	0.001744	亭,孰れ,復,滋味,濟む,絞る,難しい
flattery	0.001717	便侫
adulation	0.001717	便侫
innocent	0.001717	涼しい,無辜
hundr	0.001717	垓
quintillion	0.001717	垓
woman	0.001717	妾,嬢,黒人
infant	0.001717	孩児
baby	0.001717	孩児
rice	0.001717	倉廩
gran	0.001717	倉廩
sincerity	0.001717	敦煌
heartedness	0.001717	敦煌
hone	0.001717	敦煌
