# word cloud top all for element 人
# token	weight	(optional sources)
ion	0.013151	収斂,吟味,問題,尤める,恩頼,慫慂,懺法,提出,疏通,禁遏,蜻蛉返り,輻輳,銓衡
up	0.006485	人,出来る,刻む,拾う,捲く,掲げる,決める,沸騰,滲む,献げる,納める,茶筌,諛う,造る,開襟
over	0.006368	以て,唸る,掲げる,蜻蛉返り,輻輳,鈴生り,餘り,験する
top	0.005265	嶺,檣楼
lianpu	0.004513	臉譜
toad	0.004513	蟾蜍
ese	0.004503	丙,姫椿,磯城島,茶筌,野バラ,野衾,鞨鼓
hold	0.004393	挿む,据わる,掲げる,献げる,舎人,船艙
less	0.004280	朴訥,疎か,素樸,絶倫
convergence	0.004239	収斂,輻輳
one	0.004113	人,勝手,吟味,含める,妙齢,決める,維,舎人,裡,蹌踉めく,閃く
japan	0.004052	姫椿,磯城島,茶筌,野バラ,野衾,鞨鼓
con	0.003681	企てる,傘,収斂,定期,藹藹,謁える,順う
stone	0.003650	核,石碣
lance	0.003610	鑓
fur	0.003610	膃肭臍
seal	0.003610	膃肭臍
ity	0.003476	人,倹,春,泰平,相似,道
put	0.003358	収斂,含める,挿む,掲げる,納める,造る,除ける,験する
key	0.003159	秘訣,鑰
way	0.003129	勝手,澪,詮,道,除ける
imperial	0.003098	勅諚,舎人,裡
under	0.003039	企てる,含める,疏通,該当,首肯ける
elderly	0.003009	媼,老衲
congest	0.003009	輻輳
crowd	0.003009	輻輳
anchor	0.003009	碇泊
detestation	0.003009	蛇蠍
serpent	0.003009	蛇蠍
scorpion	0.003009	蛇蠍
apple	0.003009	林檎
law	0.002901	掟,聟
baby	0.002758	孩児,野バラ
make	0.002745	出来る,含める,唸る,巫山戯る,決める,納める,茶筌,論ずる,造る
take	0.002703	企てる,出来る,尤める,拾う,捕われる,決める,論ずる,軽快,除ける
bear	0.002695	奉ずる,月の輪,稔る,題簽
bright	0.002632	怜悧,炳然
fore	0.002557	以て,讖
fish	0.002557	野衾,鯰
bird	0.002557	鶏,鶺鴒
art	0.002525	朴訥,磯城島,素樸
play	0.002513	奏する,巫山戯る,棒引き,諛う,鞨鼓
down	0.002487	喝破,拾う,提げ,斬り捨てる,沈淪
go	0.002458	媒介,拾う,決める,泰平,順う,験する
small	0.002457	檜葉,疋,疱瘡
stand	0.002433	企てる,含める,座,疏通,首肯ける
do	0.002420	出来る,勝手,決める,貪る,除ける,革める
pose	0.002413	企てる,冷ややか,徐徐,挿む,造る
slip	0.002407	籤,題簽
counter	0.002402	座,機,疋
hus	0.002366	聟,裡
band	0.002366	聟,裡
person	0.002360	丙,人,維,蕾
out	0.002318	刻む,巫山戯る,抉る,拾う,捲く,掲げる,棒引き,決める,造る,除ける
slave	0.002291	僕,捕われる,虜
