# word cloud top all for element 亻
# token	weight	(optional sources)
ion	0.007419	伺う,働き,前後,困憊,子細,慫慂,拾,映像,腑分け,行衛,言做す,護り,関係,雁木,離れる,頸木
hurry	0.006408	倥偬
one	0.006113	代償,伺う,俯せ,僻む,外,夜伽,循行,懲りる,携える,攫む,維,縁,行衛,衝く,親爺,誤魔化す,進む,雪ぐ,顧る,飽きる
great	0.005770	千仭,大儒,強か,微妙,泰山,豪い,遣る,駿足
down	0.005748	仰ぐ,伏せる,伝わる,侮る,俯せ,倒れる,傾く,彼れ,殪す,腐る,薙ぎ倒す,街,躍る,雁木
person	0.004664	大儒,彼れ,携える,權兵衞,維,財閥,轍鮒,駿才,駿足,鶴首
out	0.004634	カビ臭い,仕掛け,儺,前後,外,延びる,御目見得,擢んでる,移徙,行く,行衛,誤魔化す,通る,造る,雪ぐ
man	0.004289	俗,夜伽,親爺,車夫,軟派,邏卒,雄
over	0.004106	上靴,伏せる,倒れる,傾く,印僑,合わせる,夜伽,復,殪す,覆す,言做す,誤魔化す,顧る
time	0.003892	二股,休む,倍,前後,囃す,常雇い,彼れ,復,盗む,脇
pre	0.003832	佃煮,僭越,具える,擢んでる,留める,良い,造る,進む,防ぐ,雛形
go	0.003815	伏せる,休む,伝わる,伴なう,倒れる,傾く,腐る,行く,踏む,通る,進む,遣る,離れる,順う
less	0.003695	千仭,悠悠,砕ける,絶倫,腐る,薄幸
up	0.003666	仕掛け,仰ぐ,合わせる,奮う,殪す,衝く,裁ち切る,躍る,軟派,輝く,造る,離れる,飽きる
con	0.003562	伝わる,侮る,倒れる,候補,前後,準ずる,縮める,輔ける,関係,順う,顧る
dwarf	0.003560	朱儒,篠
way	0.003361	上靴,二股,恁麽,懲りる,準ずる,縁,術,誤魔化す,通る,道,雁木
scimitar	0.003204	偃月刀
huainanzi	0.003204	淮南子
take	0.003183	休む,伴なう,倒れる,化鳥,奪う,宿る,携える,移徙,通る,遣る,顧る
use	0.003171	委せる,符,維,腐る,衝く,通る,遣う,附ける,雁木
ity	0.003025	体,倹,僻む,優,功徳,延びる,御上,相似,道
leave	0.002984	儘,太傅,委せる,殪す,行く,離れる
com	0.002889	合わせる,徐徐,徴する,悠悠,誹諧,造る,銜む,雑える
prostitute	0.002884	傀儡,娼婦
work	0.002819	傑作,働き,印僑,探偵,逸文
stand	0.002708	佇み,位,擢んでる,攫む,獲る,砕ける,踏む,通る,銜む
look	0.002633	仰ぐ,侮る,待つ,徴する,面影,顧る
form	0.002591	体,化鳥,準ずる,訛り,造る,遣る,雛形,順う
able	0.002574	優雅,微妙,獲る,瞿麦,良い,豪い,通る,難しい
value	0.002543	價,沽券,踏む
pro	0.002505	代,促す,具える,延びる,循行,獲る,輔ける
hand	0.002495	伝わる,伴なう,俄か,役,復,携える,攫む,猿猴,符
get	0.002480	儲ける,前後,攫む,焦げ付く,獲る,行く,誤魔化す,通る,遣る,飽きる
make	0.002424	侮る,具える,延びる,縮める,言做す,通る,造る,進む,遣う,遣る,附ける
bird	0.002403	化鳥,隹,隻
do	0.002383	休む,侍り,盗む,行く,通る,進む,遣る,附ける
sell	0.002383	孤食,沽券,糶る,糶糴
around	0.002350	伝わる,傾く,前後,彷徨う,徘徊,躍る
wife	0.002323	伉儷,御上,雌
some	0.002317	代償,休む,伺う,外,夜伽,復,縁,豪い,難しい
become	0.002307	伝わる,延びる,焦げ付く,砕ける,腐る,飽きる
against	0.002301	寄り掛る,衝く,防ぐ,附ける
