# word cloud top all for element 冂
# token	weight	(optional sources)
ese	0.011136	丙,丹頂,同人,棗,蕎麦,蕭,青桐,黐躑躅
tree	0.009618	喬木,林檎,青桐
wani	0.008657	鰐
one	0.008041	両,刀禰,周り,属する,瞳,裡,阿彌陀,騙る
japan	0.006183	丹頂,同人,蕎麦,蕭,青桐,黐躑躅
apple	0.005771	林檎
net	0.005771	網
chin	0.004953	丙,棗,蕎麦,青桐
over	0.004704	印僑,淋漓,蜻蛉返り,裲襠,過ぎる
seal	0.004699	膃肭臍,霊璽
ion	0.004627	再生,同人,四隅,架橋,蜻蛉返り,離れる
priest	0.004627	刀禰,老衲
work	0.004562	印僑,待遇,草紙,邁進
ness	0.004452	愛きょう,病氣,褊狭
copper	0.004328	銅箔
revision	0.004328	刪修
reform	0.004328	刪修
procrastinatingly	0.004328	荏苒
dilly	0.004328	荏苒
dally	0.004328	荏苒
elderly	0.004328	老衲
bird	0.004328	瑠璃,鶏
bridge	0.004328	架橋
sea	0.003895	印僑,鯛
four	0.003761	刀禰,四隅
ability	0.003751	力量,愛きょう
leave	0.003586	属する,裲襠,離れる
third	0.003463	丙
indian	0.003463	印僑
mug	0.003463	蕭
wort	0.003463	蕭
narrow	0.003463	褊狭
fur	0.003463	膃肭臍
show	0.003401	犒う,驕る
out	0.003292	刺す,敲く,鏑,騙る
fire	0.003246	篝火
falsify	0.003030	矯める,騙る
send	0.002968	出稿,属する
simple	0.002968	扁たい,朴訥
red	0.002937	丹頂,棗
head	0.002909	丹頂,刀禰,木偶,病氣,阿彌陀
web	0.002886	網
cry	0.002886	吶喊
imply	0.002886	寓する
reside	0.002886	寓する
temporarily	0.002886	寓する
black	0.002886	蟆子
fly	0.002886	蟆子
gnat	0.002886	蟆子
azalea	0.002886	黐躑躅
coat	0.002886	蝙蝠,鎌柄
spread	0.002886	瀰漫
pervasion	0.002886	瀰漫
permeation	0.002886	瀰漫
jealous	0.002886	猜む
envy	0.002886	猜む
begrudge	0.002886	猜む
epidemic	0.002886	疫癘
plague	0.002886	疫癘
pestilence	0.002886	疫癘
eye	0.002886	瞳
pupil	0.002886	瞳
cocoon	0.002886	玉繭
dupion	0.002886	玉繭
dupioni	0.002886	玉繭
exile	0.002886	流謫
deportation	0.002886	流謫
banishment	0.002886	流謫
iniquity	0.002886	姦譎
wickedness	0.002886	姦譎
dishonesty	0.002886	姦譎
ridge	0.002886	鎬
high	0.002886	高価い
patch	0.002782	丹頂,膏薬
movie	0.002734	本編
story	0.002734	本編
up	0.002697	惘れる,構える,納める,離れる
art	0.002679	彫塑,朴訥
plain	0.002597	愚図愚図,扁たい
whisker	0.002473	鬚
wood	0.002453	蕭,鏑
handle	0.002453	撮み,鎌柄
build	0.002411	架橋,構える,篝火
battle	0.002405	吶喊,嚆矢
whistle	0.002405	嚆矢,鏑
all	0.002405	渦巻く,萬
surround	0.002361	周り
tea	0.002319	昼餉,棗
cap	0.002316	丹頂,力量,納める
side	0.002308	撮み,鎬
direct	0.002187	四隅,蜻蛉返り
tall	0.002164	喬木,高価い
guide	0.002164	嚮導
captive	0.002164	虜
prisoner	0.002164	虜
victim	0.002164	虜
slave	0.002164	虜
bright	0.002164	炳然
shin	0.002164	炳然
clear	0.002164	炳然
evident	0.002164	炳然
appreciation	0.002164	犒う
thank	0.002164	犒う
reward	0.002164	犒う
straighten	0.002164	矯める
correct	0.002164	矯める
cure	0.002164	矯める
ointment	0.002164	膏薬
liniment	0.002164	膏薬
plaster	0.002164	膏薬
bat	0.002164	蝙蝠
umbrella	0.002164	蝙蝠
opportunist	0.002164	蝙蝠
turn	0.002164	蝙蝠
foil	0.002164	銅箔
layer	0.002164	銅箔
tai	0.002164	鯛
bream	0.002164	鯛
porgy	0.002164	鯛
date	0.002164	棗
noodle	0.002164	蕎麦
buck	0.002164	蕎麦
wheat	0.002164	蕎麦
lecturer	0.002164	講師
pat	0.002153	敲く,鎬,阿彌陀
assume	0.002147	冒す,構える,騙る
state	0.002144	坩堝,調子
symbol	0.002102	金剛,霊璽
part	0.001993	本編,講師
deliver	0.001986	属する,納める
drip	0.001924	点滴
start	0.001924	嚆矢
toward	0.001924	邁進
drop	0.001924	点滴
wooden	0.001924	木偶
person	0.001904	丙,同人
take	0.001869	冒す,嚮導
self	0.001864	周り,裡,騙る
crown	0.001855	丹頂,冕冠
tern	0.001855	鎬,阿彌陀
tv	0.001822	本編
sery	0.001822	本編
main	0.001822	本編
off	0.001778	刺す,驕る
charge	0.001741	刀禰,吶喊
lapi	0.001731	瑠璃
lazuli	0.001731	瑠璃
meat	0.001731	鶏
fowl	0.001731	鶏
poultry	0.001731	鶏
entrust	0.001731	属する
pin	0.001731	属する
hope	0.001731	属する
great	0.001731	属する
expectation	0.001731	属する
word	0.001731	属する
clan	0.001731	逢引き
destine	0.001731	逢引き
meet	0.001731	逢引き
assignation	0.001731	逢引き
tryst	0.001731	逢引き
rendezvous	0.001731	逢引き
flat	0.001731	扁たい
even	0.001731	扁たい
level	0.001731	扁たい
worm	0.001731	蕭
sage	0.001731	蕭
brush	0.001731	蕭
mindedness	0.001731	褊狭
intolerance	0.001731	褊狭
illiberality	0.001731	褊狭
abroad	0.001731	印僑
melt	0.001731	坩堝
pot	0.001731	坩堝
alaskan	0.001731	膃肭臍
ine	0.001731	瑠璃,金剛
corner	0.001731	四隅
ordinal	0.001731	四隅
dynasty	0.001731	商
sword	0.001705	円,鎬
no	0.001692	廠舎,過ぎる
arrow	0.001683	嚆矢,鏑
vehicle	0.001659	両,車輛
spirit	0.001583	同人,霊璽
ill	0.001580	病氣,禍禍しい
write	0.001574	草紙
school	0.001574	購買
gun	0.001574	筒
