# word cloud top all for element 冫
# token	weight	(optional sources)
do	0.014174	盗む,盡す,蔵う,頼む
freeze	0.014167	凍り付く
order	0.013952	誂える,頼む
out	0.013084	凌ぐ,懿徳,盡す,眺める,逃げる,飛ぶ
great	0.012789	凄い,千鈞,懿徳
hail	0.011806	氷
ice	0.011806	氷
clear	0.011806	冴える,凜,涼しい
virtue	0.011806	懿徳
white	0.011806	白磁
porcelain	0.011806	白磁
katydid	0.010494	蟋蟀
cricket	0.010494	蟋蟀
cold	0.009838	冴える,冷ややか,凜
sake	0.009444	銚釐
place	0.008657	凍り付く,誂える
make	0.007898	地均し,挑む,誂える
frigid	0.007870	冴える,冷ややか,凜
still	0.007674	凍り付く,凝乎と
stand	0.007589	懿徳,眺める
look	0.007027	冴える,眺める
keep	0.006913	儘,凌ぐ,蔵う,逃げる
give	0.006887	萌す,誂える
head	0.006690	冴える,率る
take	0.006421	中継ぎ,率る,逃げる
bite	0.005903	凜烈
severe	0.005903	凜烈
intense	0.005903	凜烈
pierce	0.005903	凜烈
recharge	0.005903	涵養
cultivation	0.005903	涵養
foster	0.005903	涵養
development	0.005903	涵養
cool	0.005903	冷ややか,涼しい
form	0.005779	姿,準ずる
steal	0.005449	盗む
lead	0.005438	率る,逃げる
japan	0.005247	蟋蟀
ese	0.005247	蟋蟀
bush	0.005247	蟋蟀
long	0.005247	蟋蟀
horn	0.005247	蟋蟀
grass	0.005247	蟋蟀
hopper	0.005247	蟋蟀
ion	0.005247	盡す,諮詢
watch	0.005189	盗む,眺める
over	0.004861	中継ぎ,凌ぐ,眺める,逃げる
let	0.004768	挑む,況んや
off	0.004744	凌ぐ,逃げる,飛ぶ
metal	0.004722	銚釐
jug	0.004722	銚釐
warmer	0.004722	銚釐
carry	0.004722	率る
spear	0.004722	率る
command	0.004722	率る
con	0.004678	挑む,準ずる,逃げる
leave	0.004651	儘,逃げる
way	0.004293	地均し,準ずる
please	0.004293	頼む
base	0.003963	準ずる,盗む
com	0.003935	冷ややか,涼しい
pose	0.003935	冷ややか,涼しい
become	0.003935	冴える
bright	0.003935	冴える,涼しい
tense	0.003935	凜
nerve	0.003935	凜
rack	0.003935	凜
ring	0.003935	凜
brace	0.003935	凜
dignify	0.003935	凜
distinguish	0.003935	凜
refine	0.003935	凜
elegant	0.003935	凜
sic	0.003935	儘
accord	0.003935	儘
while	0.003935	儘
remain	0.003935	儘
quest	0.003935	諮詢
enquiry	0.003935	諮詢
inquiry	0.003935	諮詢
consultation	0.003935	諮詢
advice	0.003935	諮詢
seek	0.003935	諮詢
get	0.003878	凌ぐ,眺める,逃げる
ally	0.003738	凝乎と,蔵う
dress	0.003632	姿
fade	0.003590	萎れる,飛ぶ
work	0.003458	地均し,盡す
excel	0.003443	冴える,凌ぐ
down	0.003390	挑む,蔵う
cusp	0.003373	荊
thorn	0.003373	荊
thorny	0.003373	荊
shrub	0.003373	荊
wild	0.003373	荊
rise	0.003373	荊
briar	0.003373	荊
fund	0.003373	資
capital	0.003373	資
material	0.003373	資
basi	0.003373	資
character	0.003373	資
quality	0.003373	資
disposition	0.003373	資
same	0.003130	中継ぎ,準ずる
bud	0.002951	萌す
germinate	0.002951	萌す
sprout	0.002951	萌す
show	0.002951	萌す
sign	0.002951	萌す
symptom	0.002951	萌す
indication	0.002951	萌す
much	0.002951	況んや
more	0.002951	況んや
mention	0.002951	況んや
speak	0.002951	況んや
say	0.002951	況んや
noth	0.002951	況んや
alone	0.002951	況んや
