# word cloud top all for element 几
# token	weight	(optional sources)
typhoon	0.012363	颱風,颶風
hurricane	0.012363	颱風,颶風
victory	0.009890	凱歌
vitiligo	0.009890	白癜
leucoderma	0.009890	白癜
leukoderma	0.009890	白癜
die	0.009774	没する,頽れる,骰子
large	0.009066	梵天,鵬
away	0.008901	没する,芟除
feng	0.007418	鵬
huang	0.007418	鵬
bird	0.007418	鵬
peng	0.007418	鵬
stable	0.007418	廐舎
cowsh	0.007418	廐舎
sakhalin	0.007418	椴松
fir	0.007418	椴松
cut	0.007418	芟除
hub	0.007418	轂
nave	0.007418	轂
dice	0.007418	骰子
side	0.006878	几帳面,横殴り,陰
go	0.006446	没する,難航,頽れる,風
wind	0.006181	嵐,木枯らし
base	0.006181	地盤,由る
staff	0.005887	剰員,梵天
set	0.005530	没する,設定
time	0.005398	二股,夙に,段,謦咳
out	0.005338	大凡,殺す,頽れる
cold	0.004945	木枯らし
wintry	0.004945	木枯らし
song	0.004945	凱歌
hospital	0.004945	搬送
death	0.004945	涅槃
kanji	0.004945	殳
radical	0.004945	殳
right	0.004945	殳
carpet	0.004945	絨緞
rug	0.004945	絨緞
runner	0.004945	絨緞
tornado	0.004945	颶風
duck	0.004945	鴨
lean	0.004945	寄り掛る
grain	0.004636	地膚,雑穀
break	0.004533	段,毀れる
behind	0.004528	臀,陰
use	0.004515	剰員,投じる,磬,頽れる
depend	0.004327	寄り掛る,由る
rise	0.004316	頡頏,高進
coal	0.004239	炭鉱
mine	0.004239	炭鉱
pas	0.004015	段,没する,難航
ness	0.004003	般若,豪毅,陰
down	0.003956	梵天,毀れる,没する
same	0.003915	二股,嵐,謦咳
back	0.003886	殺す,陰
become	0.003840	澱む,頽れる
gutter	0.003709	喉
sing	0.003709	喉
voice	0.003709	喉
throat	0.003709	喉
dharani	0.003709	咒
mantra	0.003709	咒
spell	0.003709	咒
curse	0.003709	咒
millet	0.003709	雑穀
assort	0.003709	雑穀
cereal	0.003709	雑穀
hint	0.003709	諷する
insinuate	0.003709	諷する
satirize	0.003709	諷する
satirise	0.003709	諷する
laugh	0.003709	謦咳
under	0.003615	机下,臀,風
resistance	0.003424	抵抗
blow	0.003297	横殴り,飄飄
sit	0.003297	二股,鴨
fall	0.002997	毀れる,頡頏
fever	0.002967	瘧
early	0.002967	夙に
long	0.002967	夙に
exacerbate	0.002967	高進
exasperate	0.002967	高進
accelerate	0.002967	高進
aggravate	0.002967	高進
marry	0.002967	伉儷
couple	0.002967	伉儷
spouse	0.002967	伉儷
hus	0.002967	伉儷
band	0.002967	伉儷
wife	0.002967	伉儷
friend	0.002967	慇懃
ship	0.002967	慇懃
intimacy	0.002967	慇懃
polite	0.002967	慇懃
courteous	0.002967	慇懃
civil	0.002967	慇懃
anchor	0.002967	磐
crag	0.002967	磐
cliff	0.002967	磐
rock	0.002967	磐
boulder	0.002967	磐
insanity	0.002967	瘋癲
insane	0.002967	瘋癲
person	0.002967	瘋癲
vagabond	0.002967	瘋癲
wanderer	0.002967	瘋癲
less	0.002944	剰員,飄飄
character	0.002944	役,豪毅
scene	0.002820	段,設定,陰
skin	0.002782	地膚
one	0.002729	地膚,投じる,陰
con	0.002697	臀,頡頏
bottom	0.002697	臀
hold	0.002649	地盤,殺す
sage	0.002531	段,難航
rely	0.002473	寄り掛る
against	0.002473	寄り掛る
recline	0.002473	寄り掛る
ization	0.002473	搬送
transfer	0.002473	搬送
transportation	0.002473	搬送
conveyance	0.002473	搬送
delivery	0.002473	搬送
buddha	0.002473	涅槃
nirvana	0.002473	涅槃
supreme	0.002473	涅槃
enlightenment	0.002473	涅槃
roar	0.002473	殷殷
boom	0.002473	殷殷
bellow	0.002473	殷殷
peal	0.002473	殷殷
reverberate	0.002473	殷殷
rumble	0.002473	殷殷
temper	0.002473	鍛錬
anneal	0.002473	鍛錬
forge	0.002473	鍛錬
toughen	0.002473	鍛錬
discipline	0.002473	鍛錬
train	0.002473	鍛錬
easy	0.002473	鴨
mark	0.002473	鴨
sucker	0.002473	鴨
slant	0.002473	横殴り
drive	0.002473	横殴り
strike	0.002473	横殴り
storm	0.002473	嵐
foot	0.002473	地盤
be	0.002221	几帳面,頡頏
grind	0.002164	地盤,地膚
put	0.002155	投じる,殺す
shaft	0.002119	炭鉱
pit	0.002119	炭鉱
colliery	0.002119	炭鉱
fortitude	0.002119	豪毅
firm	0.002119	豪毅
sturdiness	0.002119	豪毅
inner	0.002119	豪毅
strength	0.002119	豪毅
hardihood	0.002119	豪毅
supernumerary	0.002119	剰員
superfluous	0.002119	剰員
excess	0.002119	剰員
personnel	0.002119	剰員
rough	0.002119	難航
match	0.002090	投じる,頡頏
part	0.002060	二股,役,風
run	0.001932	几帳面,難航
shake	0.001896	瘧,風
surf	0.001854	地膚
ace	0.001854	地膚
bare	0.001854	地膚
head	0.001854	由る
quarter	0.001854	由る
come	0.001854	由る
due	0.001854	由る
cause	0.001854	由る
turn	0.001854	由る
desk	0.001854	机下
word	0.001854	机下
respect	0.001854	机下
add	0.001854	机下
addressee	0.001854	机下
name	0.001854	机下
letter	0.001854	机下
cough	0.001854	謦咳
hawk	0.001854	謦咳
talk	0.001854	謦咳
speak	0.001854	謦咳
tend	0.001761	頡頏,風
decline	0.001745	頽れる
post	0.001697	几帳面,役
role	0.001648	役
noh	0.001648	般若
mask	0.001648	般若
two	0.001648	二股
way	0.001648	二股
col	0.001648	毀れる
lapse	0.001648	毀れる
brahma	0.001648	梵天
buoy	0.001648	梵天
puff	0.001648	梵天
plait	0.001648	梵天
paper	0.001648	梵天
streamer	0.001648	梵天
stone	0.001562	磬
up	0.001553	抵抗,風
destroy	0.001531	殺す,毀れる
bright	0.001484	夙に
morn	0.001484	夙に
since	0.001484	夙に
ago	0.001484	夙に
child	0.001484	夙に
hood	0.001484	夙に
confiscate	0.001484	没する
disappear	0.001484	没する
vanish	0.001484	没する
sink	0.001484	没する
infectious	0.001484	瘧
disease	0.001484	瘧
plague	0.001484	瘧
epidemic	0.001484	瘧
ague	0.001484	瘧
intermittent	0.001484	瘧
malarial	0.001484	瘧
kill	0.001413	殺す
suppress	0.001413	殺す
option	0.001349	設定
preference	0.001349	設定
ting	0.001349	設定
configuration	0.001349	設定
setup	0.001349	設定
establishment	0.001349	設定
creation	0.001349	設定
pose	0.001349	設定
sequence	0.001349	臀
last	0.001349	臀
place	0.001349	臀
end	0.001349	臀
surface	0.001349	臀
buttock	0.001349	臀
rump	0.001349	臀
hip	0.001349	臀
rivalry	0.001349	頡頏
struggle	0.001349	頡頏
supremacy	0.001349	頡頏
compete	0.001349	頡頏
vie	0.001349	頡頏
equal	0.001349	頡頏
sword	0.001339	地膚,風
blade	0.001339	地膚,風
foundation	0.001236	地盤
crust	0.001236	地盤
bed	0.001236	地盤
constituency	0.001236	地盤
power	0.001236	地盤
support	0.001236	地盤
pile	0.001236	嵐
card	0.001236	嵐
value	0.001236	嵐
oicho	0.001236	嵐
kabu	0.001236	嵐
temp	0.001236	嵐
est	0.001236	嵐
