# word cloud top all for element 刀
# token	weight	(optional sources)
one	0.013075	刀禰,分,召す,招く,荵,頒ける
tough	0.012778	強靱
strong	0.012778	強靱
stiff	0.012778	強靱
tenacious	0.012778	強靱
rice	0.011906	刃,籾
great	0.010222	千仭
reel	0.010222	綛
age	0.009560	分,砌,貧困
com	0.008611	照らす,獺祭
vitiligo	0.008518	白癩
leucoderma	0.008518	白癩
leukoderma	0.008518	白癩
imperial	0.008518	詔書
edict	0.008518	詔書
decree	0.008518	詔書
poetry	0.007500	天籟,獺祭
time	0.007202	切る,砌,越す
blade	0.006970	刃
put	0.006936	召す,粉飾
get	0.006840	召す,沼,紛れる,越す
festival	0.006389	盆
pare	0.006389	照らす
refer	0.006389	照らす
shine	0.006389	照らす
illuminate	0.006389	照らす
beautiful	0.006389	天籟
sound	0.006389	天籟
wind	0.006389	天籟
introduction	0.006389	紹介
presentation	0.006389	紹介
referral	0.006389	紹介
show	0.006389	紹介
case	0.006389	紹介
husk	0.006389	籾
per	0.006297	分,切る,鋏
tern	0.005798	刃,盆,荵
hood	0.005679	辺り
unhull	0.005518	刃,籾
less	0.005498	切る,千仭
punch	0.005498	切る,鋏
sneak	0.005111	忍び
height	0.005111	千仭
depth	0.005111	千仭
bottom	0.005111	千仭
hole	0.005111	鋏
scissor	0.005111	鋏
shear	0.005111	鋏
clip	0.005111	鋏
makeup	0.005111	粉飾
embellishment	0.005111	粉飾
ornamentation	0.005111	粉飾
decoration	0.005111	粉飾
anger	0.005111	憤懣
resentment	0.005111	憤懣
indignation	0.005111	憤懣
cha	0.005111	憤懣
grin	0.005111	憤懣
irritation	0.005111	憤懣
chance	0.005111	砌
moment	0.005111	砌
occasion	0.005111	砌
thread	0.005111	綛
hank	0.005111	綛
skein	0.005111	綛
sh	0.005111	昭和
wa	0.005111	昭和
over	0.004752	荵,越す
ion	0.004730	分,沼
forge	0.004646	刃
green	0.004646	青粉
bloom	0.004646	青粉
old	0.004320	召す,昭和
lazy	0.004259	懶ける
idle	0.004259	懶ける
slack	0.004259	懶ける
neglect	0.004259	懶ける
neglectful	0.004259	懶ける
skip	0.004259	懶ける
go	0.004182	切る,越す
ing	0.003951	獺祭,辺り
sale	0.003932	沽券
atmosphere	0.003932	雰囲気
aura	0.003932	雰囲気
house	0.003833	盆,越す
pat	0.003668	刃,荵
