# word cloud top all for element 匕
# token	weight	(optional sources)
one	0.010627	動顛,嗜み,皆んな,瞋る,維,考妣,脊負う,誤魔化す,迷う,阿彌陀
eye	0.008466	眦,膠,靉靆
pour	0.006772	滂沱
wife	0.006095	伉儷,雌
ness	0.005986	旨味,昵懇,疵
stick	0.005397	乘る,棍棒,蓍,麈尾
down	0.005215	傾く,喝破,殪す,舐める
stable	0.005079	廐舎
cowsh	0.005079	廐舎
corner	0.005079	眦
black	0.005079	驪竜
dragon	0.005079	驪竜
deer	0.005079	麈尾,麋
become	0.004898	溷濁,耄ける
con	0.004868	舐める,藹藹,謁える
age	0.004327	塵,年頃,耄ける
over	0.004320	上靴,乘る,傾く,掲げる,殪す,誤魔化す,迷う
dark	0.004233	褐,靉靆
tail	0.004233	尾鰭,麈尾
red	0.004217	紫,麋,黄葉
like	0.004168	糀,貔貅
get	0.004167	乘る,瞋る,誤魔化す,迷う
thirsty	0.004063	渇く
foreign	0.004063	外貨
female	0.004063	雌
woman	0.004063	雌
smaller	0.004063	雌
weaker	0.004063	雌
camel	0.004063	駱駝
sieve	0.004063	裏漉し
good	0.004047	外貨,旨味,麁品
tell	0.003838	小言,瞋る,蓍
cook	0.003828	焜炉,誤魔化す
style	0.003645	廂,楷
scold	0.003596	喝破,小言,瞋る
wind	0.003584	屁,疵,轆轤
cloth	0.003556	褐,駱駝
ism	0.003483	訛り,非難
all	0.003386	皆んな
castor	0.003386	蓖麻
oil	0.003386	蓖麻
plant	0.003386	蓖麻
dosa	0.003386	瞋恚
irateness	0.003386	瞋恚
anger	0.003386	瞋恚
bashful	0.003386	忸怩
shameful	0.003386	忸怩
asham	0.003386	忸怩
intimacy	0.003386	昵懇
familiar	0.003386	昵懇
ity	0.003386	昵懇
close	0.003386	昵懇
stream	0.003386	滂沱
haikai	0.003386	誹諧
brave	0.003386	貔貅
warrior	0.003386	貔貅
ferocious	0.003386	貔貅
leopard	0.003386	貔貅
beast	0.003386	貔貅
large	0.003386	麈尾,麋
giraffe	0.003386	麒麟
horse	0.003386	麒麟
ride	0.003386	麒麟
ri	0.003386	麒麟
day	0.003386	麒麟
qilin	0.003386	麒麟
foot	0.003386	麓
bottom	0.003386	麓
base	0.003386	麓
every	0.003386	皆んな
take	0.003341	乘る,嗜み,篏める,脊負う
ese	0.003307	廂,楷,蓍
off	0.003273	小言,山砦,瞋る
be	0.003100	動顛,検死
person	0.003048	瘋癲,維
absurd	0.002963	篦棒,誹諧
ish	0.002921	篦棒,耄ける,駱駝
senior	0.002902	長老
leader	0.002902	舵取り
shoe	0.002902	上靴
whisker	0.002902	鬚
someth	0.002892	屁,耄ける
way	0.002881	上靴,少し,誤魔化す,迷う
up	0.002852	掲げる,殪す,篏める
gromwell	0.002771	紫
jelly	0.002771	蒟蒻
nagi	0.002771	長刀
nata	0.002771	長刀
color	0.002709	黄葉
chin	0.002709	楷,蓍
some	0.002679	少し,年頃,瞋る
face	0.002661	指し,謁える
body	0.002617	検死,皆んな
lose	0.002593	動顛,負ける,迷う
rebuke	0.002580	喝破,小言
club	0.002540	棍棒
cudgel	0.002540	棍棒
bludgeon	0.002540	棍棒
guard	0.002540	金毘羅
ian	0.002540	金毘羅
deity	0.002540	金毘羅
sea	0.002540	金毘羅
fare	0.002540	金毘羅
kumbhira	0.002540	金毘羅
fool	0.002540	篦棒
luxuriant	0.002540	藹藹
harmonious	0.002540	藹藹
peaceful	0.002540	藹藹
genial	0.002540	藹藹
prawn	0.002540	鰕
shrimp	0.002540	鰕
lobster	0.002540	鰕
crayfish	0.002540	鰕
coarse	0.002540	褐
indigo	0.002540	褐
fin	0.002540	尾鰭
embellishment	0.002540	尾鰭
exaggeration	0.002540	尾鰭
make	0.002497	舐める,駱駝,麈尾
front	0.002475	脊負う,謁える
feel	0.002455	渇く,疵
malt	0.002344	糀
go	0.002338	乘る,傾く,詣る
per	0.002298	上靴,麈尾
use	0.002281	指し,比興,維
smell	0.002257	臭う
worth	0.002257	屁
mountain	0.002257	山砦
give	0.002183	負ける,迷う,麁品
pleat	0.002177	蛇腹
grow	0.002142	溷濁,糀,耄ける
taste	0.002086	嗜み,旨味,舐める
unreasonable	0.002051	比興,篦棒
back	0.002047	脊負う,阿彌陀
press	0.002032	裏漉し
through	0.002032	裏漉し
puree	0.002032	裏漉し
