# word cloud top all for element 匸
# token	weight	(optional sources)
net	0.051212	網
flattery	0.038409	便侫
adulation	0.038409	便侫
fly	0.038409	花虻
web	0.025606	網
people	0.025606	蒼氓
public	0.025606	蒼氓
citizen	0.025606	蒼氓
counter	0.023045	疋
person	0.019204	瞽
blind	0.019204	瞽
drone	0.019204	花虻
hover	0.019204	花虻
syrphid	0.019204	花虻
roll	0.015364	疋
cloth	0.015364	疋
shelter	0.012803	囲まう
harbour	0.012803	囲まう
harbor	0.012803	囲まう
hide	0.012803	囲まう
give	0.012803	囲まう
refuge	0.012803	囲まう
busy	0.012803	忙しい
occupy	0.012803	忙しい
hectic	0.012803	忙しい
rest	0.012803	忙しい
less	0.012803	忙しい
hurry	0.012803	忙しい
fidgety	0.012803	忙しい
district	0.012803	區
sect	0.012803	區
ion	0.012803	區
zone	0.012803	區
ward	0.012803	區
borough	0.012803	區
city	0.012803	區
orphan	0.012803	忘れ形見
posthumous	0.012803	忘れ形見
child	0.012803	忘れ形見
memento	0.012803	忘れ形見
souvenir	0.012803	忘れ形見
keep	0.012803	忘れ形見
sake	0.012803	忘れ形見
tip	0.010974	鋒鋩
edge	0.010974	鋒鋩
instrument	0.010974	鋒鋩
sharp	0.010974	鋒鋩
word	0.010974	鋒鋩
vici	0.010974	鋒鋩
ous	0.010974	鋒鋩
character	0.010974	鋒鋩
amaze	0.009602	惘れる
shock	0.009602	惘れる
astonish	0.009602	惘れる
astound	0.009602	惘れる
disgust	0.009602	惘れる
exasperate	0.009602	惘れる
feed	0.009602	惘れる
up	0.009602	惘れる
ness	0.009602	瞽
ignorance	0.009602	瞽
ignoramu	0.009602	瞽
illiteracy	0.009602	瞽
illiterate	0.009602	瞽
horse	0.007682	疋
small	0.007682	疋
animal	0.007682	疋
