# word cloud top all for element 卩
# token	weight	(optional sources)
bowl	0.017770	碗,鋺
ion	0.012382	溜り,節,頸木
hatch	0.012116	孵す
incu	0.012116	孵す
bate	0.012116	孵す
down	0.011538	仰ぐ,拝跪,敲く,退ける
one	0.010804	拝跪,節,銜える,飽きる
mullet	0.010770	鰡
comb	0.009693	櫛板
plate	0.009693	櫛板
small	0.008913	敲く,鋺
yoke	0.008077	頸木
constraint	0.008077	頸木
oppress	0.008077	頸木
egg	0.008077	玉子
metal	0.008077	鋺
take	0.007756	就く,邀える,銜える
drink	0.007674	仰ぐ,当て,碗
ous	0.007343	危ない,蜿蜿
against	0.006923	防ぐ
regret	0.006923	憾み
move	0.006421	捲く,脆い
out	0.006417	危ない,捲く,敲く,邀える
lord	0.006361	卿,御上
up	0.006307	仰ぐ,捲く,飽きる
head	0.006154	昴,鰡
wind	0.005903	捲く,蜿蜿
ness	0.005665	厄介,憾み
mean	0.005654	蜿蜿,足
go	0.005553	拝跪,邀える
hold	0.005553	留める,銜える
rabbit	0.005385	卯
chin	0.004976	昴,腕貫
ese	0.004976	昴,腕貫
lapi	0.004846	瑠璃
lazuli	0.004846	瑠璃
state	0.004846	卿
minister	0.004846	卿
you	0.004846	卿
sir	0.004846	卿
pecten	0.004846	櫛板
counter	0.004846	碗
food	0.004846	碗
little	0.004846	聊か
bite	0.004846	聊か
some	0.004846	聊か
what	0.004846	聊か
slightly	0.004846	聊か
rather	0.004846	聊か
common	0.004846	海石榴
camellia	0.004846	海石榴
tea	0.004846	海石榴
produce	0.004846	海石榴
mountain	0.004846	海石榴
arm	0.004645	腕貫,足
turn	0.004392	仰ぐ,留める,退ける
look	0.004332	仰ぐ,危ない
pre	0.004219	留める,防ぐ
vent	0.004219	留める,防ぐ
mouth	0.004039	銜える
bring	0.004039	銜える
along	0.004039	銜える
endlessly	0.004039	蜿蜿
continuously	0.004039	蜿蜿
der	0.004039	蜿蜿
sinu	0.004039	蜿蜿
serpen	0.004039	蜿蜿
tine	0.004039	蜿蜿
kneel	0.004039	拝跪
knee	0.004039	拝跪
new	0.003728	降ろし
tool	0.003728	降ろし
make	0.003702	玉子,退ける
become	0.003635	飽きる
get	0.003635	飽きる
matter	0.003462	憾み
resentment	0.003462	憾み
grudge	0.003462	憾み
malice	0.003462	憾み
bitter	0.003462	憾み
charm	0.003462	優艶
fascinate	0.003462	優艶
beautiful	0.003462	優艶
elegant	0.003462	優艶
graceful	0.003462	優艶
sweet	0.003462	優艶
delicate	0.003462	優艶
hairy	0.003462	昴
constellation	0.003462	昴
pleiad	0.003462	昴
seven	0.003462	昴
sister	0.003462	昴
defend	0.003462	防ぐ
protect	0.003462	防ぐ
avert	0.003462	防ぐ
avoid	0.003462	防ぐ
his	0.003029	御上
wife	0.003029	御上
let	0.003029	腕貫
away	0.003029	退ける
sect	0.003029	節
remove	0.002874	退ける,降ろし
rely	0.002827	仰ぐ,当て
guard	0.002726	当て,腕貫
end	0.002726	当て,腕貫
east	0.002692	卯
hour	0.002692	卯
second	0.002692	卯
month	0.002692	卯
lunar	0.002692	卯
calendar	0.002692	卯
hare	0.002692	卯
redlip	0.002692	鰡
strip	0.002692	鰡
flat	0.002692	鰡
grey	0.002692	鰡
black	0.002692	鰡
begin	0.002692	玉子
origin	0.002692	玉子
infancy	0.002692	玉子
spawn	0.002692	玉子
roe	0.002692	玉子
tender	0.002692	脆い
heart	0.002692	脆い
sentimental	0.002692	脆い
easily	0.002692	脆い
brittle	0.002692	脆い
fragile	0.002692	脆い
weak	0.002692	脆い
frail	0.002692	脆い
beat	0.002681	敲く,退ける
token	0.002423	証し
evidence	0.002423	証し
proof	0.002423	証し
mark	0.002423	証し
sign	0.002423	証し
symbol	0.002423	証し
emblem	0.002423	証し
badge	0.002423	証し
crest	0.002423	証し
flag	0.002423	証し
tire	0.002423	飽きる
beryl	0.002423	瑠璃
glass	0.002423	瑠璃
mall	0.002423	瑠璃
blue	0.002423	瑠璃
passer	0.002423	瑠璃
ine	0.002423	瑠璃
bird	0.002423	瑠璃
call	0.002350	敲く,邀える
ascend	0.002203	就く
accede	0.002203	就く
study	0.002203	就く
apprentice	0.002203	就く
start	0.002203	就く
commence	0.002203	就く
depart	0.002203	就く
assume	0.002203	就く
hire	0.002203	就く
employ	0.002203	就く
trouble	0.002203	厄介
burden	0.002203	厄介
nuisance	0.002203	厄介
bother	0.002203	厄介
worry	0.002203	厄介
care	0.002203	厄介
dependence	0.002203	厄介
support	0.002203	厄介
kind	0.002203	厄介
obligation	0.002203	厄介
stay	0.002203	厄介
danger	0.002203	危ない
strike	0.002047	当て,敲く
leave	0.002019	退ける
link	0.001864	捲く
envelope	0.001864	捲く
shroud	0.001864	捲く
ahead	0.001864	捲く
flank	0.001864	捲く
skirt	0.001864	捲く
coil	0.001864	捲く
roll	0.001864	捲く
wear	0.001864	捲く
grate	0.001864	降ろし
vegetable	0.001864	降ろし
fruit	0.001864	降ろし
etc	0.001864	降ろし
grater	0.001864	降ろし
use	0.001864	降ろし
drop	0.001864	降ろし
unload	0.001864	降ろし
off	0.001767	留める,退ける
pound	0.001671	敲く
bottom	0.001615	足
structural	0.001615	足
component	0.001615	足
kanji	0.001615	足
gait	0.001615	足
leg	0.001615	足
pace	0.001615	足
transportation	0.001615	足
ride	0.001615	足
money	0.001615	足
coin	0.001615	足
foot	0.001615	足
paw	0.001615	足
depend	0.001615	仰ぐ
ask	0.001615	仰ぐ
seek	0.001615	仰ぐ
gulp	0.001615	仰ぐ
quaff	0.001615	仰ぐ
respect	0.001615	仰ぐ
revere	0.001615	仰ぐ
clause	0.001515	節
knot	0.001515	節
node	0.001515	節
occasion	0.001515	節
time	0.001515	節
principle	0.001515	節
integrity	0.001515	節
season	0.001515	節
term	0.001515	節
pas	0.001515	節
sage	0.001515	節
para	0.001515	節
graph	0.001515	節
verse	0.001515	節
stanza	0.001515	節
brace	0.001515	腕貫
hole	0.001515	腕貫
butt	0.001515	腕貫
spear	0.001515	腕貫
leather	0.001515	腕貫
thread	0.001515	腕貫
pommel	0.001515	腕貫
sword	0.001515	腕貫
glove	0.001515	腕貫
warmer	0.001515	腕貫
sleeve	0.001515	腕貫
accept	0.001515	邀える
summon	0.001515	邀える
invite	0.001515	邀える
reach	0.001515	邀える
