# word cloud top all for element 厂
# token	weight	(optional sources)
ion	0.012674	妊娠,対応,小康,感応,振る,改暦,渡り,版,看板,糜爛,腑分け,膿み,雁木,頸木
one	0.009595	一角,万歳,俯せ,廚子,循行,拝跪,振る,生涯,磨れる,立て籠り,誤魔化す,魘される
good	0.009253	唐物,暖簾,贓物,麁品
lip	0.007100	唇歯,脣
stable	0.006762	小康,廐舎
down	0.006739	下り坂,俯せ,拝跪,振る,捺す,羈縻,腐る,返す,雁木
order	0.006040	序,循行,纏める,腑分け,逓次
ruan	0.005917	阮咸
cowsh	0.005917	廐舎
scrofula	0.005917	瘰癧
centimeter	0.005917	糎
steal	0.005917	贓物
thunder	0.005917	霹靂
go	0.005916	就褥,折返し,拝跪,桂庵,経る,腐る,見遁す,越す
ese	0.005281	唐物,字源,廂,戊,磯城島,羈縻
head	0.004956	振る,本庁,看板,荘官,首席,鴈
up	0.004611	万歳,折返し,振る,立て籠り,見遁す,顰める
over	0.004607	市販,捺す,見戍る,見遁す,誤魔化す,越す,返す
office	0.004437	府,本庁,金庫
calendar	0.004273	戊,戌,改暦,辰
dragon	0.004273	辰,驪竜
life	0.004074	万歳,廃車,機,生涯
axe	0.003944	鉞
out	0.003642	危ない,廃車,生涯,磨れる,誤魔化す,魘される,麁品
chin	0.003599	唐物,字源,戊,羈縻
man	0.003371	庚申,荘官,首席,麿
cliff	0.003320	崖縁,磐,麻垂れ
put	0.003291	市販,纏める,腑分け,辱める,返す
through	0.003252	生涯,経る,裏漉し
be	0.003197	対応,就褥,晨朝,立て籠り
strong	0.003090	濃い,灰汁,金庫
large	0.003060	膨大,雁木,麈尾,麋
become	0.003058	小康,磨れる,糜爛,腐る
xian	0.002958	阮咸
battle	0.002958	吶喊,鉞
rice	0.002958	倉廩
gran	0.002958	倉廩
ary	0.002958	倉廩
successively	0.002958	逓次
needle	0.002958	鍼
acu	0.002958	鍼
puncture	0.002958	鍼
clap	0.002958	霹靂
black	0.002958	驪竜
francolin	0.002958	鷓鴣
part	0.002958	鷓鴣
ridge	0.002958	鷓鴣
deer	0.002958	麈尾,麋
ness	0.002928	厄介,威勢,感応,憾み,灰汁
spread	0.002871	拡げる,猖獗
bed	0.002851	就褥,床,産褥
cry	0.002817	吶喊,魘される
pas	0.002771	渡り,経る,見遁す,越す
counter	0.002704	市販,度,座,機,版
japan	0.002668	廂,磯城島
way	0.002588	中庸,恁麽,誤魔化す,雁木
employ	0.002465	桂庵,雇う
bottom	0.002427	底抜け,麓
less	0.002370	底抜け,糟糠,腐る
hill	0.002367	下り坂,阪
emperor	0.002367	宸襟
cup	0.002367	酒盃
sieve	0.002367	裏漉し
character	0.002367	字源
ram	0.002324	猖獗,茂る
pant	0.002324	猖獗,茂る
base	0.002301	穢い,麓
corrupt	0.002296	糜爛,腐る,膿み
wild	0.002259	荒れ野,鴈
self	0.002202	灰汁,立て籠り,羈縻
mountain	0.002163	山彦,座
face	0.002137	俯せ,序
kind	0.002116	厄介,恁麽,篤い
vehicle	0.002113	廃車
watch	0.002089	危ない,見戍る
goose	0.002029	鮟鱇,鴈
sign	0.002017	加減,戊,看板
ous	0.002002	危ない,崖縁,賑やか
hire	0.001972	雇う
charter	0.001972	雇う
stone	0.001972	廚子,阪
spring	0.001972	蹶然
alacrity	0.001972	蹶然
resolutely	0.001972	蹶然
yoke	0.001972	頸木
constraint	0.001972	頸木
oppress	0.001972	頸木
sort	0.001972	恁麽
what	0.001972	恁麽
pregnancy	0.001972	妊娠
concept	0.001972	妊娠
gestation	0.001972	妊娠
broad	0.001972	鉞
pacific	0.001972	鱈
cod	0.001972	鱈
gadid	0.001972	鱈
giraffe	0.001972	麒麟
horse	0.001972	麒麟
ride	0.001972	麒麟
ri	0.001972	麒麟
day	0.001972	麒麟
qilin	0.001972	麒麟
foot	0.001972	麓
knife	0.001972	庖丁
turn	0.001932	折返し,振る,腐る,見遁す,返す
post	0.001923	産褥,腑分け
thick	0.001906	濃い,篤い
deep	0.001906	濃い,篤い
door	0.001847	廚子,看板
food	0.001831	庖丁,糟糠
mean	0.001808	中庸,穢い
press	0.001806	捺す,裏漉し
carbonate	0.001775	炭酸
carve	0.001775	庖丁,廚子
slope	0.001775	下り坂,阪
new	0.001775	改暦
make	0.001767	市販,拡げる,捺す,麈尾
back	0.001717	折返し,返す
regret	0.001690	憾み
coal	0.001690	炭鉱
mine	0.001690	炭鉱
gild	0.001690	滅金
sleep	0.001690	魘される
fish	0.001690	鮟鱇
around	0.001682	拡げる,晨朝
service	0.001678	廃車,折返し,晨朝
ity	0.001662	万歳,威勢,灰汁,馬鹿
import	0.001650	唐物,渡り
use	0.001650	捺す,暖簾,産褥,腐る,雁木
rot	0.001639	腐る,膿み
relation	0.001638	唇歯,渡り
name	0.001637	座,暖簾,看板,麿
seat	0.001632	府,座,首席
pre	0.001631	序,振る,滅金
land	0.001614	荒れ野
temporary	0.001585	仮り,廠舎
system	0.001578	改暦,羈縻
double	0.001578	廚子
prosper	0.001563	万歳,拡げる,賑やか
mind	0.001553	宸襟,度
light	0.001546	仄仄,曲輪,看板
house	0.001528	暖簾,越す,農家
red	0.001524	曲輪,麋
matter	0.001521	一角,憾み,馬鹿
feel	0.001503	宸襟,腐る
lie	0.001501	俯せ,誤魔化す
cook	0.001501	庖丁,誤魔化す
farm	0.001479	農家
gokturk	0.001479	突厥
sky	0.001479	突厥
turk	0.001479	突厥
tujue	0.001479	突厥
kanji	0.001479	麻垂れ
dot	0.001479	麻垂れ
radical	0.001479	麻垂れ
administrator	0.001479	荘官
manor	0.001479	荘官
village	0.001479	荘官
normal	0.001479	士庶
people	0.001479	士庶
samurai	0.001479	士庶
commoner	0.001479	士庶
middle	0.001479	中庸
infest	0.001479	猖獗
run	0.001479	猖獗
dissect	0.001479	腑分け
pu	0.001479	膿み
evil	0.001479	膿み
sucrose	0.001479	ショ糖
saccharose	0.001479	ショ糖
cane	0.001479	ショ糖
sugar	0.001479	ショ糖
school	0.001479	農家
eye	0.001469	見戍る,見遁す,麿
close	0.001464	危ない,濃い,看板
class	0.001441	磯城島,首席
position	0.001440	字源,崖縁,座
return	0.001423	恢復,折返し,返す
fool	0.001409	馬鹿,鮟鱇
heart	0.001397	仄仄,脆い
hand	0.001397	万歳,唐物,穢い
plain	0.001383	糟糠,荒れ野
look	0.001383	危ない,看板,見遁す
ration	0.001364	万歳,中庸,加減
open	0.001353	序,拡げる
someth	0.001334	一角,万歳,馬鹿
warm	0.001331	仄仄,篤い
edge	0.001315	崖縁
east	0.001315	辰
hour	0.001315	戌,辰
dog	0.001315	戌
month	0.001315	戌,辰
lunar	0.001315	戌,辰
motion	0.001315	循行
recovery	0.001315	恢復
west	0.001315	戌
ing	0.001312	宸襟,振る
rest	0.001279	一角,恢復,返す
vast	0.001277	膨大,荒れ野
care	0.001275	厄介,塵,底抜け
time	0.001274	捺す,生涯,看板,越す
no	0.001268	嫌,廠舎
bitter	0.001240	憾み,灰汁
able	0.001240	一角,嫌,市販
full	0.001240	一角,茂る
core	0.001234	床,廂
store	0.001211	市販,廚子
air	0.001183	機
craft	0.001183	機
period	0.001183	産褥
puree	0.001183	裏漉し
marry	0.001183	伉儷
couple	0.001183	伉儷
spouse	0.001183	伉儷
hus	0.001183	伉儷
band	0.001183	伉儷
wife	0.001183	伉儷
tooth	0.001183	唇歯
mutually	0.001183	唇歯
dependent	0.001183	唇歯
rank	0.001183	戊
fifth	0.001183	戊
weal	0.001183	休戚
woe	0.001183	休戚
joy	0.001183	休戚
sorrow	0.001183	休戚
wel	0.001183	休戚
fare	0.001183	休戚
mile	0.001183	阪
mark	0.001183	阪
inc	0.001183	阪
line	0.001183	阪
glan	0.001183	鴈
peni	0.001183	鴈
sake	0.001183	酒盃
alcoholic	0.001183	酒盃
beverage	0.001183	酒盃
inner	0.001183	宸襟
anchor	0.001183	磐
crag	0.001183	磐
rock	0.001183	磐
boulder	0.001183	磐
righteous	0.001183	慷慨
indignation	0.001183	慷慨
patriotic	0.001183	慷慨
lamentation	0.001183	慷慨
deploration	0.001183	慷慨
bedridden	0.001183	就褥
retire	0.001183	就褥
lathe	0.001183	轆轤
potter	0.001183	轆轤
wheel	0.001183	轆轤
pulley	0.001183	轆轤
wind	0.001183	轆轤
lass	0.001183	轆轤
taste	0.001183	灰汁
place	0.001177	俯せ,座
deity	0.001177	山彦,座
trifle	0.001174	糟糠,麁品
fight	0.001127	啀み合う,塵
abandon	0.001115	廢する,振る
path	0.001088	中庸,雁木
edit	0.001076	版
district	0.001076	曲輪
desert	0.001076	荒れ野
lively	0.001076	賑やか
wear	0.001076	磨れる
move	0.001052	脆い,越す
heavy	0.001047	底抜け,篤い
eav	0.001044	廂,雁木
extend	0.001044	拡げる,雁木
plat	0.001036	座,滅金
mode	0.001035	中庸,加減
degree	0.001035	加減,度
low	0.001025	廂,麁品
do	0.000994	捺す,返す
box	0.000986	金庫
central	0.000986	本庁
government	0.000986	本庁
kit	0.000986	庖丁
chen	0.000986	庖丁
echo	0.000986	山彦
god	0.000986	山彦
guard	0.000986	山彦
ian	0.000986	山彦
divine	0.000986	感応
tremolo	0.000986	震音
trill	0.000986	震音
vibratory	0.000986	震音
sound	0.000986	震音
warble	0.000986	震音
tone	0.000986	震音
charge	0.000986	吶喊
shout	0.000986	吶喊
war	0.000986	吶喊
prefecture	0.000986	府
fu	0.000986	府
centre	0.000986	府
center	0.000986	府
dethrone	0.000986	廢する
depose	0.000986	廢する
abolish	0.000986	廢する
repeal	0.000986	廢する
discontinue	0.000986	廢する
congratulate	0.000986	歓ぶ
grate	0.000986	歓ぶ
fully	0.000986	歓ぶ
accept	0.000986	歓ぶ
delight	0.000986	歓ぶ
glad	0.000986	歓ぶ
please	0.000986	歓ぶ
six	0.000986	晨朝
o'clock	0.000986	晨朝
dawn	0.000986	晨朝
yamato	0.000986	磯城島
art	0.000986	磯城島
ical	0.000986	磯城島
poetry	0.000986	磯城島
kneel	0.000986	拝跪
knee	0.000986	拝跪
tail	0.000986	麈尾
moose	0.000986	麋
elk	0.000986	麋
cash	0.000986	金庫
ish	0.000978	拡げる,馬鹿
wave	0.000974	振る,靡く
narrow	0.000965	危ない,廂
long	0.000948	生涯,麈尾
harsh	0.000932	灰汁,酷しい
peril	0.000926	危ない,崖縁
critical	0.000926	危ない,崖縁
top	0.000910	首席
keep	0.000910	見戍る
get	0.000909	誤魔化す,越す
support	0.000908	厄介,対応
state	0.000887	加減
response	0.000863	対応,感応
cross	0.000850	渡り,越す
song	0.000848	序,座
resentment	0.000845	憾み
grudge	0.000845	憾み
malice	0.000845	憾み
bend	0.000845	靡く
flutter	0.000845	靡く
yield	0.000845	靡く
sway	0.000845	靡く
bow	0.000845	靡く
obey	0.000845	靡く
snarl	0.000845	啀み合う
growl	0.000845	啀み合う
quarrel	0.000845	啀み合う
argue	0.000845	啀み合う
feud	0.000845	啀み合う
wrangle	0.000845	啀み合う
metal	0.000845	庚申
monkey	0.000845	庚申
sh	0.000845	庚申
kong	0.000845	庚申
shin	0.000845	庚申
machi	0.000845	庚申
remiss	0.000845	小康
lull	0.000845	小康
breathe	0.000845	小康
spell	0.000845	小康
respite	0.000845	小康
lodge	0.000845	廠舎
roof	0.000845	廠舎
wall	0.000845	廠舎
bar	0.000845	廠舎
rack	0.000845	廠舎
cantonment	0.000845	廠舎
shaft	0.000845	炭鉱
pit	0.000845	炭鉱
colliery	0.000845	炭鉱
chaff	0.000845	糟糠
bran	0.000845	糟糠
worth	0.000845	糟糠
thing	0.000845	糟糠
grow	0.000845	茂る
thickly	0.000845	茂る
leaf	0.000845	茂る
luxuriate	0.000845	茂る
luxurious	0.000845	茂る
let	0.000845	見遁す
tense	0.000845	滅金
pretence	0.000845	滅金
simulation	0.000845	滅金
coat	0.000845	滅金
moan	0.000845	魘される
curve	0.000845	鮟鱇
gutter	0.000845	鮟鱇
monk	0.000845	鮟鱇
sea	0.000845	鮟鱇
devil	0.000845	鮟鱇
con	0.000825	度,渡り
rub	0.000820	塵,磨れる
bustle	0.000820	塵,賑やか
clean	0.000820	塵,綺麗
degenerate	0.000817	糜爛,腐る
power	0.000813	威勢,捺す
influence	0.000813	威勢,捺す
plate	0.000807	版,看板
curtain	0.000789	暖簾
cabinet	0.000789	廚子
decorate	0.000789	廚子
container	0.000789	廚子
bone	0.000789	廚子
ancestor	0.000789	廚子
miniature	0.000789	廚子
shrine	0.000789	廚子
word	0.000786	序,振る
give	0.000786	万歳,振る,麁品
vigor	0.000786	威勢,振る
direct	0.000786	循行,振る
flap	0.000762	折返し,麈尾
market	0.000751	市販,麁品
agrarian	0.000740	農家
ism	0.000740	農家
agronomist	0.000740	農家
farmer	0.000740	農家
family	0.000740	農家
doctrine	0.000740	中庸
dimly	0.000740	仄仄
faintly	0.000740	仄仄
faint	0.000740	仄仄
warmly	0.000740	仄仄
friendly	0.000740	仄仄
manner	0.000740	仄仄
hypothetical	0.000740	仮り
theoretical	0.000740	仮り
fictitious	0.000740	仮り
assume	0.000740	仮り
alia	0.000740	仮り
provisional	0.000740	仮り
interim	0.000740	仮り
swell	0.000740	膨大
expansion	0.000740	膨大
huge	0.000740	膨大
enormous	0.000740	膨大
colossal	0.000740	膨大
extensive	0.000740	膨大
ability	0.000740	対応
ana	0.000740	腑分け
lysi	0.000740	腑分け
autopsy	0.000740	腑分け
mortem	0.000740	腑分け
examination	0.000740	腑分け
pseudo	0.000740	贋
imitation	0.000740	贋
fake	0.000740	贋
phony	0.000740	贋
counterfeit	0.000740	贋
forge	0.000740	贋
bogu	0.000740	贋
sham	0.000740	贋
screw	0.000740	顰める
scrunch	0.000740	顰める
pucker	0.000740	顰める
furrow	0.000740	顰める
wrinkle	0.000740	顰める
rape	0.000740	辱める
assault	0.000740	辱める
violate	0.000740	辱める
shame	0.000740	辱める
humiliate	0.000740	辱める
disgrace	0.000740	辱める
insult	0.000740	辱める
second	0.000740	唐物
old	0.000740	唐物
furniture	0.000740	唐物
alcohol	0.000740	度
upside	0.000721	俯せ,返す
respond	0.000721	感応,返す
kana	0.000720	字源,振る
lose	0.000698	磨れる,腐る
classic	0.000696	廂
women	0.000696	廂
pompadour	0.000696	廂
hair	0.000696	廂
style	0.000696	廂
aisle	0.000696	廂
surround	0.000696	廂
temple	0.000696	廂
build	0.000696	廂
awn	0.000696	廂
visor	0.000696	廂
brim	0.000696	廂
peak	0.000696	廂
zigzag	0.000696	雁木
flour	0.000696	拡げる
cause	0.000696	拡げる
scatter	0.000696	拡げる
unfold	0.000696	拡げる
unroll	0.000696	拡げる
unwrap	0.000696	拡げる
expand	0.000696	拡げる
enlarge	0.000696	拡げる
widen	0.000696	拡げる
broaden	0.000696	拡げる
will	0.000676	塵,暖簾
cast	0.000666	振る,版
extent	0.000666	加減,度
reputation	0.000663	暖簾,看板
begin	0.000657	序
start	0.000657	序
fore	0.000657	序
introduction	0.000657	序
shut	0.000657	立て籠り
barricade	0.000657	立て籠り
while	0.000657	立て籠り
besiege	0.000657	立て籠り
hole	0.000657	立て籠り
south	0.000657	辰
third	0.000657	辰
might	0.000657	威勢
author	0.000657	威勢
spirit	0.000657	威勢
vigour	0.000657	威勢
energy	0.000657	威勢
bold	0.000657	威勢
precipice	0.000657	崖縁
moment	0.000657	崖縁
brink	0.000657	崖縁
act	0.000657	循行
accordance	0.000657	循行
patrol	0.000657	循行
pro	0.000657	循行
grade	0.000657	循行
recuperation	0.000657	恢復
convalescence	0.000657	恢復
oration	0.000657	恢復
rehabilitation	0.000657	恢復
replevin	0.000657	恢復
improvement	0.000657	恢復
ninth	0.000657	戌
north	0.000657	戌
dirty	0.000657	穢い
dissipation	0.000657	糜爛
sore	0.000657	糜爛
erosion	0.000657	糜爛
ulceration	0.000657	糜爛
abscess	0.000657	糜爛
decomposition	0.000657	糜爛
tender	0.000657	脆い
sentimental	0.000657	脆い
easily	0.000657	脆い
brittle	0.000657	脆い
