# word cloud top all for element 厶
# token	weight	(optional sources)
one	0.011290	入魂,嚔,愧死,擡頭,瞳,節,罷り出る,転がる,銜える,魘される
ion	0.008473	変態,挨拶,竣工,節,蒐集
bottle	0.008226	瓢,瓶詰め
ant	0.007799	会計,蟻塚
three	0.007312	
hill	0.007312	蟻塚
grand	0.007312	姪孫
turnip	0.007312	鈴菜
palomino	0.007312	鴾毛
person	0.006393	塊まり,熊羆,駿足,鬼
whisker	0.006267	鬚
mackerel	0.005850	室鰺
scad	0.005850	室鰺
wei	0.005484	魏
ride	0.005362	窒化,足
enamel	0.004875	琺瑯
eye	0.004875	瞳,靉靆
nit	0.004875	窒化
self	0.004875	罷り出る,肆
come	0.004838	伝わる,倒れる,始末,擡頭,至る,詣る,転がる,零落れる
brown	0.004706	室鰺,狐,飴
ese	0.004699	糸瓜,総角,辯,鉾,鬼,黐躑躅
hair	0.004329	総角,髻,鬘
ity	0.004299	入魂,変態,始末,殆んど,私
buddha	0.004113	牟尼,範
down	0.004111	伝わる,倒れる,曇る,治まる,牽く,総角,転がる,退ける,零落れる
over	0.004030	倒れる,曇る,淋漓,苔生す,転がる,辯
ship	0.004004	挨拶,新船
gourd	0.003787	瓢,糸瓜
collect	0.003656	蒐集
incitement	0.003656	教唆
instigation	0.003656	教唆
niece	0.003656	姪孫
nephew	0.003656	姪孫
repentance	0.003656	改悛
contrition	0.003656	改悛
sudden	0.003656	溘然
unexpect	0.003656	溘然
muni	0.003656	牟尼
completion	0.003656	竣工
construct	0.003656	竣工
new	0.003656	新船
hymn	0.003656	頌
praise	0.003656	頌
typhoon	0.003656	颱風
hurricane	0.003656	颱風
spread	0.003553	伝わる,弘める,拡げる,流す,滲む
high	0.003351	軒輊,雲居
cup	0.003257	水屋,酒盃
ish	0.003251	拡げる,肆,飴
per	0.003250	允許,変態
go	0.003239	伝わる,倒れる,流す,牽く,繧繝,詣る,謂う
long	0.003183	旱魃,鉾
shadow	0.003134	鬚
moustache	0.003134	鬚
beard	0.003134	鬚
feeler	0.003134	鬚
tuft	0.003134	鬚
