# word cloud top all for element 子
# token	weight	(optional sources)
one	0.020304	不孝,好き,桃李,遊ぶ
howl	0.019248	咆える,猛り立つ
baby	0.018560	孩児,筏
child	0.015969	不孝,子,孫,豎子
rage	0.014436	猛り立つ
infant	0.014436	孩児
hatch	0.014436	孵す
incu	0.014436	孵す
bate	0.014436	孵す
person	0.011009	子,桃李,豎子
energetic	0.010586	勃,猛
young	0.009677	子,豎子
science	0.008249	理学
age	0.007846	孫,穴
captive	0.007218	虜
prisoner	0.007218	虜
victim	0.007218	虜
slave	0.007218	虜
descend	0.007218	孫
ant	0.007218	孫
grand	0.007218	孫
line	0.007218	孫
pedigree	0.007218	孫
palpitation	0.007218	動気
pound	0.007218	動気
throb	0.007218	動気
thump	0.007218	動気
lighter	0.007218	艀船
barge	0.007218	艀船
bag	0.007218	艀船
gage	0.007218	艀船
boat	0.007218	艀船
university	0.007218	大學
ity	0.007087	好き,蜉蝣
feel	0.006635	存じる,浮く
loop	0.006402	乳,穴
go	0.005843	背反,遊ぶ
peach	0.005774	桃李
plum	0.005774	桃李
recommendation	0.005774	桃李
breast	0.005774	乳
decorative	0.005774	乳
bump	0.005774	乳
milk	0.005774	乳
season	0.005774	季
seasonal	0.005774	季
word	0.005774	季
phrase	0.005774	季
year	0.005774	季
ferocious	0.005774	猛
greatly	0.005774	猛
extreme	0.005774	猛
severe	0.005774	猛
ephemeral	0.005774	蜉蝣
dragon	0.005774	蜉蝣
fly	0.005774	蜉蝣
damselfly	0.005774	蜉蝣
mayfly	0.005774	蜉蝣
ephemeropteran	0.005774	蜉蝣
like	0.005249	好き
class	0.005249	教室
room	0.005249	教室
parent	0.004812	不孝
roar	0.004812	咆える
begin	0.004812	孟冬
winter	0.004812	孟冬
tenth	0.004812	孟冬
month	0.004812	孟冬
lunar	0.004812	孟冬
calendar	0.004812	孟冬
bulgaria	0.004812	勃
sudden	0.004812	勃
abrupt	0.004812	勃
spirit	0.004812	勃
rise	0.004812	勃
contra	0.004812	背反
diction	0.004812	背反
antinomy	0.004812	背反
revolt	0.004812	背反
rebel	0.004812	背反
lion	0.004812	背反
against	0.004812	背反
eat	0.004812	孤食
food	0.004812	孤食
know	0.004752	存じる,穴
out	0.004169	浮く,穴,遊ぶ
hind	0.004125	子細
rance	0.004125	子細
obstruct	0.004125	子細
ion	0.004125	子細
interference	0.004125	子細
reason	0.004125	子細
circum	0.004125	子細
stance	0.004125	子細
significance	0.004125	子細
particular	0.004125	子細
aware	0.004125	存じる
acquaint	0.004125	存じる
think	0.004125	存じる
consider	0.004125	存じる
believe	0.004125	存じる
lad	0.004125	豎子
stripl	0.004125	豎子
green	0.004125	豎子
horn	0.004125	豎子
inexperienc	0.004125	豎子
fore	0.004125	筏
arm	0.004125	筏
protector	0.004125	筏
raft	0.004125	筏
skewer	0.004125	筏
eel	0.004125	筏
kabayaki	0.004125	筏
manchurian	0.004125	薦
wild	0.004125	薦
rice	0.004125	薦
beggar	0.004125	薦
weave	0.004125	薦
straw	0.004125	薦
mat	0.004125	薦
lixue	0.004125	理学
philosophy	0.004125	理学
physic	0.004125	理学
physical	0.004125	理学
nat	0.004125	理学
ural	0.004125	理学
become	0.003766	浮く
hole	0.003766	穴
former	0.003609	大學
imperial	0.003609	大學
japan	0.003609	大學
great	0.003609	大學
learn	0.003609	大學
col	0.003609	大學
lege	0.003609	大學
be	0.002625	好き
department	0.002625	教室
lecture	0.002625	教室
school	0.002625	教室
teach	0.002625	教室
establishment	0.002625	教室
lesson	0.002625	教室
course	0.002625	教室
place	0.002511	浮く,穴
alone	0.002406	孤食
sell	0.002406	孤食
single	0.002406	孤食
serving	0.002406	孤食
meal	0.002406	孤食
family	0.002406	孤食
member	0.002406	孤食
sepa	0.002406	孤食
rate	0.002406	孤食
yell	0.002406	咆える
shout	0.002406	咆える
cry	0.002406	咆える
moan	0.002406	咆える
bark	0.002406	咆える
bay	0.002406	咆える
yelp	0.002406	咆える
yap	0.002406	咆える
curse	0.002406	不孝
disown	0.002406	不孝
undutiful	0.002406	不孝
ness	0.002406	不孝
lack	0.002406	不孝
filial	0.002406	不孝
piety	0.002406	不孝
off	0.002366	子,浮く
self	0.002062	遊ぶ
up	0.002062	遊ぶ
play	0.002062	遊ぶ
shoot	0.001738	子,穴
good	0.001659	穴,遊ぶ
suit	0.001312	好き
faddism	0.001312	好き
eccentric	0.001312	好き
lecher	0.001312	好き
ous	0.001312	好き
lustful	0.001312	好き
salacious	0.001312	好き
love	0.001312	好き
belov	0.001312	好き
fond	0.001312	好き
taste	0.001312	好き
prefer	0.001312	好き
favour	0.001312	好き
ite	0.001312	好き
hide	0.001255	穴
float	0.001255	浮く
frivolous	0.001255	浮く
uncertain	0.001255	浮く
loose	0.001255	浮く
unsteady	0.001255	浮く
merry	0.001255	浮く
cheerful	0.001255	浮く
leave	0.001255	浮く
over	0.001255	浮く
save	0.001255	浮く
no	0.001255	浮く
basi	0.001255	浮く
unreliable	0.001255	浮く
cut	0.001255	浮く
open	0.001255	穴
er	0.001110	子
bird	0.001110	子
egg	0.001110	子
inter	0.001110	子
est	0.001110	子
new	0.001110	子
share	0.001110	子
player	0.001110	子
who	0.001110	子
dealer	0.001110	子
woman	0.001110	子
offspr	0.001110	子
geisha	0.001110	子
prostitute	0.001110	子
kid	0.001110	子
teenager	0.001110	子
youngster	0.001110	子
give	0.001031	遊ぶ
intention	0.001031	遊ぶ
ally	0.001031	遊ぶ
throw	0.001031	遊ぶ
ball	0.001031	遊ぶ
lower	0.001031	遊ぶ
batter	0.001031	遊ぶ
concentration	0.001031	遊ぶ
mess	0.001031	遊ぶ
meet	0.001031	遊ぶ
hang	0.001031	遊ぶ
tease	0.001031	遊ぶ
idle	0.001031	遊ぶ
do	0.001031	遊ぶ
noth	0.001031	遊ぶ
unus	0.001031	遊ぶ
enjoy	0.001031	遊ぶ
time	0.001031	遊ぶ
box	0.000628	穴
