# word cloud top all for element 彳
# token	weight	(optional sources)
ion	0.011761	前後,慫慂,行衛,頸木
go	0.011113	行く,踏む,通る,遣る,順う
around	0.009945	前後,彷徨う,徘徊
out	0.009373	カビ臭い,前後,御目見得,移徙,行く,行衛,通る
blind	0.009121	絎ける
stitch	0.009121	絎ける
follow	0.008730	踏む,順う
wander	0.008687	彷徨う,徘徊
roam	0.008687	彷徨う,徘徊
loiter	0.008687	彷徨う,徘徊
prowl	0.008687	彷徨う,徘徊
rise	0.008108	野バラ
over	0.007570	復,覆す
provincial	0.007297	国衙
service	0.006790	役,御目見得,徭役
com	0.006624	徐徐,徴する,銜む
way	0.006419	懲りる,術,通る,道
against	0.006285	衝く,防ぐ
one	0.006162	循行,懲りる,行衛,衝く
back	0.006123	前後,縦,裄
hang	0.006081	徘徊
medal	0.006081	記章
badge	0.006081	記章
insignia	0.006081	記章
yoke	0.006081	頸木
constraint	0.006081	頸木
oppress	0.006081	頸木
close	0.005964	微妙,髣髴
long	0.005212	長征
march	0.005212	長征
time	0.004998	前後,彼れ,復
learn	0.004975	懲りる
person	0.004886	彼れ,權兵衞
street	0.004883	街,道
act	0.004833	功徳,循行
move	0.004797	移徙,行く,遣る
office	0.004662	国衙,役
resemblance	0.004560	髣髴
vivid	0.004560	髣髴
reminder	0.004560	髣髴
dim	0.004560	髣髴
faint	0.004560	髣髴
vague	0.004560	髣髴
blur	0.004560	髣髴
statute	0.004560	徭役
labor	0.004560	徭役
socage	0.004560	徭役
chase	0.004560	追蹤
pursuit	0.004560	追蹤
track	0.004560	追蹤
stalk	0.004560	追蹤
shi	0.004478	律,移徙
down	0.004307	彼れ,街
end	0.004256	井桁,裄
along	0.004248	行く,通る,遣る,順う
take	0.004233	移徙,通る,遣る
merit	0.004210	功徳
distance	0.004207	裄,道,遣る
town	0.004054	街
hood	0.004054	街
motion	0.004054	循行
con	0.003864	前後,順う
come	0.003764	御目見得,行く,行衛,通る
road	0.003685	街,道
audience	0.003648	御目見得
governor	0.003648	国衙
governorate	0.003648	国衙
house	0.003648	移徙
miko	0.003648	移徙
advice	0.003648	慫慂
recommendation	0.003648	慫慂
suggest	0.003648	慫慂
indu	0.003648	慫慂
cement	0.003648	慫慂
persuasion	0.003648	慫慂
vertical	0.003648	縦
direct	0.003430	循行,行衛
ity	0.003373	功徳,御上,道
place	0.003294	彼れ,待合い
order	0.003285	前後,循行
form	0.003282	遣る,順う
front	0.003082	前後,縦
calm	0.003040	徐徐
pose	0.003040	徐徐
relax	0.003040	徐徐
slow	0.003040	徐徐
gradual	0.003040	徐徐
steady	0.003040	徐徐
seam	0.003040	裄
kimono	0.003040	裄
sleeve	0.003040	裄
turn	0.003023	行く,覆す,遣る
hold	0.002944	遣る,銜む
engage	0.002944	遣る,順う
do	0.002925	行く,通る,遣る
mean	0.002856	術,道
japan	0.002856	律,野バラ
ese	0.002856	律,野バラ
delicate	0.002806	微妙
get	0.002767	前後,行く,通る,遣る
