# word cloud top all for element ⺕
# token	weight	(optional sources)
director	0.023765	尹
beautiful	0.017824	錦繡
eye	0.013467	逆さ睫毛,靉靆
district	0.011882	郡
wisdom	0.011882	慧
self	0.011882	肆
key	0.011882	鑰
lash	0.010012	当る,逆さ睫毛
line	0.009959	一筆,立並ぶ
home	0.009576	還る,里帰り
creation	0.009506	群棲,肇造
mug	0.009506	蕭
wort	0.009506	蕭
one	0.008148	一筆,群棲,里帰り
poor	0.007922	凶歉
crop	0.007922	凶歉
famine	0.007922	凶歉
chide	0.007922	窘める
rebuke	0.007922	窘める
rep	0.007922	窘める
rove	0.007922	窘める
establishment	0.007922	肇造
foundation	0.007922	肇造
sleigh	0.007922	轌
sled	0.007922	轌
sledge	0.007922	轌
record	0.006790	記録
row	0.006790	立並ぶ
sub	0.006790	隷属
fish	0.006790	鮟鱇
less	0.006036	無闇矢鱈,糟糠
lock	0.005941	鑰
clue	0.005941	鑰
praj	0.005941	慧
enlightenment	0.005941	慧
day	0.005941	晝
time	0.005941	晝
lunch	0.005941	晝
noon	0.005941	晝
midday	0.005941	晝
fabric	0.005941	錦繡
ish	0.005941	肆
indulgent	0.005941	肆
arbitrary	0.005941	肆
coax	0.005941	賺す
cajole	0.005941	賺す
humour	0.005941	賺す
wheedle	0.005941	賺す
lottery	0.005941	鬮
lot	0.005941	鬮
raffle	0.005941	鬮
draw	0.005941	鬮
commandery	0.005941	郡
county	0.005941	郡
japan	0.005833	律,蕭
ese	0.005833	律,蕭
go	0.005746	一筆,当る,還る
get	0.004788	還る,里帰り
worm	0.004753	蕭
wood	0.004753	蕭
sage	0.004753	蕭
brush	0.004753	蕭
tsu	0.004753	津
ferry	0.004753	津
harbour	0.004753	津
harbor	0.004753	津
port	0.004753	津
waist	0.004753	裙子
robe	0.004753	裙子
pleat	0.004753	裙子
lower	0.004753	裙子
garment	0.004753	裙子
righteous	0.004753	慷慨
indignation	0.004753	慷慨
patriotic	0.004753	慷慨
lamentation	0.004753	慷慨
deploration	0.004753	慷慨
turn	0.004753	逆さ睫毛
ingrown	0.004753	逆さ睫毛
trichiasi	0.004753	逆さ睫毛
hard	0.004321	強か
return	0.004091	還る,里帰り
glass	0.003961	靉靆
dark	0.003961	靉靆
gloomy	0.003961	靉靆
trail	0.003961	靉靆
thick	0.003961	靉靆
heavy	0.003961	靉靆
silent	0.003961	粛然
quiet	0.003961	粛然
solemn	0.003961	粛然
softly	0.003961	粛然
quietly	0.003961	粛然
solemnly	0.003961	粛然
stand	0.003901	当る,立並ぶ
parent	0.003395	里帰り
document	0.003395	記録
result	0.003395	記録
remiss	0.003395	小康
ion	0.003395	小康
become	0.003395	小康
stable	0.003395	小康
lull	0.003395	小康
breathe	0.003395	小康
spell	0.003395	小康
respite	0.003395	小康
chaff	0.003395	糟糠
bran	0.003395	糟糠
plain	0.003395	糟糠
food	0.003395	糟糠
worth	0.003395	糟糠
thing	0.003395	糟糠
trifle	0.003395	糟糠
ordinate	0.003395	隷属
underl	0.003395	隷属
ordination	0.003395	隷属
servitude	0.003395	隷属
servility	0.003395	隷属
vassal	0.003395	隷属
age	0.003395	隷属
slavery	0.003395	隷属
curve	0.003395	鮟鱇
gutter	0.003395	鮟鱇
fool	0.003395	鮟鱇
goose	0.003395	鮟鱇
monk	0.003395	鮟鱇
sea	0.003395	鮟鱇
devil	0.003395	鮟鱇
equal	0.003395	立並ぶ
par	0.003395	立並ぶ
write	0.003169	一筆
live	0.003169	群棲
autumn	0.002971	錦繡
leaf	0.002971	錦繡
flower	0.002971	錦繡
poem	0.002971	錦繡
word	0.002971	錦繡
brocade	0.002971	錦繡
embroidery	0.002971	錦繡
clothe	0.002971	錦繡
come	0.002960	還る,里帰り
back	0.002960	還る,里帰り
note	0.002665	一筆,律
he	0.002641	君
she	0.002641	君
you	0.002641	君
buddy	0.002641	君
pal	0.002641	君
mon	0.002641	君
arch	0.002641	君
ruler	0.002641	君
sovereign	0.002641	君
master	0.002641	君
excess	0.002641	無闇矢鱈
ive	0.002641	無闇矢鱈
unreasonable	0.002641	無闇矢鱈
immoderate	0.002641	無闇矢鱈
absurd	0.002641	無闇矢鱈
thought	0.002641	無闇矢鱈
reckless	0.002641	無闇矢鱈
rash	0.002641	無闇矢鱈
indiscriminate	0.002641	無闇矢鱈
indiscreet	0.002641	無闇矢鱈
recite	0.002376	嘯く
boast	0.002376	嘯く
brag	0.002376	嘯く
feign	0.002376	嘯く
ignorance	0.002376	嘯く
pre	0.002376	嘯く
tend	0.002376	嘯く
know	0.002376	嘯く
bark	0.002376	嘯く
roar	0.002376	嘯く
howl	0.002376	嘯く
visit	0.002263	里帰り
severely	0.002160	強か
heavily	0.002160	強か
great	0.002160	強か
deal	0.002160	強か
much	0.002160	強か
tough	0.002160	強か
stubborn	0.002160	強か
deter	0.002160	強か
mine	0.002160	強か
tenacious	0.002160	強か
scale	0.002160	律
hit	0.002023	当る
leave	0.001828	還る
plate	0.001828	還る
minute	0.001697	記録
score	0.001697	記録
set	0.001697	記録
show	0.001697	記録
reach	0.001697	記録
value	0.001697	記録
stroke	0.001584	一筆
parcel	0.001584	一筆
same	0.001584	一筆
hand	0.001584	一筆
few	0.001584	一筆
short	0.001584	一筆
letter	0.001584	一筆
all	0.001584	群棲
animate	0.001584	群棲
grow	0.001584	群棲
en	0.001584	群棲
masse	0.001584	群棲
location	0.001584	群棲
gregariously	0.001584	群棲
flock	0.001584	群棲
herd	0.001584	群棲
colony	0.001584	群棲
etc	0.001584	群棲
end	0.001251	急
song	0.001251	急
urgent	0.001251	急
press	0.001251	急
emergency	0.001251	急
crisi	0.001251	急
danger	0.001251	急
rapid	0.001251	急
swift	0.001251	急
fast	0.001251	急
steep	0.001251	急
sharp	0.001251	急
precipitous	0.001251	急
sudden	0.001251	急
abrupt	0.001251	急
unexpect	0.001251	急
urgency	0.001251	急
hurry	0.001251	急
haste	0.001251	急
bride	0.001132	里帰り
first	0.001132	里帰り
her	0.001132	里帰り
after	0.001132	里帰り
marry	0.001132	里帰り
temporarily	0.001132	里帰り
pitch	0.001080	律
seven	0.001080	律
tone	0.001080	律
gagaku	0.001080	律
similar	0.001080	律
dorian	0.001080	律
mode	0.001080	律
ritsu	0.001080	律
shi	0.001080	律
six	0.001080	律
odd	0.001080	律
number	0.001080	律
ancient	0.001080	律
chroma	0.001080	律
tic	0.001080	律
step	0.001080	律
vinaya	0.001080	律
law	0.001080	律
regulation	0.001080	律
feel	0.001011	当る
well	0.001011	当る
out	0.001011	当る
con	0.001011	当る
relation	0.001011	当る
call	0.000506	当る
right	0.000506	当る
money	0.000506	当る
unnecessary	0.000506	当る
bite	0.000506	当る
lie	0.000506	当る
shave	0.000506	当る
bruise	0.000506	当る
spoil	0.000506	当る
strike	0.000506	当る
streak	0.000506	当る
select	0.000506	当る
win	0.000506	当る
stricken	0.000506	当る
afflict	0.000506	当る
face	0.000506	当る
front	0.000506	当る
treat	0.000506	当る
under	0.000506	当る
take	0.000506	当る
assign	0.000506	当る
relative	0.000506	当る
person	0.000506	当る
ship	0.000506	当る
equivalent	0.000506	当る
applicable	0.000506	当る
apply	0.000506	当る
successful	0.000506	当る
probe	0.000506	当る
check	0.000506	当る
touch	0.000506	当る
tact	0.000506	当る
affix	0.000506	当る
