# word cloud top all for element ⺨
# token	weight	(optional sources)
barbarian	0.014596	夷狄
alien	0.014596	夷狄
your	0.014596	猊下
spread	0.014596	猖獗
infest	0.014596	猖獗
run	0.014596	猖獗
ram	0.014596	猖獗
pant	0.014596	猖獗
mo	0.014596	貘
tapir	0.014596	貘
reed	0.014596	蘆荻
ferocious	0.013136	猛,獰猛
dog	0.011816	狗,貉
self	0.011775	独り,狷介
wild	0.010704	狂う,豕
heavy	0.009731	猩猩
drinker	0.009731	猩猩
orangutan	0.009731	猩猩
boar	0.009731	豕
badger	0.009731	貉
raccoon	0.009731	貉
jealous	0.009731	猜む
envy	0.009731	猜む
begrudge	0.009731	猜む
one	0.008778	狂う,狙う,独り
signal	0.008758	狼煙
sly	0.008758	猿,老獪
man	0.007414	人誑し,狒狒
japan	0.007298	狆
ese	0.007298	狆
spaniel	0.007298	狆
pekinese	0.007298	狆
chin	0.007298	狆
familiar	0.007298	馴れ馴れしい
too	0.007298	馴れ馴れしい
goguryeo	0.007298	高麗
korean	0.007298	高麗
introduce	0.007298	高麗
goryeo	0.007298	高麗
cun	0.007298	老獪
crafty	0.007298	老獪
wily	0.007298	老獪
fierce	0.007298	獰猛
truculent	0.007298	獰猛
savage	0.007298	獰猛
silver	0.007298	蘆荻
grass	0.007298	蘆荻
old	0.007089	狒狒,間
be	0.006869	独り
go	0.006811	狂う
make	0.006577	犯す,狙う,獺祭
get	0.006568	狂う,獲る
con	0.006487	人誑し
monkey	0.006325	猿,猿猴
greatly	0.005838	猛
energetic	0.005838	猛
extreme	0.005838	猛
severe	0.005838	猛
start	0.005838	狼煙
violate	0.005308	犯す
aim	0.005308	狙う
hole	0.005004	狗,間
fox	0.004865	狐
brown	0.004865	狐
high	0.004865	猊下
ness	0.004865	猊下
grace	0.004865	猊下
eminence	0.004865	猊下
infant	0.004865	豕
pig	0.004865	豕
hand	0.004865	猿猴
puppeteer	0.004865	猿猴
kappa	0.004865	猿猴
menstrual	0.004865	猿猴
period	0.004865	猿猴
baboon	0.004170	狒狒
lecher	0.004170	狒狒
dirty	0.004170	狒狒
skirt	0.004170	狒狒
chaser	0.004170	狒狒
obstinate	0.004170	狷介
stubborn	0.004170	狷介
head	0.004170	狷介
strong	0.004170	狷介
centre	0.004170	狷介
center	0.004170	狷介
overly	0.003649	馴れ馴れしい
over	0.003649	馴れ馴れしい
friendly	0.003649	馴れ馴れしい
free	0.003649	馴れ馴れしい
cheeky	0.003649	馴れ馴れしい
bottom	0.003649	猫
cat	0.003649	猫
clay	0.003649	猫
bed	0.003649	猫
warmer	0.003649	猫
geisha	0.003649	猫
shamisen	0.003649	猫
wheel	0.003649	猫
barrow	0.003649	猫
up	0.003627	狂う,狙う
use	0.003545	狗,猿
alone	0.003434	独り
flirt	0.003244	人誑し
player	0.003244	人誑し
scam	0.003244	人誑し
trick	0.003244	人誑し
fraudster	0.003244	人誑し
swindler	0.003244	人誑し
person	0.003177	独り,猿
loop	0.002919	間
crenel	0.002919	間
eyelet	0.002919	間
valley	0.002919	間
gorge	0.002919	間
ravine	0.002919	間
interval	0.002919	間
space	0.002919	間
interstice	0.002919	間
thresh	0.002919	間
shoot	0.002919	狼煙
beacon	0.002919	狼煙
sky	0.002919	狼煙
rocket	0.002919	狼煙
fire	0.002919	狼煙
smoke	0.002919	狼煙
set	0.002654	狙う
goal	0.002654	狙う
after	0.002654	狙う
eye	0.002654	狙う
plan	0.002654	狙う
own	0.002654	狙う
commit	0.002654	犯す
perpetrate	0.002654	犯す
break	0.002654	犯す
transgress	0.002654	犯す
contravene	0.002654	犯す
rape	0.002654	犯す
ravish	0.002654	犯す
deflower	0.002654	犯す
com	0.002538	獺祭
soba	0.002433	狐
udon	0.002433	狐
top	0.002433	狐
deep	0.002433	狐
fry	0.002433	狐
tofu	0.002433	狐
light	0.002433	狐
golden	0.002433	狐
order	0.002242	狂う,獺祭
familiari	0.002085	狗
loser	0.002085	狗
ass	0.002085	狗
counterfeit	0.002085	狗
inferior	0.002085	狗
less	0.002085	狗
wasteful	0.002085	狗
squealer	0.002085	狗
rat	0.002085	狗
snitch	0.002085	狗
informer	0.002085	狗
inform	0.002085	狗
ant	0.002085	狗
spy	0.002085	狗
crazy	0.001946	狂う
able	0.001824	獲る
receive	0.001824	獲る
someth	0.001824	獲る
undesirable	0.001824	獲る
under	0.001824	獲る
stand	0.001824	獲る
comprehend	0.001824	獲る
earn	0.001824	獲る
acquire	0.001824	獲る
pro	0.001824	獲る
cure	0.001824	獲る
gain	0.001824	獲る
secure	0.001824	獲る
attain	0.001824	獲る
obtain	0.001824	獲る
win	0.001824	獲る
single	0.001717	独り
unmarry	0.001717	独り
just	0.001717	独り
only	0.001717	独り
simply	0.001717	独り
bath	0.001460	猿
house	0.001460	猿
prostitute	0.001460	猿
clasp	0.001460	猿
control	0.001460	猿
height	0.001460	猿
pot	0.001460	猿
hook	0.001460	猿
slide	0.001460	猿
wooden	0.001460	猿
bolt	0.001460	猿
idiot	0.001460	猿
