# word cloud top all for element 䒑
# token	weight	(optional sources)
precipitous	0.024982	険
sacrifice	0.020818	犠牲,贄
deduct	0.016655	演繹
ion	0.015465	演繹,談議
bai	0.012491	白澤
ze	0.012491	白澤
potter	0.012491	窯元
pottery	0.012491	窯元
strict	0.012491	厳達
order	0.012491	厳達
reason	0.011450	別義,演繹
wind	0.011242	羊腸,鐸
one	0.010598	差す,発祥,群棲,蟄居
outfit	0.009993	艤装
moss	0.009993	蘿
up	0.008782	差す,蟄居,詳細,養う
ill	0.008565	無躾,薄幸
sin	0.008327	真摯
cere	0.008327	真摯
ear	0.008327	真摯
nest	0.008327	真摯
serious	0.008327	真摯
ive	0.008327	演繹
fai	0.008327	蹉跌
lure	0.008327	蹉跌
stumble	0.008327	蹉跌
set	0.008327	蹉跌
back	0.008327	蹉跌
scaby	0.008327	皮癬
itch	0.008327	皮癬
mange	0.008327	皮癬
enviable	0.008327	羨ましい
envious	0.008327	羨ましい
jealous	0.008327	羨ましい
gift	0.008327	贄
offer	0.008327	贄
station	0.008327	驛
mean	0.008119	別義,羊腸
sermon	0.007138	談議
talk	0.007138	談議
discuss	0.007138	談議
duo	0.006245	鐸
large	0.006245	鐸
bell	0.006245	鐸
way	0.006245	驛
victim	0.006245	犠牲
casualty	0.006245	犠牲
special	0.006245	別義
live	0.005602	群棲,蟄居
hinder	0.005552	障む
ting	0.005451	差す,艤装
rig	0.004996	艤装
fit	0.004996	艤装
equipment	0.004996	艤装
unfortunate	0.004996	薄幸
unhappy	0.004996	薄幸
fat	0.004996	薄幸
hap	0.004996	薄幸
less	0.004996	薄幸
chastise	0.004996	鞭撻
whip	0.004996	鞭撻
encouragement	0.004996	鞭撻
urge	0.004996	鞭撻
spur	0.004996	鞭撻
sheep	0.004996	羊腸
intestine	0.004996	羊腸
zigzag	0.004996	羊腸
der	0.004996	羊腸
short	0.004996	蘿
plant	0.004996	蘿
resemble	0.004996	蘿
view	0.004542	詳細
detail	0.004542	詳細
specific	0.004542	詳細
house	0.004542	蟄居
become	0.004441	発祥,障む
rail	0.004164	驛
reply	0.004164	返報
revenge	0.004164	返報
retaliation	0.004164	返報
requital	0.004164	返報
return	0.004164	返報
repayment	0.004164	返報
admonition	0.003569	談議
reprimand	0.003569	談議
preach	0.003569	談議
lecture	0.003569	談議
consultation	0.003569	談議
conference	0.003569	談議
conversation	0.003569	談議
chat	0.003569	談議
brilliant	0.003569	鮮やか
luckily	0.003569	幸い
fortunately	0.003569	幸い
happi	0.003569	幸い
ness	0.003569	幸い
blessedness	0.003569	幸い
luck	0.003569	幸い
fortune	0.003569	幸い
feli	0.003569	幸い
city	0.003569	幸い
occident	0.003569	洋
orient	0.003569	洋
ocean	0.003569	洋
sea	0.003569	洋
foreign	0.003569	洋
western	0.003569	洋
european	0.003569	洋
breed	0.003569	無躾
impolite	0.003569	無躾
rude	0.003569	無躾
impudent	0.003569	無躾
insolent	0.003569	無躾
blunt	0.003569	無躾
run	0.003451	障む,飛ぶ
execution	0.003331	執行
emperor	0.003331	発祥
different	0.003123	別義
sepa	0.003123	別義
rate	0.003123	別義
matter	0.003123	別義
circum	0.003123	別義
stance	0.003123	別義
out	0.003016	執行,飛ぶ
yeah	0.002939	於戯
sick	0.002776	障む
strike	0.002776	障む
disaster	0.002776	障む
problem	0.002776	障む
accident	0.002776	障む
shut	0.002725	差す,蟄居
close	0.002725	差す,詳細
fly	0.002701	飛ぶ
off	0.002701	飛ぶ
arrest	0.002271	蟄居
self	0.002271	蟄居
stay	0.002271	蟄居
indoor	0.002271	蟄居
seclusion	0.002271	蟄居
zoom	0.002271	詳細
minute	0.002271	詳細
particular	0.002271	詳細
raise	0.002120	差す,養う
carry	0.002120	執行,差す
counter	0.002082	驛
bus	0.002082	驛
stag	0.002082	驛
post	0.002082	驛
high	0.002082	驛
train	0.002082	驛
arm	0.001817	差す
come	0.001805	差す,飛ぶ
vivid	0.001784	鮮やか
bright	0.001784	鮮やか
clear	0.001784	鮮やか
fresh	0.001784	鮮やか
vibrant	0.001784	鮮やか
skillful	0.001784	鮮やか
skilful	0.001784	鮮やか
adroit	0.001784	鮮やか
splendid	0.001784	鮮やか
superb	0.001784	鮮やか
magnificent	0.001784	鮮やか
fine	0.001784	鮮やか
all	0.001665	群棲
animate	0.001665	群棲
creation	0.001665	群棲
grow	0.001665	群棲
en	0.001665	群棲
masse	0.001665	群棲
location	0.001665	群棲
gregariously	0.001665	群棲
flock	0.001665	群棲
herd	0.001665	群棲
colony	0.001665	群棲
etc	0.001665	群棲
adopt	0.001665	養う
recuperate	0.001665	養う
support	0.001665	養う
maintain	0.001665	養う
pro	0.001665	養う
vide	0.001665	養う
bring	0.001665	養う
rear	0.001665	養う
fee	0.001665	養う
cultivate	0.001665	養う
develop	0.001665	養う
build	0.001665	養う
foster	0.001665	養う
lead	0.001665	執行
monk	0.001665	執行
per	0.001665	執行
form	0.001665	執行
various	0.001665	執行
task	0.001665	執行
temple	0.001665	執行
performance	0.001665	執行
enforcement	0.001665	執行
exercise	0.001665	執行
service	0.001665	執行
con	0.001665	執行
duct	0.001665	執行
appearance	0.001665	発祥
auspicious	0.001665	発祥
sign	0.001665	発祥
will	0.001665	発祥
receive	0.001665	発祥
divine	0.001665	発祥
man	0.001665	発祥
date	0.001665	発祥
birth	0.001665	発祥
his	0.001665	発祥
ancestor	0.001665	発祥
origin	0.001665	発祥
hey	0.001470	於戯
yo	0.001470	於戯
aah	0.001470	於戯
gah	0.001470	於戯
argh	0.001470	於戯
ah	0.001470	於戯
oh	0.001470	於戯
ala	0.001470	於戯
yes	0.001470	於戯
inde	0.001470	於戯
correct	0.001470	於戯
uh	0.001470	於戯
huh	0.001470	於戯
right	0.001470	於戯
gotcha	0.001470	於戯
put	0.001363	差す
jump	0.001350	飛ぶ
insert	0.000908	差す
under	0.000908	差す
wear	0.000908	差す
send	0.000675	飛ぶ
soar	0.000675	飛ぶ
hurry	0.000675	飛ぶ
rush	0.000675	飛ぶ
miss	0.000675	飛ぶ
skip	0.000675	飛ぶ
flee	0.000675	飛ぶ
escape	0.000675	飛ぶ
break	0.000675	飛ぶ
fall	0.000675	飛ぶ
blow	0.000675	飛ぶ
disappear	0.000675	飛ぶ
vanish	0.000675	飛ぶ
fade	0.000675	飛ぶ
thin	0.000675	飛ぶ
spatter	0.000675	飛ぶ
scatter	0.000675	飛ぶ
splash	0.000675	飛ぶ
leap	0.000675	飛ぶ
spring	0.000675	飛ぶ
bind	0.000675	飛ぶ
hop	0.000675	飛ぶ
visible	0.000454	差す
extend	0.000454	差す
straight	0.000454	差す
ahead	0.000454	差す
opponent	0.000454	差す
pole	0.000454	差す
shine	0.000454	差す
felt	0.000454	差す
over	0.000454	差す
light	0.000454	差す
burn	0.000454	差す
rise	0.000454	差す
flow	0.000454	差す
stop	0.000454	差す
midst	0.000454	差す
leave	0.000454	差す
undo	0.000454	差す
hold	0.000454	差す
pour	0.000454	差す
add	0.000454	差す
serve	0.000454	差す
belt	0.000454	差す
side	0.000454	差す
apply	0.000454	差す
colour	0.000454	差す
dye	0.000454	差す
lock	0.000454	差す
fasten	0.000454	差す
