# word cloud top all for element 三
# token	weight	(optional sources)
over	0.012980	譲る,輻輳
ion	0.011993	素,輻輳
weave	0.011993	縫う,苫
convergence	0.011422	輻輳
congest	0.011422	輻輳
crowd	0.011422	輻輳
ese	0.008679	姫椿,蓬莱,鉾
hazel	0.008567	榛
mat	0.008567	苫
paddle	0.008567	蹼
fire	0.008138	狼煙,篝火
blade	0.007710	嶺,素,蹼
meet	0.006542	出遭う,逢引き
one	0.006282	縫う,錢
long	0.006256	寿,棒引き,鉾
pay	0.006247	俸給,請ける
off	0.005841	撃攘,棒引き,譲る
chin	0.005823	姫椿,蓬莱,鉾
salary	0.005711	俸給
wage	0.005711	俸給
unpolish	0.005711	荒玉
uncut	0.005711	荒玉
gem	0.005711	荒玉
fer	0.005711	豊饒
tile	0.005711	豊饒
product	0.005711	豊饒
ive	0.005711	豊饒
fruitful	0.005711	豊饒
signal	0.005140	狼煙
play	0.005062	奏する,棒引き
ferment	0.004895	醸成
say	0.004895	禱る
woman	0.004855	嬢,鋳掛け
up	0.004695	構える,献げる,譲る
leave	0.004673	残す
hold	0.004495	構える,残す,献げる
world	0.004283	黄壌
accomplish	0.004283	奏する
report	0.004283	奏する
emperor	0.004283	奏する
repulse	0.004283	撃攘
repel	0.004283	撃攘
drive	0.004283	撃攘
simple	0.004283	素樸
art	0.004283	素樸
less	0.004283	素樸
naive	0.004283	素樸
unsophisticat	0.004283	素樸
web	0.004283	蹼
asian	0.004283	榛
siberian	0.004283	榛
lecturer	0.004283	講師
go	0.004248	泰平,請ける,踏む
way	0.004206	縫う,譲る
year	0.004174	寿,春,蓬莱
ity	0.004174	春,泰平
give	0.004096	献げる,請ける,譲る
man	0.003875	蠢動,鋳掛け
three	0.003807	三絃
string	0.003807	三絃
instrument	0.003807	三絃
ring	0.003766	剣ヶ峰,桟
follow	0.003534	奉ずる,請ける,踏む
time	0.003460	春,講師
clan	0.003427	逢引き
destine	0.003427	逢引き
assignation	0.003427	逢引き
tryst	0.003427	逢引き
rendezvous	0.003427	逢引き
miss	0.003427	嬢
unmarry	0.003427	嬢
es	0.003427	嬢
ette	0.003427	嬢
tree	0.003427	姫椿,素
sew	0.003427	縫う
stitch	0.003427	縫う
start	0.003427	狼煙
dedicate	0.003366	奉ずる,献げる
sen	0.003332	三絃,錢
base	0.003284	下賤,素
cross	0.003226	桟,棒引き
across	0.003115	出遭う
school	0.003115	購買
government	0.003115	邦
cause	0.003019	素,醸成
plan	0.002937	構える,蠢動
set	0.002904	構える,残す,踏む
essence	0.002856	実質
thousandth	0.002856	錢
kan	0.002856	錢
walk	0.002856	鋳掛け
together	0.002856	鋳掛け
captive	0.002856	僕
slave	0.002856	僕
varlet	0.002856	僕
me	0.002856	僕
retainer	0.002856	僕
