# word cloud top all for element 囗
# token	weight	(optional sources)
top	0.018171	檣楼
ary	0.015142	倉廩,障壁
worm	0.013628	蛔虫
circle	0.011357	圓,壇
enclose	0.010475	囲う,国構え,廻す,障壁
seedb	0.009085	苗圃
nursery	0.009085	苗圃
yen	0.009085	圓
rice	0.009085	倉廩
gran	0.009085	倉廩
pil	0.009085	鰯
chard	0.009085	鰯
sar	0.009085	鰯
dine	0.009085	鰯
smoke	0.009085	禁煙
hold	0.008984	堅める,恩給,掴まえる,摑まる
around	0.008252	四方,廻す,徘徊
rise	0.008076	野バラ
fence	0.007455	囲う,障壁
wall	0.007455	囲う,障壁
fur	0.007268	膃肭臍
seal	0.007268	膃肭臍
government	0.006607	邦
land	0.006332	恩給,邦
country	0.006302	四方,国構え,邦
catch	0.006160	捕われる,掴まえる,摑まる
bound	0.006057	障壁
obstacle	0.006057	障壁
barrier	0.006057	障壁
woman	0.006057	媼
ear	0.006057	懇懇
nest	0.006057	懇懇
kind	0.006057	懇懇
sin	0.006057	懇懇
cere	0.006057	懇懇
cushion	0.006057	蓐
pillow	0.006057	蓐
mat	0.006057	蓐
tress	0.006057	蓐
imprisonment	0.006057	禁錮
incarceration	0.006057	禁錮
confinement	0.006057	禁錮
vibration	0.006057	顫動
tremble	0.006057	顫動
shake	0.006057	顫動
world	0.006027	四方,壇,薗
round	0.005841	団子,蛔虫
arrest	0.005204	捕われる,掴まえる,摑まる
wicker	0.005192	梱
popliteal	0.005192	膕
know	0.005192	蘊蓄
ledge	0.005192	蘊蓄
dry	0.004543	干涸びる
gutter	0.004543	喉
sing	0.004543	喉
voice	0.004543	喉
throat	0.004543	喉
box	0.004543	国構え
radical	0.004543	国構え
energetic	0.004543	氤氳
lively	0.004543	氤氳
dynamic	0.004543	氤氳
vigor	0.004543	氤氳
ous	0.004543	氤氳
maw	0.004543	蛔虫
intestinal	0.004543	蛔虫
base	0.004543	由る
turn	0.004519	廻す,由る
up	0.004232	困る,干涸びる,廻す
reach	0.003778	廻す,稟議
give	0.003778	廻す,恩給
circu	0.003778	廻す,稟議
all	0.003717	四方,廻す,稟議
prohibit	0.003634	禁煙
law	0.003634	姻族
relative	0.003634	姻族
marriage	0.003634	姻族
relation	0.003634	姻族
affinity	0.003634	姻族
alaskan	0.003634	膃肭臍
seize	0.003565	捕われる,掴まえる
detain	0.003552	掴まえる,摑まる
grasp	0.003552	掴まえる,摑まる
home	0.003304	邦
province	0.003304	邦
region	0.003304	邦
state	0.003304	邦
earth	0.003304	邦
national	0.003304	邦
central	0.003304	邦
ion	0.003271	四方,禁煙
eat	0.003028	孤食
food	0.003028	孤食
decision	0.003028	稟議
tense	0.003028	凜
nerve	0.003028	凜
rack	0.003028	凜
clear	0.003028	凜
ring	0.003028	凜
cold	0.003028	凜
frigid	0.003028	凜
brace	0.003028	凜
dignify	0.003028	凜
distinguish	0.003028	凜
refine	0.003028	凜
elegant	0.003028	凜
elderly	0.003028	媼
noh	0.003028	媼
mask	0.003028	媼
old	0.003028	媼
lord	0.003028	恩給
vassal	0.003028	恩給
pension	0.003028	恩給
garden	0.003028	薗
orchard	0.003028	薗
park	0.003028	薗
place	0.003028	薗
environment	0.003028	薗
wander	0.003028	徘徊
roam	0.003028	徘徊
loiter	0.003028	徘徊
prowl	0.003028	徘徊
hang	0.003028	徘徊
wonton	0.003028	饂飩
win	0.003028	饂飩
ton	0.003028	饂飩
wantan	0.003028	饂飩
wanton	0.003028	饂飩
wuntun	0.003028	饂飩
take	0.002950	捕われる,謀る
surround	0.002874	四方,囲う,廻す
protect	0.002795	囲う
lump	0.002696	団子,痼り
cap	0.002608	捕われる,掴まえる
ture	0.002608	捕われる,掴まえる
trunk	0.002596	梱
lug	0.002596	梱
gage	0.002596	梱
wrap	0.002596	梱
pack	0.002596	梱
age	0.002596	梱
bale	0.002596	梱
find	0.002596	摑まる
get	0.002596	摑まる
fossa	0.002596	膕
space	0.002596	膕
area	0.002596	膕
behind	0.002596	膕
knee	0.002596	膕
great	0.002596	蘊蓄
erudition	0.002596	蘊蓄
extensive	0.002596	蘊蓄
vast	0.002596	蘊蓄
stock	0.002596	蘊蓄
head	0.002271	由る
quarter	0.002271	由る
come	0.002271	由る
due	0.002271	由る
cause	0.002271	由る
depend	0.002271	由る
kanji	0.002271	国構え
consist	0.002271	国構え
mound	0.002271	壇
mandala	0.002271	壇
plat	0.002271	壇
form	0.002271	壇
podium	0.002271	壇
rostrum	0.002271	壇
pulpit	0.002271	壇
wither	0.002271	干涸びる
become	0.002271	干涸びる
desiccate	0.002271	干涸びる
shrivel	0.002271	干涸びる
go	0.002271	干涸びる
use	0.002264	廻す,稟議
late	0.002264	廻す,稟議
toward	0.002254	掴まえる,謀る
do	0.002248	廻す
direct	0.002203	四方,廻す
four	0.002180	四方
master	0.002138	檀那
wild	0.002019	野バラ
briar	0.002019	野バラ
multi	0.002019	野バラ
flora	0.002019	野バラ
baby	0.002019	野バラ
japan	0.002019	野バラ
ese	0.002019	野バラ
put	0.001990	堅める,廻す
harden	0.001889	堅める,痼り
no	0.001817	禁煙
abstain	0.001817	禁煙
quit	0.001817	禁煙
make	0.001732	堅める,廻す
prisoner	0.001652	捕われる
apprehend	0.001652	捕われる
slave	0.001652	捕われる
stick	0.001652	捕われる
adhere	0.001652	捕われる
sway	0.001652	捕われる
lar	0.001514	稟議
letter	0.001514	稟議
via	0.001514	稟議
document	0.001514	稟議
employee	0.001514	稟議
alone	0.001514	孤食
sell	0.001514	孤食
single	0.001514	孤食
serving	0.001514	孤食
meal	0.001514	孤食
family	0.001514	孤食
member	0.001514	孤食
sepa	0.001514	孤食
rate	0.001514	孤食
spin	0.001499	廻す
send	0.001499	廻す
side	0.001454	四方
keep	0.001398	囲う
store	0.001398	囲う
pre	0.001398	囲う
serve	0.001398	囲う
shelter	0.001398	囲う
shield	0.001398	囲う
hide	0.001398	囲う
encircle	0.001398	囲う
muscle	0.001398	痼り
stiff	0.001398	痼り
ness	0.001398	痼り
linger	0.001398	痼り
discomfort	0.001398	痼り
uneasiness	0.001398	痼り
bad	0.001398	痼り
after	0.001398	痼り
taste	0.001398	痼り
unpleasant	0.001398	痼り
feel	0.001398	痼り
swell	0.001398	痼り
lesion	0.001398	痼り
ball	0.001298	団子
shape	0.001298	団子
object	0.001298	団子
someth	0.001298	団子
dango	0.001298	団子
dumpl	0.001298	団子
dough	0.001298	団子
boy	0.001298	団子
group	0.001298	団子
bunch	0.001298	団子
knot	0.001298	団子
tight	0.001298	団子
crowd	0.001298	団子
deceive	0.001298	謀る
trick	0.001298	謀る
plan	0.001298	謀る
attempt	0.001298	謀る
devise	0.001298	謀る
plot	0.001298	謀る
con	0.001298	謀る
spire	0.001298	謀る
scheme	0.001298	謀る
aim	0.001298	謀る
strive	0.001298	謀る
work	0.001298	謀る
seek	0.001298	謀る
badly	0.001211	困る
off	0.001211	困る
hard	0.001211	困る
straiten	0.001211	困る
circum	0.001211	困る
stance	0.001211	困る
bother	0.001211	困る
inconvenience	0.001211	困る
annoy	0.001211	困る
trouble	0.001211	困る
difficulty	0.001211	困る
fix	0.001211	困る
loss	0.001211	困る
stump	0.001211	困る
embarrass	0.001211	困る
hus	0.001069	檀那
band	0.001069	檀那
patron	0.001069	檀那
mistress	0.001069	檀那
geisha	0.001069	檀那
bar	0.001069	檀那
night	0.001069	檀那
club	0.001069	檀那
hostess	0.001069	檀那
sugar	0.001069	檀那
daddy	0.001069	檀那
alm	0.001069	檀那
almsgive	0.001069	檀那
almsgiver	0.001069	檀那
sir	0.001069	檀那
bos	0.001069	檀那
governor	0.001069	檀那
down	0.000982	堅める
strengthen	0.000982	堅める
face	0.000956	掴まえる
rest	0.000956	掴まえる
rain	0.000956	掴まえる
stop	0.000956	掴まえる
hail	0.000956	掴まえる
back	0.000956	掴まえる
grab	0.000956	掴まえる
clutch	0.000956	掴まえる
dial	0.000749	廻す
gang	0.000749	廻す
rape	0.000749	廻す
operate	0.000749	廻す
invest	0.000749	廻す
lend	0.000749	廻す
start	0.000749	廻す
over	0.000749	廻す
every	0.000749	廻す
where	0.000749	廻す
completely	0.000749	廻す
pas	0.000749	廻す
hand	0.000749	廻す
rotate	0.000749	廻す
twist	0.000749	廻す
gyrate	0.000749	廻す
move	0.000749	廻す
bring	0.000749	廻す
transfer	0.000749	廻す
forward	0.000749	廻す
submit	0.000749	廻す
ing	0.000727	四方
here	0.000727	四方
there	0.000727	四方
many	0.000727	四方
whole	0.000727	四方
square	0.000727	四方
quadri	0.000727	四方
lateral	0.000727	四方
figure	0.000727	四方
cardinal	0.000727	四方
north	0.000727	四方
east	0.000727	四方
south	0.000727	四方
west	0.000727	四方
bow	0.000491	堅める
fully	0.000491	堅める
draw	0.000491	堅める
wear	0.000491	堅める
specific	0.000491	堅める
purpose	0.000491	堅める
tie	0.000491	堅める
tightly	0.000491	堅める
fasten	0.000491	堅める
fortify	0.000491	堅める
rein	0.000491	堅める
force	0.000491	堅める
support	0.000491	堅める
swear	0.000491	堅める
resolutely	0.000491	堅める
vow	0.000491	堅める
since	0.000491	堅める
rely	0.000491	堅める
prom	0.000491	堅める
ise	0.000491	堅める
together	0.000491	堅める
collect	0.000491	堅める
gather	0.000491	堅める
consolidate	0.000491	堅める
secure	0.000491	堅める
stabilize	0.000491	堅める
settle	0.000491	堅める
establish	0.000491	堅める
freeze	0.000491	堅める
solidify	0.000491	堅める
tramp	0.000491	堅める
