# word cloud top all for element 夂
# token	weight	(optional sources)
ese	0.020931	冷麺,山蕗,榎,蓬莱,蕎麦,蟋蟀,辣韮,鉾
noodle	0.015254	冷麺,蕎麦,麺
obstinacy	0.014915	剛愎
japan	0.010967	山蕗,榎,蕎麦,蟋蟀,辣韮
weave	0.010441	縫う,苫
frame	0.010228	額,骨骼
chin	0.009964	冷麺,榎,蓬莱,蕎麦,辣韮,鉾
badger	0.009944	貉
raccoon	0.009944	貉
dog	0.009944	貉
one	0.009164	嗄らす,縫う,腹
ion	0.008966	尤める,竣工,筋,腹
fish	0.008799	筋,鰒
capital	0.007955	中夏,洛南
way	0.007640	格,縫う,路地,道
incitement	0.007458	教唆
instigation	0.007458	教唆
repentance	0.007458	改悛
contrition	0.007458	改悛
completion	0.007458	竣工
construct	0.007458	竣工
mat	0.007458	苫
flour	0.007458	麺
over	0.007184	復,焙烙,覆す
sweet	0.006629	辣韮,馥郁
camel	0.005966	駱駝
person	0.005860	焙烙,筋,駿足
self	0.004972	嗄らす
hoarse	0.004972	嗄らす
fragrant	0.004972	馥郁
smell	0.004972	馥郁
china	0.004972	中夏
mid	0.004972	中夏
summer	0.004972	中夏
ripple	0.004972	皺
wrinkle	0.004972	皺
crease	0.004972	皺
bribe	0.004972	賄賂
sweetener	0.004972	賄賂
douceur	0.004972	賄賂
severe	0.004972	峻峭
great	0.004664	大変,大略,駿足
swift	0.004589	駿足
carbonate	0.004475	炭酸
sum	0.004475	大略,額
signal	0.004475	狼煙
top	0.004475	嶺,複
part	0.004192	洛南,腹
ness	0.003786	大略,駿足
turn	0.003729	由る,覆す
go	0.003729	烏鷺,踏む
buck	0.003729	蕎麦
wheat	0.003729	蕎麦
base	0.003729	由る
long	0.003688	筋,蟋蟀,鉾
yellow	0.003622	駱駝,麹塵
katydid	0.003315	蟋蟀
cricket	0.003315	蟋蟀
leave	0.003315	擱く
leek	0.003315	辣韮
come	0.003220	出遭う,由る
style	0.003220	格,蕎麦
rule	0.003220	格,覆す
put	0.003149	擱く,蔵う
subject	0.003134	主客,道
foot	0.003040	踏む,駿足
down	0.003028	蔵う,降ろす
pic	0.002983	額
ture	0.002983	額
amount	0.002983	額
up	0.002983	喀血,蔵う
back	0.002983	嶺,蔵う
south	0.002983	洛南
southern	0.002983	洛南
kyoto	0.002983	洛南
sew	0.002983	縫う
stitch	0.002983	縫う
start	0.002983	狼煙
silver	0.002983	山蕗
